Time,Right_Hip,Left_Hip,U
2,0,0,0.0799999
28,0,-0.182648,1.11985
52,0.368664,-0.547947,2.07906
76,0.737328,0.365295,3.03707
99,1.47466,0.547947,3.95353
123,2.58065,0.365295,4.9076
147,2.94931,-0.182648,5.85885
171,3.68663,0.182648,6.80671
194,4.0553,1.09589,7.71142
218,4.79263,1.64384,8.6511
242,5.89862,1.82648,9.58579
266,6.82028,2.37443,10.515
289,7.74194,3.47032,11.3998
313,8.29493,4.38356,12.3166
337,9.21659,6.21004,13.2263
361,9.40092,8.03653,14.1284
384,9.76958,8.94977,14.9853
408,10.5069,8.58447,15.871
432,10.8756,8.21918,16.7475
456,11.4286,8.21918,17.6144
480,12.1659,8.03653,18.4712
503,13.0876,7.85388,19.2822
527,14.1935,7.85388,20.1177
551,14.9309,8.58447,20.9416
575,15.4839,9.86301,21.7534
599,16.2212,10.411,22.5527
622,16.5899,11.8721,23.3065
646,16.9585,13.1507,24.0799
670,17.5115,14.0639,24.8394
693,17.8802,15.5251,25.5539
717,18.2488,16.9863,26.2851
741,18.9862,17.8995,27.001
765,19.3548,18.9954,27.7015
789,20.0922,19.726,28.386
813,20.6452,20.274,29.0541
836,21.0138,20.6393,29.6787
860,21.5668,21.3699,30.3137
884,22.3041,22.1005,30.9313
908,23.2258,23.1963,31.531
932,23.9631,24.1096,32.1126
955,24.8848,25.2055,32.6525
979,25.9908,26.1187,33.1976
1003,26.3594,27.032,33.7235
1027,26.5438,27.5799,34.23
1050,26.7281,28.1279,34.6969
1074,27.2811,28.4932,35.1646
1098,27.2811,28.8584,35.6119
1122,27.2811,29.589,36.0388
1146,27.4654,30.5023,36.4449
1169,28.5714,31.4155,36.8144
1193,29.3088,32.1461,37.1792
1217,30.0461,32.6941,37.5226
1241,30.7834,33.4247,37.8443
1264,31.8894,34.1553,38.1322
1288,32.6267,34.8858,38.4112
1312,33.1797,35.4338,38.6679
1336,33.7327,35.7991,38.9025
1360,34.2857,35.9817,39.1146
1383,34.8387,36.347,39.2967
1407,35.3917,36.5297,39.4646
1431,35.576,36.895,39.6098
1455,35.576,37.2603,39.7321
1478,35.3917,37.2603,39.8279
1502,35.576,37.0776,39.9054
1526,35.576,37.0776,39.9599
1550,35.576,37.0776,39.9914
1574,35.576,37.0776,39.9998
1598,35.576,37.0776,39.9852
1621,35.576,37.0776,39.9496
1645,35.576,37.0776,39.8899
1669,35.576,37.6256,39.8073
1693,35.576,38.1735,39.7017
1717,35.576,38.1735,39.5732
1740,35.576,38.3562,39.4288
1764,35.3917,38.3562,39.2558
1788,35.3917,38.3562,39.0602
1812,35.3917,38.5388,38.842
1835,35.3917,38.7215,38.612
1859,35.2074,38.7215,38.3502
1883,35.2074,38.7215,38.0664
1907,35.2074,38.5388,37.7606
1931,35.2074,38.7215,37.433
1955,35.3917,38.3562,37.0839
1978,35.3917,38.5388,36.7293
2002,35.2074,38.3562,36.3385
2026,35.2074,38.1735,35.9269
2050,35.2074,37.9909,35.4945
2073,35.023,37.6256,35.061
2097,35.023,37.2603,34.5888
2121,35.023,36.895,34.0967
2145,35.023,36.347,33.585
2168,35.023,35.7991,33.0765
2192,35.023,35.0685,32.5271
2216,35.2074,34.3379,31.9591
2240,35.2074,33.79,31.3726
2263,35.2074,33.0594,30.7937
2287,35.3917,32.5114,30.1721
2311,35.2074,32.1461,29.5332
2335,34.6544,31.5982,28.8773
2359,33.917,31.2329,28.2048
2382,33.5484,30.5023,27.545
2406,32.9954,30.137,26.8411
2430,32.6267,29.589,26.1216
2454,32.4424,29.2237,25.3871
2477,31.8894,28.8584,24.6695
2502,31.3364,28.6758,23.8747
2526,30.7834,28.3105,23.0977
2549,30.2304,27.9452,22.3405
2573,30.0461,27.2146,21.5379
2597,30.0461,26.484,20.7228
2621,29.6774,25.3881,19.8958
2644,29.4931,24.4749,19.0925
2668,28.7558,23.379,18.2435
2692,28.2028,22.4658,17.3839
2716,27.2811,21.3699,16.5144
2740,26.5438,21.0046,15.6354
2764,25.9908,20.4566,14.7474
2788,24.7005,19.9087,13.8508
2811,23.5945,19.5434,12.9841
2835,22.1198,18.6301,12.0725
2860,21.1982,17.7169,11.1154
2884,20.4608,16.8037,10.1901
2908,19.3548,15.8904,9.25896
2931,18.0645,14.6119,8.36158
2955,17.3272,13.3333,7.42047
2979,16.4055,12.4201,6.47509
3003,14.9309,11.5068,5.52598
3027,13.6406,10.7763,4.57368
3050,12.1659,10.5936,3.65859
3074,11.2442,9.86301,2.70165
3098,10.1382,9.49772,1.74315
3122,9.03226,8.76712,0.783656
3145,7.92627,8.03653,-0.136294
3169,6.82028,7.12329,-1.09616
3193,5.52995,6.0274,-2.05539
3217,4.23963,4.74886,-3.01344
3240,3.13364,3.10502,-3.92994
3264,2.02765,2.00913,-4.88408
3288,0.737328,1.27854,-5.83539
3311,0,0.547947,-6.74393
3335,-1.65899,-0.365295,-7.68815
3359,-2.76498,-1.09589,-8.62795
3383,-3.68663,-2.73973,-9.56278
3406,-4.42396,-3.83562,-10.4535
3430,-5.34562,-4.74886,-11.377
3454,-6.26728,-5.84475,-12.294
3478,-7.18894,-6.94064,-13.2039
3502,-8.1106,-7.85388,-14.1062
3525,-8.66359,-8.76712,-14.9633
3549,-9.21659,-9.68037,-15.8492
3573,-9.76958,-10.5936,-16.726
3597,-10.1382,-11.6895,-17.5931
3621,-10.6912,-12.7854,-18.4501
3644,-11.2442,-13.6986,-19.2615
3668,-11.7972,-14.7945,-20.0972
3692,-12.7189,-15.7078,-20.9214
3716,-13.6406,-16.4384,-21.7335
3739,-14.3779,-16.9863,-22.5
3763,-15.1152,-17.7169,-23.2872
3787,-15.6682,-18.2648,-24.061
3811,-15.8525,-18.8128,-24.8209
3835,-16.4055,-19.5434,-25.5665
3858,-16.9585,-20.0913,-26.2672
3882,-17.6959,-20.8219,-26.9835
3906,-18.0645,-21.9178,-27.6844
3930,-18.2488,-22.6484,-28.3693
3954,-17.8802,-23.7443,-29.0378
3977,-17.8802,-24.4749,-29.6628
4001,-17.8802,-25.0228,-30.2982
4025,-17.6959,-25.5708,-30.9162
4049,-17.6959,-25.9361,-31.5164
