Time,Right_Hip,Left_Hip,U
2,13936,14512,40
51,13680,14272,40
99,13680,14256,40
145,13664,14240,40
190,13648,14240,40
234,13648,14240,40
280,13648,14240,40
325,13648,14240,40
370,13648,14240,40
415,13648,14240,40
460,13648,14240,40
506,13648,14240,40
551,13648,14240,40
596,13648,14240,40
642,13648,14240,40
687,13648,14240,40
732,13632,14240,40
777,13648,14240,40
824,13632,14240,40
869,13648,14240,40
914,13648,14240,40
959,13648,14240,40
1004,13648,14240,40
1050,13632,14240,40
1095,13648,14240,40
1140,13648,14240,40
1185,13648,14240,40
1230,13632,14240,40
1275,13632,14240,40
1321,13648,14240,40
1367,13648,14240,40
1411,13648,14240,40
1456,13648,14240,40
1502,13648,14240,40
1547,13648,14240,40
1592,13936,14528,-40
1638,13696,14320,-40
1683,13664,14304,-40
1729,13632,14256,-40
1774,13648,14240,-40
1819,13632,14256,-40
1864,13632,14256,-40
1910,13632,14256,-40
1955,13632,14256,-40
2000,13632,14256,-40
2046,13632,14256,-40
2091,13632,14256,-40
2136,13632,14256,-40
2181,13632,14256,-40
2226,13632,14272,-40
2271,13632,14256,-40
2317,13632,14272,-40
2362,13632,14272,-40
2407,13632,14256,-40
2451,13632,14272,-40
2496,13632,14272,-40
2541,13632,14272,-40
2586,13632,14272,-40
2631,13632,14272,-40
2677,13632,14272,-40
2722,13632,14272,-40
2768,13632,14272,-40
2813,13632,14272,-40
2859,13632,14256,-40
2904,13632,14272,-40
2949,13632,14272,-40
2994,13632,14272,-40
3040,13632,14272,-40
3085,13632,14272,-40
3130,13632,14272,-40
3176,13904,14544,40
3221,13712,14320,40
3267,13680,14288,40
3312,13680,14272,40
3358,13664,14256,40
3403,13632,14256,40
3449,13632,14240,40
3495,13632,14240,40
3540,13632,14240,40
3585,13632,14240,40
3630,13632,14240,40
3676,13632,14240,40
3721,13632,14240,40
3767,13632,14240,40
3812,13632,14240,40
3858,13632,14240,40
3903,13632,14240,40
3948,13632,14240,40
3994,13632,14240,40
4039,13632,14240,40
4084,13632,14240,40
4130,13632,14240,40
4175,13632,14240,40
4220,13632,14240,40
4266,13632,14240,40
4311,13632,14240,40
4356,13632,14240,40
4401,13632,14240,40
4446,13632,14240,40
4491,13632,14240,40
4535,13632,14240,40
4580,13632,14240,40
4625,13632,14240,40
4670,13632,14240,40
4715,13920,14528,-40
4760,13696,14320,-40
4805,13664,14304,-40
4851,13632,14256,-40
4897,13632,14256,-40
4942,13632,14256,-40
4987,13632,14272,-40
5033,13632,14272,-40
5078,13632,14272,-40
5122,13632,14272,-40
5168,13632,14272,-40
5213,13632,14272,-40
5259,13632,14272,-40
5304,13632,14272,-40
5350,13632,14272,-40
5396,13632,14272,-40
5441,13632,14272,-40
5486,13632,14272,-40
5531,13632,14272,-40
5576,13632,14272,-40
5622,13632,14272,-40
5668,13632,14272,-40
5713,13632,14272,-40
5758,13632,14272,-40
5803,13632,14256,-40
5849,13616,14272,-40
5894,13632,14272,-40
5939,13632,14272,-40
5985,13632,14272,-40
6031,13632,14272,-40
6076,13632,14272,-40
6121,13632,14272,-40
6166,13632,14256,-40
6211,13632,14272,-40
6256,13632,14272,-40
6301,13872,14544,40
6347,13728,14320,40
6392,13680,14288,40
6437,13680,14288,40
6483,13664,14256,40
6528,13632,14256,40
6574,13632,14240,40
6619,13632,14240,40
6664,13632,14240,40
6710,13632,14240,40
6755,13632,14240,40
6801,13632,14240,40
6846,13632,14240,40
6892,13632,14240,40
6937,13632,14240,40
6983,13632,14240,40
7028,13632,14240,40
7073,13632,14240,40
7119,13632,14240,40
7164,13632,14240,40
7209,13632,14240,40
7254,13632,14240,40
7299,13632,14240,40
7344,13632,14240,40
7390,13632,14240,40
7435,13632,14240,40
7480,13632,14240,40
7526,13632,14240,40
7571,13632,14240,40
7617,13632,14240,40
7662,13632,14240,40
7707,13632,14240,40
7752,13632,14240,40
7798,13632,14240,40
7842,13632,14240,40
7887,13920,14528,-40
7932,13680,14320,-40
7978,13680,14304,-40
8023,13648,14256,-40
8068,13648,14256,-40
8113,13632,14256,-40
8158,13632,14256,-40
8203,13632,14256,-40
8249,13632,14256,-40
8294,13632,14256,-40
8339,13632,14256,-40
8384,13632,14256,-40
8429,13632,14256,-40
8474,13632,14272,-40
8520,13632,14256,-40
8564,13632,14256,-40
8609,13632,14272,-40
8654,13632,14272,-40
8699,13632,14272,-40
8744,13632,14256,-40
8790,13632,14256,-40
8835,13632,14272,-40
8880,13632,14256,-40
8926,13632,14272,-40
8971,13632,14272,-40
9017,13632,14272,-40
9062,13632,14272,-40
9107,13632,14272,-40
9152,13632,14272,-40
9196,13632,14272,-40
9241,13632,14272,-40
9287,13632,14272,-40
9332,13632,14272,-40
9378,13632,14272,-40
9423,13632,14272,-40
9468,13952,14528,40
9513,13728,14320,40
9558,13664,14288,40
9604,13680,14288,40
9649,13664,14256,40
9695,13648,14240,40
9740,13648,14240,40
9785,13648,14240,40
9830,13648,14240,40
9875,13648,14240,40
9921,13648,14240,40
9966,13648,14240,40
10011,13648,14240,40
