Time,Right_Hip,Left_Hip,U
2,14864,15008,40
49,12176,12336,40
94,10448,11040,40
140,10240,10960,40
183,10240,10944,40
226,10240,10944,40
269,10224,10960,40
313,10224,10960,40
356,10224,10960,40
399,10240,10944,40
443,10224,10960,40
489,10224,10944,40
538,10224,10960,40
581,10240,10960,40
624,10224,10960,40
667,10240,10944,40
711,10224,10960,40
754,10240,10944,40
797,10224,10944,40
842,10224,10960,40
887,10224,10960,40
932,10240,10944,40
975,10240,10960,40
1019,10224,10960,40
1063,10224,10960,40
1106,10224,10944,40
1149,10224,10944,40
1193,10224,10944,40
1236,10224,10944,40
1282,10224,10944,40
1327,10240,10944,40
1370,10224,10960,40
1414,10240,10960,40
1457,10224,10944,40
1500,10240,10944,40
1544,10224,10960,40
1587,11360,11776,-40
1631,12176,13216,-40
1677,14496,15584,-40
1722,16720,17600,-40
1765,17168,17952,-40
1808,17216,17936,-40
1852,17216,17936,-40
1895,17216,17936,-40
1939,17216,17936,-40
1985,17216,17936,-40
2030,17216,17936,-40
2073,17216,17936,-40
2117,17216,17936,-40
2160,17216,17936,-40
2203,17216,17936,-40
2247,17216,17936,-40
2290,17216,17936,-40
2333,17216,17936,-40
2379,17216,17936,-40
2424,17216,17936,-40
2469,17216,17936,-40
2512,17216,17936,-40
2556,17216,17936,-40
2599,17216,17936,-40
2643,17216,17936,-40
2688,17216,17936,-40
2733,17216,17936,-40
2777,17216,17936,-40
2820,17216,17936,-40
2863,17216,17936,-40
2907,17216,17936,-40
2950,17216,17936,-40
2993,17216,17936,-40
3037,17216,17936,-40
3083,17216,17936,-40
3129,17216,17936,-40
3172,18208,18672,40
3216,15904,16160,40
3259,13424,13840,40
3302,11168,11616,40
3346,10272,10976,40
3392,10256,10960,40
3437,10272,10960,40
3480,10256,10960,40
3524,10256,10960,40
3567,10256,10960,40
3611,10256,10944,40
3655,10256,10944,40
3700,10256,10960,40
3745,10272,10960,40
3789,10256,10944,40
3832,10256,10944,40
3875,10256,10960,40
3919,10256,10944,40
3962,10256,10960,40
4005,10256,10944,40
4049,10256,10944,40
4095,10256,10944,40
4140,10256,10944,40
4183,10256,10944,40
4226,10256,10944,40
4270,10256,10944,40
4313,10256,10944,40
4356,10256,10944,40
4400,10272,10944,40
4443,10256,10944,40
4489,10256,10944,40
4534,10256,10944,40
4579,10256,10944,40
4622,10256,10944,40
4665,10256,10944,40
4709,10256,10944,40
4752,11392,11776,-40
4798,12192,13232,-40
4844,14464,15536,-40
4887,16688,17568,-40
4932,17168,17952,-40
4975,17216,17920,-40
5019,17216,17936,-40
5062,17216,17936,-40
5105,17216,17952,-40
5149,17216,17936,-40
5195,17216,17952,-40
5240,17216,17952,-40
5283,17216,17952,-40
5327,17216,17952,-40
5370,17216,17952,-40
5413,17216,17952,-40
5457,17216,17952,-40
5500,17216,17952,-40
5543,17216,17952,-40
5589,17216,17952,-40
5635,17216,17952,-40
5679,17216,17952,-40
5722,17216,17952,-40
5766,17216,17952,-40
5809,17216,17952,-40
5853,17216,17952,-40
5899,17216,17952,-40
5944,17216,17952,-40
5987,17216,17952,-40
6031,17216,17952,-40
6074,17216,17952,-40
6117,17216,17952,-40
6162,17216,17952,-40
6207,17216,17952,-40
6252,17216,17952,-40
6295,18256,18672,40
6339,15872,16176,40
6382,13408,13840,40
6425,11120,11632,40
6469,10304,10992,40
6512,10240,10944,40
6556,10240,10944,40
6601,10240,10944,40
6647,10240,10944,40
6690,10240,10944,40
6734,10240,10944,40
6777,10240,10944,40
6820,10240,10944,40
6865,10240,10944,40
6910,10240,10944,40
6955,10240,10944,40
6998,10240,10944,40
7042,10240,10944,40
7085,10240,10944,40
7129,10240,10944,40
7172,10240,10944,40
7215,10240,10944,40
7259,10240,10944,40
7305,10240,10944,40
7350,10240,10944,40
7393,10240,10944,40
7437,10240,10944,40
7480,10240,10944,40
7523,10240,10944,40
7567,10240,10944,40
7613,10240,10944,40
7658,10240,10944,40
7702,10240,10944,40
7745,10240,10944,40
7789,10240,10944,40
7832,10240,10944,40
7875,11280,11792,-40
7919,12032,13024,-40
7962,14192,15264,-40
8005,16448,17408,-40
8049,17152,17952,-40
8094,17216,17952,-40
8140,17216,17936,-40
8184,17216,17936,-40
8228,17216,17952,-40
8271,17216,17952,-40
8314,17216,17952,-40
8358,17216,17952,-40
8403,17216,17952,-40
8449,17216,17968,-40
8493,17216,17952,-40
8537,17200,17952,-40
8580,17216,17952,-40
8624,17200,17952,-40
8667,17216,17952,-40
8711,17216,17952,-40
8755,17216,17952,-40
8798,17216,17952,-40
8841,17200,17952,-40
8885,17200,17952,-40
8928,17216,17952,-40
8972,17216,17952,-40
9018,17216,17952,-40
9063,17216,17952,-40
9106,17200,17952,-40
9149,17216,17952,-40
9193,17200,17952,-40
9236,17216,17952,-40
9280,17216,17952,-40
9323,17216,17952,-40
9367,17216,17952,-40
9413,17200,17952,-40
9459,18144,18608,40
9502,15920,16112,40
9546,13456,13760,40
9589,11168,11584,40
9632,10304,10992,40
9675,10240,10944,40
9719,10240,10944,40
9763,10240,10944,40
9808,10240,10944,40
9854,10240,10944,40
9897,10240,10944,40
9941,10240,10944,40
9984,10240,10944,40
10027,10240,10944,40
