Time,Right_Hip,Left_Hip,U
2,11.4286,-1.46119,20.04
27,12.5346,0,20.5397
51,18.4332,0.547947,21.0182
76,20.2765,0.365295,21.5142
100,20.2765,0,21.9867
123,20.0922,0.182648,22.4353
146,20.0922,0,22.8787
168,20.2765,0,23.2971
191,20.2765,0,23.7278
213,20.2765,0,24.1323
236,20.6452,-0.182648,24.5467
259,20.6452,-0.182648,24.9514
281,20.8295,-0.182648,25.3288
304,21.0138,-0.182648,25.7123
326,20.8295,-0.182648,26.0678
349,21.3825,0,26.4269
372,21.9355,0,26.7724
394,22.4885,0,27.0894
418,22.6728,0,27.4197
441,22.8571,0,27.7201
464,22.8571,0,28.0042
486,23.2258,0,28.2601
509,23.5945,0,28.5106
531,23.7788,0,28.7333
554,24.3318,0,28.9481
577,24.5161,0,29.1439
599,24.8848,0,29.3131
622,25.0691,0,29.4708
645,25.0691,0,29.6084
667,25.0691,0,29.7209
690,25.0691,0,29.8185
713,25.0691,0,29.8954
736,25.2535,0,29.9512
759,25.0691,0,29.9861
781,25.2535,0,29.9996
804,25.2535,0,29.9931
827,25.2535,0,29.9654
849,25.2535,0,29.9192
873,25.2535,0,29.8469
895,25.2535,0,29.7607
918,25.0691,0,29.6504
941,25.0691,0,29.5197
963,25.0691,0,29.3758
986,25.0691,0,29.2059
1009,25.0691,0,29.0166
1033,25.0691,0,28.7987
1055,25.0691,0,28.5812
1078,25.0691,0,28.336
1100,25.0691,0,28.085
1123,24.8848,0,27.8058
1146,24.8848,0,27.5101
1169,25.0691,0,27.1985
1192,24.8848,0,26.8717
1214,24.8848,0,26.5455
1237,24.8848,0,26.191
1260,24.7005,0,25.8233
1282,24.7005,0,25.4601
1305,24.7005,0,25.0691
1327,24.7005,0,24.685
1350,24.7005,0,24.2738
1373,24.7005,0.182648,23.8536
1395,24.7005,0,23.4439
1418,24.8848,0,23.0086
1440,24.8848,0,22.5862
1463,25.0691,0,22.1393
1486,24.8848,0,21.6878
1508,24.5161,0,21.2526
1531,24.5161,0,20.7951
1554,24.5161,0,20.3359
1576,24.7005,0,19.8959
1599,24.7005,0,19.4362
1622,24.7005,0,18.9777
1645,24.8848,0,18.5214
1668,24.8848,-0.182648,18.0681
