Time,Right_Hip,Left_Hip,U
2,-153.548,160.365,20.04
9,12.1659,-3.83562,20.18
17,12.1659,-1.64384,20.3399
23,9.95392,-1.64384,20.4598
30,9.95392,-1.64384,20.5996
37,9.95392,-1.64384,20.7393
43,8.6636,-0.365295,20.8589
51,8.6636,-8.03653,21.0182
56,16.4055,-8.03653,21.1177
62,7.74194,0.547947,21.2368
67,7.74194,-11.3242,21.336
73,19.7235,-11.3242,21.4548
79,19.7235,-11.8721,21.5734
85,20.2765,-11.8721,21.6918
90,8.1106,0.182648,21.7903
97,8.1106,-12.2374,21.9279
102,20.6452,-12.2374,22.0259
108,20.6452,-12.4201,22.1432
114,20.8295,-12.4201,22.2603
120,20.8295,-12.4201,22.377
125,20.8295,-12.4201,22.474
132,20.8295,-12.7854,22.6094
137,21.1982,-12.7854,22.7058
143,21.1982,-12.968,22.8212
148,21.3825,-12.968,22.917
154,21.3825,-13.1507,23.0315
160,21.5668,-13.1507,23.1457
166,21.5668,-13.516,23.2593
172,21.9355,-13.516,23.3726
178,8.29493,0,23.4853
183,8.29493,-14.0639,23.5788
189,22.4885,-14.0639,23.6906
195,22.4885,-14.4292,23.8019
201,22.8571,-14.4292,23.9126
207,22.8571,-14.6119,24.0227
212,23.0415,-14.6119,24.1141
218,23.0415,-14.7945,24.2232
224,23.2258,-14.7945,24.3316
230,23.2258,-14.9772,24.4395
236,23.4101,-14.9772,24.5467
242,23.4101,-15.1598,24.6532
247,23.5945,-15.1598,24.7415
253,23.5945,-15.1598,24.8468
258,23.5945,-15.1598,24.934
264,23.5945,-15.3425,25.0381
270,23.7788,-15.3425,25.1414
276,23.7788,-15.3425,25.2439
281,23.7788,-15.3425,25.3288
288,23.7788,-15.5251,25.4467
293,23.9631,-15.5251,25.5303
299,23.9631,-15.7078,25.6299
305,24.1475,-15.7078,25.7287
311,24.1475,-15.8904,25.8266
317,24.3318,-15.8904,25.9237
323,24.3318,-16.2557,26.02
328,24.7005,-16.2557,26.0995
334,24.7005,-16.621,26.1942
340,25.0691,-16.621,26.2879
346,25.0691,-16.8037,26.3808
351,25.2535,-16.8037,26.4575
357,25.2535,-16.9863,26.5486
363,25.4378,-16.9863,26.6388
369,25.4378,-17.1689,26.7281
374,25.6221,-17.1689,26.8017
380,25.6221,-17.3516,26.8892
386,25.8065,-17.3516,26.9757
392,25.8065,-17.3516,27.0612
397,25.8065,-17.3516,27.1316
403,25.8065,-17.5342,27.2152
409,25.9908,-17.5342,27.2978
414,25.9908,-17.5342,27.3658
420,25.9908,-17.5342,27.4464
426,8.29493,0,27.526
432,8.29493,-17.7169,27.6045
438,26.1751,-17.7169,27.6818
443,26.1751,-17.8995,27.7455
450,26.3594,-17.8995,27.8333
455,26.3594,-17.8995,27.895
461,26.3594,-17.8995,27.9681
467,26.3594,-18.0822,28.04
473,26.5438,-18.0822,28.1108
479,26.5438,-18.0822,28.1804
484,26.5438,-18.0822,28.2375
490,26.5438,-18.4475,28.305
496,26.9124,-18.4475,28.3712
502,26.9124,-18.8128,28.4363
507,27.2811,-18.8128,28.4895
513,27.2811,-19.1781,28.5523
519,27.6498,-19.1781,28.6139
525,27.6498,-19.3607,28.6742
531,27.8341,-19.3607,28.7333
537,27.8341,-19.5434,28.7911
542,28.0184,-19.5434,28.8384
548,28.0184,-19.5434,28.8939
554,28.0184,-19.5434,28.9481
560,8.29493,0,29.001
566,8.29493,-19.726,29.0526
571,28.2028,-19.726,29.0947
577,28.2028,-19.726,29.1439
583,28.2028,-19.726,29.1918
589,28.2028,-19.726,29.2384
595,28.2028,-19.726,29.2837
601,28.2028,-19.9087,29.3276
606,28.3871,-19.9087,29.3632
612,28.3871,-19.9087,29.4047
618,28.3871,-19.9087,29.4448
624,28.3871,-19.9087,29.4835
630,28.3871,-19.9087,29.5209
635,28.3871,-19.9087,29.551
641,28.3871,-19.9087,29.5859
647,28.3871,-19.9087,29.6194
653,28.3871,-19.9087,29.6515
658,28.3871,-19.9087,29.6771
664,28.3871,-19.9087,29.7067
670,8.29493,0,29.7348
676,8.29493,-20.0913,29.7616
682,28.5714,-20.0913,29.7869
688,28.5714,-20.274,29.8109
694,28.7558,-20.274,29.8334
699,28.7558,-20.4566,29.8511
705,28.9401,-20.4566,29.871
711,28.9401,-20.4566,29.8895
717,28.9401,-20.4566,29.9066
723,28.9401,-20.6393,29.9222
728,29.1244,-20.6393,29.9342
734,29.1244,-20.4566,29.9472
740,28.9401,-20.4566,29.9588
746,28.9401,-20.6393,29.969
752,29.1244,-20.6393,29.9777
757,29.1244,-20.6393,29.9839
763,29.1244,-20.6393,29.99
769,29.1244,-20.6393,29.9946
775,29.1244,-20.6393,29.9978
781,29.1244,-20.6393,29.9996
786,29.1244,-20.6393,30
792,29.1244,-20.6393,29.9991
798,29.1244,-20.6393,29.9968
803,29.1244,-20.6393,29.9938
809,29.1244,-20.6393,29.9889
815,29.1244,-20.6393,29.9825
821,29.1244,-20.6393,29.9747
827,29.1244,-20.6393,29.9654
832,29.1244,-20.6393,29.9566
838,29.1244,-20.6393,29.9447
844,29.1244,-20.6393,29.9314
850,29.1244,-20.6393,29.9166
855,29.1244,-20.6393,29.9033
861,29.1244,-20.6393,29.8859
867,29.1244,-20.6393,29.8671
873,29.1244,-20.8219,29.8469
879,29.3088,-20.8219,29.8253
884,29.3088,-20.6393,29.8062
890,29.1244,-20.6393,29.782
896,29.1244,-20.8219,29.7563
902,29.3088,-20.8219,29.7293
908,8.29493,0,29.7009
914,8.29493,-20.8219,29.6711
919,29.3088,-20.8219,29.6451
925,29.3088,-20.8219,29.6128
931,29.3088,-20.8219,29.579
937,29.3088,-20.8219,29.5438
943,29.3088,-20.8219,29.5073
948,29.3088,-20.8219,29.4759
954,29.3088,-20.8219,29.4368
960,29.3088,-20.6393,29.3965
966,29.1244,-20.6393,29.3547
971,29.1244,-20.6393,29.3189
977,29.1244,-20.6393,29.2747
983,29.1244,-20.6393,29.2292
989,29.1244,-20.6393,29.1823
995,29.1244,-20.6393,29.1341
1000,29.1244,-20.6393,29.093
1006,29.1244,-20.6393,29.0424
1012,29.1244,-20.6393,28.9905
1018,29.1244,-20.4566,28.9373
1023,28.9401,-20.4566,28.892
1029,28.9401,-20.6393,28.8365
1035,29.1244,-20.6393,28.7796
1041,29.1244,-20.4566,28.7216
1046,28.9401,-20.4566,28.6722
1052,28.9401,-20.0913,28.6118
1058,28.5714,-20.0913,28.5502
1064,28.5714,-20.0913,28.4874
1070,28.5714,-20.0913,28.4233
1075,28.5714,-20.0913,28.369
1082,28.5714,-20.0913,28.2915
1087,8.1106,0.182648,28.2352
1093,8.1106,-20.0913,28.1666
1099,28.5714,-20.0913,28.0967
1104,28.5714,-20.0913,28.0376
1110,28.5714,-20.0913,27.9657
1116,28.5714,-20.0913,27.8925
1122,28.5714,-20.0913,27.8183
1128,28.5714,-20.0913,27.7429
1134,28.5714,-20.0913,27.6664
1139,28.5714,-20.0913,27.6018
1145,28.5714,-20.0913,27.5233
1151,28.5714,-20.274,27.4437
1157,28.7558,-20.274,27.363
1163,8.29493,0,27.2813
1169,8.29493,-20.274,27.1985
1174,28.7558,-20.274,27.1288
1180,28.7558,-20.4566,27.0441
1186,28.9401,-20.4566,26.9584
1192,28.9401,-20.6393,26.8717
1198,29.1244,-20.6393,26.7841
1204,29.1244,-20.6393,26.6954
1209,29.1244,-20.6393,26.6208
1215,29.1244,-20.6393,26.5304
1221,29.1244,-20.6393,26.4391
1227,29.1244,-20.4566,26.3468
1233,28.9401,-20.4566,26.2536
1239,28.9401,-20.274,26.1595
1244,28.7558,-20.274,26.0804
1250,28.7558,-19.9087,25.9847
1256,28.3871,-19.9087,25.8882
1261,28.3871,-19.726,25.807
1267,28.2028,-19.726,25.7089
1273,28.2028,-19.3607,25.61
1279,27.8341,-19.3607,25.5103
1285,8.29493,0,25.4097
1291,8.29493,-19.1781,25.3084
1297,27.6498,-19.1781,25.2063
1302,27.6498,-19.1781,25.1207
1308,27.6498,-19.1781,25.0173
1314,27.6498,-19.1781,24.9131
1320,27.6498,-19.1781,24.8082
1326,27.6498,-18.9954,24.7027
1332,27.4654,-18.9954,24.5964
1338,27.4654,-18.6301,24.4895
1344,27.0968,-18.6301,24.382
1350,8.29493,0,24.2738
1355,8.29493,-18.0822,24.1832
1361,26.5438,-18.0822,24.0739
1367,26.5438,-17.7169,23.964
1373,26.1751,-17.7169,23.8536
1379,26.1751,-17.5342,23.7425
1384,25.9908,-17.5342,23.6496
1390,25.9908,-17.3516,23.5376
1396,25.8065,-17.3516,23.4252
1402,25.8065,-17.3516,23.3122
1408,25.8065,-17.3516,23.1987
1414,25.8065,-17.1689,23.0848
1419,25.6221,-17.1689,22.9895
1425,25.6221,-16.9863,22.8748
1431,25.4378,-16.9863,22.7596
1437,25.4378,-16.621,22.6441
1442,25.0691,-16.621,22.5475
1448,25.0691,-16.0731,22.4313
1454,24.5161,-16.0731,22.3147
1460,8.29493,0,22.1978
1466,8.29493,-15.3425,22.0806
1471,23.7788,-15.3425,21.9827
1477,23.7788,-14.9772,21.8649
1483,23.4101,-14.9772,21.7469
1488,23.4101,-14.7945,21.6484
1494,23.2258,-14.7945,21.5299
1500,23.2258,-14.4292,21.4112
1506,22.8571,-14.4292,21.2923
1512,22.8571,-14.4292,21.1732
1518,22.8571,-14.4292,21.054
1523,8.29493,0,20.9545
1529,8.29493,-14.6119,20.835
1535,23.0415,-14.6119,20.7153
1541,23.0415,-14.6119,20.5956
1547,23.0415,-14.6119,20.4757
1553,23.0415,-14.6119,20.3559
1558,23.0415,-14.6119,20.2559
1564,23.0415,-14.6119,20.1359
1570,23.0415,-14.6119,20.0159
1576,23.0415,-14.4292,19.8959
1582,22.8571,-14.4292,19.7759
1588,22.8571,-13.6986,19.656
1594,22.1198,-13.6986,19.5361
1599,22.1198,-12.968,19.4362
1605,21.3825,-12.968,19.3165
1612,21.3825,-12.6027,19.1769
1618,21.0138,-12.6027,19.0573
1623,8.29493,0,18.9578
1629,8.29493,-12.2374,18.8386
1635,20.6452,-12.2374,18.7195
1640,20.6452,-12.0548,18.6203
1646,20.4608,-12.0548,18.5016
1652,20.4608,-11.8721,18.3831
1659,20.2765,-11.8721,18.2451
1665,20.2765,-11.8721,18.1271
1671,20.2765,-11.8721,18.0093
1677,20.2765,-11.6895,17.8919
1683,20.0922,-11.6895,17.7747
1688,8.29493,0,17.6773
1694,8.29493,-11.5069,17.5608
1700,19.9078,-11.5069,17.4446
1706,19.9078,-11.1416,17.3288
1712,19.5392,-11.1416,17.2133
1718,19.5392,-10.7763,17.0983
1723,19.1705,-10.7763,17.0027
1729,19.1705,-10.2283,16.8885
1735,18.6175,-10.2283,16.7746
1741,18.6175,-9.86301,16.6613
1747,18.2488,-9.86301,16.5484
1752,18.2488,-9.31507,16.4547
1758,17.6959,-9.31507,16.3428
1764,17.6959,-9.13242,16.2314
1770,17.5115,-9.13242,16.1205
1776,17.5115,-9.31507,16.0102
1781,17.6959,-9.31507,15.9187
1788,17.6959,-9.31507,15.7913
1793,17.6959,-9.31507,15.7008
1799,17.6959,-9.13242,15.5927
1805,17.5115,-9.13242,15.4853
1811,17.5115,-8.94977,15.3786
1817,17.3272,-8.94977,15.2725
1823,17.3272,-8.58448,15.1671
1828,16.9585,-8.58448,15.0798
1834,16.9585,-8.40182,14.9757
1840,16.7742,-8.40182,14.8723
1846,16.7742,-8.21918,14.7697
1852,16.5899,-8.21918,14.6678
1858,16.5899,-8.03653,14.5666
1863,16.4055,-8.03653,14.4829
1869,16.4055,-7.85388,14.3833
1875,16.2212,-7.85388,14.2844
1881,16.2212,-7.48858,14.1863
1887,15.8525,-7.48858,14.0891
1893,15.8525,-7.12329,13.9928
1899,15.4839,-7.12329,13.8973
1905,15.4839,-6.94064,13.8026
1910,15.2995,-6.94064,13.7245
1916,15.2995,-6.39269,13.6315
1922,14.7465,-6.39269,13.5394
1928,8.1106,0.182648,13.4483
1934,8.1106,-5.84475,13.3581
1940,14.1935,-5.84475,13.2689
1945,8.29493,0,13.1953
1951,8.29493,-5.47945,13.1078
1957,13.8249,-5.47945,13.0214
1963,13.8249,-5.2968,12.9359
1969,13.6406,-5.2968,12.8515
1975,13.6406,-5.2968,12.7681
1980,13.6406,-5.2968,12.6994
1986,13.6406,-5.47945,12.6179
1992,13.8249,-5.47945,12.5375
1998,13.8249,-5.47945,12.4582
2004,13.8249,-5.47945,12.3799
2009,13.8249,-5.47945,12.3156
2015,13.8249,-5.47945,12.2393
2021,13.8249,-5.47945,12.1642
2027,13.8249,-5.47945,12.0902
2032,13.8249,-4.93151,12.0294
2038,13.2719,-4.93151,11.9575
2044,8.29493,0,11.8868
2049,8.29493,-3.65297,11.8287
2055,11.9816,-3.65297,11.7602
2061,11.9816,-3.65297,11.6928
2067,11.9816,-3.65297,11.6266
2072,11.9816,-3.65297,11.5723
2078,11.9816,-3.65297,11.5083
2084,11.9816,-3.65297,11.4456
2089,11.9816,-3.65297,11.3942
2095,11.9816,-3.65297,11.3337
2101,11.9816,-3.65297,11.2745
2107,11.9816,-3.83562,11.2165
2113,12.1659,-3.83562,11.1597
2118,12.1659,-3.65297,11.1134
2124,11.9816,-3.65297,11.059
2130,11.9816,-3.47032,11.0059
2136,11.7972,-3.47032,10.9541
2142,11.7972,-3.28767,10.9036
2147,11.6129,-3.28767,10.8626
2154,11.4286,-3.10502,10.8066
2160,11.4286,-3.10502,10.76
2166,8.1106,0.182648,10.7148
2172,8.1106,-3.10502,10.6709
2178,11.4286,-3.10502,10.6284
2183,11.4286,-3.10502,10.594
2189,11.4286,-3.10502,10.5539
2195,11.4286,-2.92237,10.5152
2201,11.2442,-2.92237,10.4779
2207,11.2442,-2.73973,10.4419
2212,11.0599,-2.73973,10.413
2218,11.0599,-2.73973,10.3795
2224,11.0599,-2.73973,10.3475
2230,11.0599,-2.73973,10.3168
2236,11.0599,-2.73973,10.2875
2242,11.0599,-2.73973,10.2597
2248,11.0599,-2.73973,10.2332
2253,11.0599,-2.92237,10.2122
2259,11.2442,-2.92237,10.1883
2264,11.2442,-2.92237,10.1695
2270,11.2442,-2.92237,10.1482
2276,11.2442,-2.73973,10.1283
2282,11.0599,-2.73973,10.1099
2288,11.0599,-2.55708,10.0929
2293,10.8756,-2.55708,10.0798
2299,10.8756,-2.37443,10.0654
2305,10.6912,-2.37443,10.0524
2311,10.6912,-2.00913,10.0408
2317,10.3226,-2.00913,10.0307
2323,10.3226,-2.00913,10.022
2329,10.3226,-2.00913,10.0148
2335,10.3226,-2.00913,10.009
2340,10.3226,-2.00913,10.0052
2346,10.3226,-2.00913,10.0021
2352,10.3226,-2.00913,10.0004
2358,10.3226,-2.00913,10.0001
2364,10.3226,-2.00913,10.0012
2370,10.3226,-2.00913,10.0038
2375,10.3226,-2.00913,10.0071
2381,10.3226,-2.00913,10.0123
2387,10.3226,-2.00913,10.019
2392,10.3226,-2.00913,10.0256
2398,10.3226,-2.00913,10.0349
2404,10.3226,-2.00913,10.0457
