Time,Right_Hip,Left_Hip,U
3,13760,13072,0.449983
33,13072,13168,4.92757
60,13168,13152,8.86561
88,13136,13168,12.7782
115,13152,13184,16.315
142,13152,13184,19.555
170,13168,13168,22.5384
197,13152,13152,24.9982
224,13152,13136,27.003
251,13136,13136,28.5165
279,13136,13120,29.5376
306,13104,13104,29.975
333,13104,13104,29.867
361,13104,13104,29.181
388,13104,13104,27.9785
415,13104,13104,26.2668
442,13104,13104,24.0771
470,13104,13152,21.3442
497,13136,13152,18.3126
524,13120,13136,14.9478
552,13136,13168,11.172
579,13152,13184,7.32303
606,13152,13168,3.34084
633,13152,13168,-0.702156
661,13152,13168,-4.88043
688,13152,13168,-8.81995
715,13152,13168,-12.599
742,13136,13168,-16.1487
770,13136,13152,-19.5188
797,13136,13328,-22.4074
824,13248,13152,-24.8883
851,13120,13168,-26.9163
879,13152,13104,-28.5016
906,13104,13120,-29.5024
933,13120,13104,-29.9663
961,13104,13104,-29.8714
988,13104,13088,-29.2262
1015,13088,13088,-28.0492
1042,13088,13104,-26.3618
1070,13104,13136,-24.1056
1097,13136,13152,-21.4827
1124,13120,13152,-18.4689
1152,13152,13168,-14.9893
1179,13152,13168,-11.3553
1206,13152,13168,-7.51467
1233,13136,13168,-3.53731
1261,13152,13376,0.654389
1288,13200,13168,4.68518
1315,13152,13200,8.63072
1343,13168,13168,12.5556
1370,13168,13184,16.1084
1397,13168,13168,19.3681
1424,13168,13168,22.2754
1452,13152,13152,24.8616
1479,13152,13152,26.8951
1506,13136,13328,28.4393
1534,13216,13120,29.4937
1561,13136,13120,29.964
1588,13104,13104,29.8891
1616,13104,13104,29.237
1643,13104,13104,28.0661
1670,13104,13120,26.3845
1698,13120,13120,24.134
1725,13120,13136,21.516
1752,13120,13152,18.5065
1779,13136,13152,15.1603
1807,13152,13184,11.3995
1834,13168,13168,7.56092
1861,13152,13168,3.58475
1888,13168,13200,-0.456644
1916,13168,13184,-4.63798
1943,13168,13168,-8.58495
1970,13152,13168,-12.3757
1997,13152,13168,-15.9412
2025,13152,13152,-19.3316
2052,13152,13312,-22.2434
2079,13248,13152,-24.7503
2107,13136,13152,-26.8739
2134,13152,13120,-28.424
2161,13120,13120,-29.4569
2188,13120,13120,-29.9537
2216,13120,13104,-29.8931
2243,13104,13104,-29.2807
2270,13088,13088,-28.1354
2298,13104,13104,-26.4072
2325,13120,13136,-24.251
2352,13136,13152,-21.6534
2379,13136,13152,-18.6618
2406,13152,13360,-15.3306
2434,13216,13152,-11.5822
2461,13152,13168,-7.75215
2488,13136,13152,-3.78104
2516,13136,13376,0.408869
2543,13216,13168,4.44248
2570,13168,13184,8.39526
2598,13168,13200,12.3322
2625,13184,13216,15.9007
2652,13184,13184,19.18
2680,13168,13184,22.2113
2707,13168,13168,24.7233
2734,13152,13152,26.7854
2761,13136,13328,28.3601
2789,13232,13120,29.4478
2816,13152,13120,29.951
2843,13104,13072,29.9092
2871,13104,13104,29.291
2898,13104,13120,28.1519
2925,13120,13120,26.5005
2952,13120,13120,24.3669
2980,13104,13136,21.6864
3007,13136,13152,18.6992
3035,13152,13136,15.2426
3062,13120,13152,11.6262
3089,13168,13184,7.79829
3116,13152,13168,3.82843
3144,13152,13168,-0.361093
3171,13152,13168,-4.39522
3198,13152,13168,-8.34937
3225,13152,13152,-12.1516
3253,13136,13168,-15.8602
3280,13152,13168,-19.1432
3307,13136,13312,-22.0778
3335,13248,13168,-24.6962
3362,13120,13136,-26.7639
3389,13136,13152,-28.3445
3416,13136,13136,-29.4094
3444,13120,13120,-29.9482
3471,13120,13120,-29.9129
3498,13104,13104,-29.3331
3526,13104,13104,-28.1684
3553,13104,13104,-26.5229
3580,13120,13136,-24.3947
3608,13136,13152,-21.7194
3635,13152,13152,-18.7365
3662,13152,13168,-15.4127
3690,13168,13184,-11.6703
3717,13168,13184,-7.84442
3744,13152,13184,-3.87581
3771,13168,13168,0.163322
3799,13168,13184,4.34796
3826,13168,13184,8.30347
3853,13168,13184,12.1079
3881,13168,13392,15.8196
3908,13232,13184,19.1064
3936,13152,13168,22.1469
3963,13168,13152,24.6691
3990,13152,13168,26.7423
4017,13152,13152,28.3288
4045,13152,13152,29.4294
4072,13136,13136,29.9454
4099,13120,13120,29.9165
4127,13120,13120,29.3115
4154,13104,13120,28.1848
4181,13104,13120,26.5452
4209,13120,13136,24.3351
4236,13136,13152,21.7524
4263,13136,13136,18.7738
4291,13152,13168,15.3249
4318,13152,13152,11.7143
4345,13136,13184,7.89053
4372,13152,13168,3.92319
4400,13152,13184,-0.265539
4427,13168,13168,-4.30067
4454,13152,13168,-8.25755
4481,13136,13152,-12.0642
4510,13136,13168,-15.9064
4537,13152,13200,-19.1851
4564,13152,13152,-22.1147
4592,13104,13136,-24.7271
4619,13136,13152,-26.7884
4646,13136,13136,-28.3623
