Time,Right_Hip,Left_Hip,U
2,13088,13696,0.299995
52,13104,13712,7.71242
100,13344,13904,14.3828
145,13200,13760,19.8941
190,13200,13824,24.4025
235,13184,13776,27.6807
281,13120,13728,29.5886
326,13056,13712,29.9474
371,13104,13712,28.7966
416,13280,13824,26.194
462,13152,13760,22.1702
507,13168,13808,17.1021
552,13216,13824,11.172
598,13344,13904,4.53038
643,13216,13824,-2.20024
689,13344,13888,-8.96321
734,13232,13872,-15.1248
780,13184,13872,-20.633
826,13296,13888,-25.0545
871,13152,13744,-28.1044
917,13072,13776,-29.7569
963,13120,13776,-29.8422
1008,13104,13760,-28.4044
1054,13152,13808,-25.4557
1099,13184,13824,-21.2722
1145,13360,13904,-15.8894
1190,13264,13856,-9.81164
1236,13216,13824,-3.09007
1282,13216,13856,3.79425
1327,13232,13824,10.3381
1373,13408,13904,16.4862
1418,13216,13808,21.6626
1463,13184,13792,25.747
1508,13168,13760,28.5333
1554,13136,13728,29.8943
1599,13104,13712,29.7022
1644,13088,13712,28.0128
1689,13152,13776,24.9112
1734,13168,13792,20.5538
1780,13200,13840,15.0306
1825,13168,13824,8.85924
1870,13216,13808,2.24125
1915,13168,13808,-4.48973
1960,13152,13792,-10.9944
2006,13184,13808,-17.0683
2051,13184,13808,-22.1424
2097,13152,13792,-26.1739
2142,13120,13776,-28.785
2187,13072,13744,-29.945
2233,13120,13744,-29.5705
2278,13104,13728,-27.6965
2324,13184,13824,-24.339
2369,13184,13792,-19.8124
2415,13264,13840,-14.155
2460,13232,13824,-7.89695
2506,13232,13808,-1.09088
2551,13216,13808,5.62538
2597,13216,13808,12.1953
2643,13360,13872,18.1228
2688,13216,13776,22.9999
2733,13184,13792,26.7175
2778,13152,13744,29.0883
2824,13120,13712,29.9956
2869,13088,13696,29.3544
2915,13120,13728,27.1702
2960,13120,13792,23.6476
3006,13136,13792,18.8162
3051,13200,13824,13.129
3097,13216,13824,6.63362
3142,13200,13808,-0.0611019
3187,13184,13808,-6.75274
3233,13152,13808,-13.2387
3278,13184,13824,-18.9113
3323,13168,13792,-23.6304
3368,13152,13808,-27.1584
3413,13104,13760,-29.3172
3458,13072,13744,-29.9981
3503,13088,13728,-29.1667
