Time,Right_Hip,Left_Hip,U
2,13184,14000,0.299995
48,13200,14016,7.13108
93,14224,14192,13.4527
138,12128,13312,19.0961
183,11072,12992,23.7769
228,10448,12736,27.259
274,10416,12512,29.3972
319,9280,12224,29.9912
365,9296,12144,29.0359
410,10368,12288,26.6209
455,10256,12352,22.8638
500,10704,12704,17.9542
545,11440,13024,12.1394
591,12144,13440,5.56535
636,12896,13840,-1.15194
681,13760,14208,-7.81116
726,14592,14640,-14.0766
771,15456,15024,-19.6324
816,16096,15408,-24.1985
862,16688,15648,-27.6038
907,16928,15808,-29.5292
952,16976,15840,-29.966
998,16944,15824,-28.8514
1043,17120,15888,-26.2898
1088,16896,15840,-22.403
1134,16576,15984,-17.2643
1179,16032,14816,-11.3553
1225,15008,14960,-4.72579
1273,14352,14608,2.4517
1318,13472,14096,9.06071
1363,12608,13664,15.2129
1408,11856,13328,20.5983
1454,11008,12912,25.0282
1499,10224,12656,28.0877
1544,10192,12400,29.7311
1590,9104,12176,29.8618
1635,9280,12128,28.4674
1680,10432,12320,25.638
1726,10624,12432,21.4112
1771,11024,12768,16.1834
1817,12304,13232,9.99833
1862,12656,13600,3.43578
1908,13392,13984,-3.44902
1953,14096,14400,-10.0109
1999,14896,14768,-16.1946
2044,15728,15184,-21.4206
2090,16480,15872,-25.6449
2135,16800,16288,-28.4716
2180,16944,15872,-29.8631
2225,16992,15856,-29.7491
2270,16976,15840,-28.1354
2316,17280,15952,-25.0209
2361,16720,15792,-20.6974
2407,16416,15520,-15.2015
2452,15584,15152,-9.04801
2498,15552,14928,-2.28889
2542,13888,14512,4.29408
2588,13184,14096,10.9499
2633,12384,13616,16.9053
2678,11536,13088,22.0085
2724,10688,12784,26.0767
2769,10016,12576,28.7287
2814,9568,12288,29.9324
2860,9392,12128,29.6032
2905,9376,12112,27.7719
2951,9760,12288,24.4541
2996,10464,12576,19.9605
3042,11264,12896,14.3291
3087,11824,13280,8.08759
3132,12560,13664,1.43835
3177,13376,14048,-5.2834
3222,14304,14480,-11.7388
3267,15136,14912,-17.6024
3313,15920,15328,-22.6772
3359,16512,15616,-26.5576
3404,16832,15776,-29.0012
3450,16960,15840,-29.9876
