Time,Right_Hip,Left_Hip,U
2,-0.552994,164.932,0.16
18,-0.552994,164.932,1.43969
34,0,164.932,2.7179
49,0.368664,164.932,3.91373
66,0.921658,164.932,5.26468
83,1.84332,164.932,6.60955
98,2.94931,164.932,7.7899
113,3.68663,164.932,8.96324
127,4.6083,164.932,10.0511
142,5.52995,164.932,11.2079
157,6.26728,164.932,12.3546
172,7.00461,164.932,13.4902
187,8.29493,164.932,14.6137
202,9.03226,164.932,15.724
217,10.1382,164.932,16.8201
232,11.0599,164.932,17.9011
246,11.2442,164.932,18.8956
261,12.1659,164.932,19.9446
276,13.0876,164.932,20.9756
290,14.0092,164.932,21.921
305,14.5622,164.932,22.9147
320,15.2995,164.932,23.8878
334,16.2212,164.932,24.7767
349,16.5899,164.932,25.7075
364,17.1429,164.932,26.6151
380,18.4332,164.932,27.5569
395,19.3548,164.932,28.4141
410,20.6452,164.932,29.2458
425,21.0138,164.932,30.0512
439,21.3825,164.932,30.7785
454,22.1198,164.932,31.531
470,22.8571,164.932,32.3023
485,23.5945,164.932,32.9954
499,23.9631,164.932,33.6155
514,24.7005,164.932,34.2507
528,25.2535,164.932,34.8157
544,25.6221,164.932,35.428
559,25.9908,164.932,35.9691
575,26.7281,164.932,36.5106
590,27.2811,164.932,36.9842
604,28.2028,164.932,37.3963
619,28.7558,164.932,37.8053
634,29.4931,164.932,38.1803
649,29.8618,164.932,38.5209
664,30.5991,164.932,38.8268
682,31.5207,164.932,39.1478
697,32.0737,164.932,39.3765
711,32.6267,164.932,39.558
726,32.9954,164.932,39.7181
740,33.5484,164.932,39.8352
755,34.1014,164.932,39.9261
769,34.6544,164.932,39.9785
785,35.023,164.932,40
799,35.3917,164.932,39.9852
814,35.576,164.932,39.9346
828,35.7604,164.932,39.8549
843,35.9447,164.932,39.7349
858,35.9447,164.932,39.5791
872,36.129,164.932,39.4015
887,36.129,164.932,39.177
902,35.9447,164.932,38.9172
916,36.129,164.932,38.6432
931,35.9447,164.932,38.316
945,35.9447,164.932,37.9794
960,35.9447,164.932,37.5858
975,35.9447,164.932,37.1584
