Time,Right_Hip,Left_Hip,U
2,13072,13712,0.06
49,13088,13712,1.46941
92,13104,13744,2.75611
136,13104,13728,4.06743
179,13104,13728,5.34137
222,13104,13744,6.60543
265,13104,13744,7.85728
309,13104,13744,9.12318
353,13104,13744,10.3714
398,13120,13744,11.6273
443,13120,13744,12.8596
487,13120,13744,14.0393
530,13120,13744,15.166
573,13120,13744,16.2647
616,13120,13760,17.3333
661,13120,13744,18.4172
706,13120,13744,19.4639
751,13120,13744,20.4711
794,13104,13728,21.3949
838,13104,13728,22.2992
884,13104,13728,23.1984
929,13104,13728,24.0307
973,13104,13728,24.7973
1017,13104,13728,25.516
1061,13104,13728,26.1853
1105,13104,13728,26.8039
1148,13104,13728,27.3584
1194,13104,13728,27.8954
1239,13104,13728,28.3638
1283,13104,13728,28.7662
1327,13104,13728,29.1129
1370,13104,13728,29.3972
1413,13104,13728,29.6273
1457,13104,13728,29.806
1503,13104,13728,29.9311
1548,13104,13728,29.9922
1592,13104,13728,29.9933
1635,13104,13728,29.9382
1678,13104,13728,29.8278
1722,13104,13728,29.6577
1766,13104,13728,29.4302
1812,13104,13728,29.1315
1857,13104,13712,28.7797
1900,13088,13712,28.389
1943,13088,13712,27.9458
1987,13104,13728,27.4389
2030,13104,13728,26.8922
2074,13104,13728,26.2813
2117,13088,13712,25.6351
2161,13088,13712,24.9248
2204,13104,13728,24.1841
2248,13088,13712,23.3798
2293,13088,13712,22.5105
2339,13088,13712,21.5748
2383,13088,13712,20.637
2427,13088,13712,19.6593
2471,13088,13728,18.6435
2516,13104,13728,17.5673
2561,13104,13728,16.4556
2605,13104,13728,15.3363
2648,13104,13728,14.2138
2694,13104,13744,12.9839
2739,13104,13728,11.7542
2784,13104,13728,10.5006
2827,13104,13728,9.28287
2871,13104,13728,8.01908
2914,13104,13728,6.76899
2958,13104,13728,5.47689
3003,13104,13744,4.14448
3048,13104,13728,2.80368
3092,13104,13744,1.48717
3135,13120,13728,0.197778
3178,13120,13728,-1.09198
3222,13104,13728,-2.40962
3266,13104,13728,-3.7226
3312,13104,13744,-5.08751
3357,13104,13744,-6.41236
3400,13104,13744,-7.66623
3443,13120,13744,-8.90593
3487,13120,13744,-10.1574
3530,13120,13744,-11.3614
3574,13120,13760,-12.5717
3617,13104,13744,-13.731
3661,13104,13728,-14.891
3706,13104,13728,-16.0475
3752,13104,13728,-17.196
3795,13104,13744,-18.2369
3838,13104,13744,-19.244
3882,13104,13744,-20.2377
3925,13104,13744,-21.1709
3969,13104,13760,-22.0854
4015,13104,13760,-22.9956
4060,13104,13760,-23.8391
4103,13104,13744,-24.5999
4147,13104,13760,-25.3314
4190,13120,13760,-25.9989
4233,13104,13744,-26.6183
4278,13104,13744,-27.2138
4323,13104,13744,-27.7542
4368,13104,13760,-28.2385
4411,13104,13744,-28.6478
4454,13104,13760,-29.0041
4500,13104,13760,-29.3259
4546,13104,13760,-29.5857
4589,13104,13760,-29.7719
