Time,Right_Hip,Left_Hip,U
2,14864,15104,40
49,15728,12480,40
94,17072,11072,40
138,17184,10960,40
181,17200,10944,40
224,17200,10944,40
267,17200,10944,40
312,17200,10944,40
357,17200,10944,40
402,17200,10944,40
445,17200,10944,40
488,17200,10944,40
532,17200,10944,40
575,17200,10944,40
619,17200,10944,40
662,17200,10944,40
706,17200,10944,40
751,17200,10944,40
796,17200,10944,40
840,17200,10944,40
883,17200,10944,40
926,17200,10944,40
970,17200,10944,40
1014,17200,10944,40
1059,17200,10944,40
1104,17200,10944,40
1148,17200,10944,40
1191,17200,10944,40
1237,17200,10944,40
1282,17200,10944,40
1326,17200,10944,40
1370,17200,10944,40
1413,17200,10944,40
1456,17200,10944,40
1500,17200,10944,40
1546,17200,10944,40
1591,18336,11776,-40
1634,15904,13120,-40
1678,13408,15328,-40
1721,11088,17440,-40
1764,10288,17936,-40
1808,10288,17936,-40
1854,10256,17936,-40
1899,10256,17936,-40
1942,10256,17936,-40
1986,10256,17936,-40
2029,10256,17952,-40
2072,10256,17936,-40
2117,10256,17952,-40
2162,10272,17952,-40
2208,10256,17936,-40
2251,10256,17936,-40
2294,10256,17936,-40
2338,10256,17936,-40
2381,10256,17936,-40
2425,10256,17936,-40
2470,10256,17936,-40
2515,10256,17936,-40
2559,10256,17936,-40
2602,10256,17936,-40
2648,10256,17936,-40
2693,10256,17936,-40
2738,10256,17936,-40
2782,10256,17936,-40
2825,10256,17936,-40
2868,10256,17936,-40
2912,10256,17936,-40
2957,10256,17936,-40
3003,10256,17936,-40
3046,10256,17936,-40
3090,10256,17936,-40
3133,10256,17936,-40
3176,11312,18688,40
3220,12160,16096,40
3266,14448,13648,40
3311,16672,11504,40
3354,17168,10992,40
3398,17200,10944,40
3441,17216,10944,40
3484,17216,10944,40
3528,17216,10944,40
3571,17216,10944,40
3615,17216,10944,40
3660,17216,10944,40
3705,17200,10944,40
3749,17216,10944,40
3792,17216,10944,40
3836,17216,10944,40
3879,17216,10944,40
3923,17216,10944,40
3969,17216,10944,40
4014,17216,10944,40
4057,17216,10944,40
4100,17200,10944,40
4144,17216,10944,40
4187,17200,10944,40
4231,17216,10944,40
4274,17216,10944,40
4318,17200,10944,40
4361,17200,10944,40
4405,17216,10944,40
4450,17216,10944,40
4496,17216,10944,40
4540,17200,10944,40
4583,17200,10944,40
4626,17200,10944,40
4670,17200,10944,40
4713,18352,11760,-40
4759,15776,13264,-40
4804,13216,15520,-40
4848,10928,17552,-40
4891,10288,17936,-40
4934,10272,17936,-40
4978,10272,17952,-40
5022,10256,17936,-40
5067,10256,17936,-40
5112,10272,17936,-40
5156,10272,17952,-40
5199,10272,17952,-40
5242,10272,17952,-40
5286,10272,17952,-40
5330,10256,17952,-40
5376,10256,17952,-40
5421,10256,17952,-40
5464,10256,17952,-40
5507,10256,17952,-40
5551,10272,17952,-40
5594,10256,17952,-40
5637,10256,17952,-40
5681,10256,17952,-40
5725,10256,17952,-40
5770,10256,17952,-40
5815,10256,17952,-40
5859,10256,17952,-40
5902,10256,17952,-40
5945,10256,17952,-40
5989,10256,17952,-40
6033,10256,17952,-40
6078,10256,17952,-40
6123,10256,17952,-40
6167,10256,17952,-40
6210,10256,17952,-40
6256,10256,17952,-40
6302,11392,18656,40
6346,12096,16208,40
6389,14272,13824,40
6433,16512,11600,40
6476,17184,10992,40
6520,17184,10944,40
6566,17200,10944,40
6611,17200,10944,40
6654,17200,10944,40
6698,17200,10944,40
6741,17200,10944,40
6784,17200,10944,40
6829,17184,10944,40
6874,17200,10944,40
6920,17216,10944,40
6963,17200,10944,40
7006,17200,10944,40
7050,17216,10944,40
7093,17200,10944,40
7136,17200,10944,40
7180,17200,10944,40
7224,17200,10944,40
7269,17200,10944,40
7314,17200,10944,40
7358,17200,10944,40
7401,17200,10944,40
7444,17200,10944,40
7487,17200,10944,40
7531,17200,10944,40
7574,17200,10944,40
7617,17200,10944,40
7661,17200,10944,40
7704,17200,10944,40
7748,17200,10944,40
7791,17200,10944,40
7835,17200,10944,40
7880,18304,11776,-40
7925,15856,13152,-40
7969,13328,15376,-40
8012,11088,17472,-40
8055,10240,17952,-40
8099,10272,17952,-40
8143,10256,17936,-40
8188,10256,17936,-40
8233,10256,17936,-40
8276,10256,17936,-40
8320,10256,17936,-40
8365,10256,17936,-40
8411,10256,17936,-40
8455,10256,17936,-40
8499,10256,17936,-40
8542,10256,17936,-40
8585,10256,17936,-40
8630,10256,17936,-40
8675,10256,17936,-40
8720,10256,17936,-40
8764,10256,17936,-40
8807,10256,17936,-40
8850,10256,17936,-40
8894,10256,17936,-40
8938,10256,17936,-40
8983,10256,17936,-40
9029,10256,17936,-40
9072,10256,17936,-40
9115,10256,17936,-40
9159,10256,17936,-40
9203,10256,17936,-40
9246,10256,17936,-40
9289,10256,17936,-40
9333,10256,17936,-40
9379,10256,17936,-40
9424,10256,17936,-40
9468,11392,18608,40
9511,12096,16128,40
9554,14272,13776,40
9597,16528,11616,40
9642,17168,11008,40
9687,17200,10944,40
9732,17216,10944,40
9775,17200,10928,40
9819,17200,10928,40
9862,17200,10928,40
9905,17200,10928,40
9949,17200,10928,40
9992,17200,10928,40
10036,17200,10928,40
