Time,Right_Hip,Left_Hip,U
2,-0.368664,0.182648,0.16
27,-0.368664,0.182648,2.15895
51,0.368664,-0.182648,4.07293
75,1.47466,0,5.97753
100,3.31797,0,7.94677
124,4.42396,0,9.81863
148,6.26728,0,11.6679
172,7.92627,0,13.4902
196,9.21659,0,15.2815
220,10.6912,0,17.0376
244,11.9816,0,18.7544
268,13.8249,0,20.428
292,15.4839,0.182648,22.0546
316,17.1429,0.182648,23.6304
340,18.4332,0.182648,25.1517
365,19.9078,0.182648,26.6748
389,21.1982,0.365295,28.0742
413,22.3041,0.182648,29.409
437,23.9631,0.182648,30.6761
461,25.4378,0.182648,31.8725
486,26.5438,0.182648,33.0406
510,27.4654,0.182648,34.0843
534,28.5714,0.365295,35.0495
558,28.7558,0.365295,35.934
582,29.3088,0.365295,36.7357
606,29.3088,0.365295,37.4528
630,29.6774,0.365295,38.0836
654,29.8618,0.365295,38.6267
678,30.5991,0.365295,39.0808
701,31.3364,0.365295,39.4315
725,31.8894,0.182648,39.7085
749,32.8111,0.182648,39.8941
773,33.5484,0.182648,39.9877
798,34.47,0.182648,39.9873
821,35.2074,0.182648,39.8986
845,35.576,0.182648,39.7161
869,35.9447,0.182648,39.4422
893,36.129,0.182648,39.0773
917,36.129,0.182648,38.6225
941,36.129,0.182648,38.0786
966,36.129,0.182648,37.4189
989,35.9447,0.365295,36.7293
1013,35.9447,0.365295,35.9269
1037,35.9447,0.365295,35.0417
1062,35.9447,0.182648,34.0338
1086,36.129,0.182648,32.9862
1110,35.9447,0.182648,31.8626
1134,36.129,0,30.6656
1158,35.7604,0,29.398
1182,34.2857,0,28.0626
1207,33.1797,0,26.603
1230,32.2581,0,25.2012
1254,31.3364,0,23.6818
1279,29.6774,0,22.041
1303,28.5714,0,20.414
1327,27.2811,0,18.74
1351,26.3594,0,17.0228
1375,24.8848,0,15.2664
1399,22.6728,0.365295,13.4749
1422,21.1982,0.182648,11.7288
1447,19.3548,0.182648,9.80283
1471,17.3272,0.182648,7.9308
1495,15.4839,0.182648,6.04051
1519,13.0876,0.365295,4.1363
1543,11.2442,0.182648,2.22256
1567,9.40092,0.365295,0.303703
1590,7.18894,0.365295,-1.53592
1614,4.97696,0.365295,-3.45199
1638,3.31797,0.182648,-5.36012
1662,0.921658,0.182648,-7.2559
1686,-1.29032,0.365295,-9.13496
1710,-2.58065,0.182648,-10.993
1734,-4.97696,0.365295,-12.8257
1758,-7.5576,0.365295,-14.6288
1783,-8.84793,0.365295,-16.4712
1807,-9.95392,0.365295,-18.2013
1830,-11.4286,0.365295,-19.8199
1854,-13.4562,0.182648,-21.4642
1878,-14.7465,0.182648,-23.059
1902,-15.8525,0.182648,-24.6007
1926,-17.1429,0.182648,-26.0857
1951,-18.2488,0.182648,-27.5687
1975,-19.9078,0.182648,-28.9275
1999,-21.1982,0.182648,-30.2197
2023,-22.3041,0.182648,-31.4424
2047,-23.7788,0.365295,-32.5925
2071,-25.2535,0.182648,-33.6676
2096,-25.8064,0.182648,-34.705
2120,-27.6498,0.365295,-35.6194
2144,-28.5714,0.365295,-36.4516
2168,-28.9401,0.365295,-37.1999
2192,-29.3088,0.365295,-37.8625
2216,-29.6774,0.365295,-38.4379
2240,-30.4147,0.365295,-38.9248
2264,-30.9677,0.182648,-39.3219
2288,-31.5207,0.182648,-39.6285
2312,-32.6267,0.365295,-39.8438
2336,-33.9171,0.182648,-39.9674
2360,-34.6544,0.182648,-39.9988
2384,-35.2074,0.182648,-39.9382
2408,-35.9447,0.182648,-39.7855
2432,-36.4977,0.365295,-39.5412
2456,-36.682,0.182648,-39.2057
2480,-36.682,0.365295,-38.78
2508,-36.8664,0.365295,-38.1705
2531,-37.0507,0.365295,-37.5802
2556,-37.0507,0.365295,-36.8485
2579,-36.8664,0.365295,-36.0939
2604,-36.8664,0.182648,-35.1871
2628,-36.682,0.182648,-34.2339
2652,-35.9447,0.182648,-33.2017
2676,-35.576,0.182648,-32.0931
2699,-35.023,0.182648,-30.9613
2723,-34.47,0.182648,-29.7105
2747,-33.3641,0.182648,-28.3912
2771,-31.8894,0.182648,-27.0065
2795,-30.7834,0,-25.5596
2819,-21.3825,-1.09589,-24.0539
2843,-25.2535,0.182648,-22.4927
2867,-22.6728,0.547947,-20.8797
2891,-22.1198,0,-19.2186
2915,-21.7512,0,-17.5133
2939,-21.1982,0,-15.7676
2963,-19.9078,0,-13.9855
2987,-18.4332,-0.182648,-12.1713
3011,-17.3272,-0.182648,-10.329
3035,-16.0369,-0.182648,-8.46297
3059,-14.5622,-0.182648,-6.5774
3082,-12.5346,-0.182648,-4.75613
3106,-10.3226,-0.182648,-2.84501
3130,1.47466,-2.00913,-0.927329
3154,-1.65899,0,0.992486
3178,2.39631,0.730595,2.91001
3202,2.21198,-0.182648,4.82084
3226,3.68663,0.365295,6.72056
3250,4.42396,0.365295,8.6048
3274,5.89862,0,10.4692
3298,7.18894,-0.182648,12.3095
3322,8.47926,-0.182648,14.1215
3346,10.1382,-0.182648,15.9009
3370,11.4286,-0.182648,17.6437
3394,12.9032,-0.182648,19.3458
3417,23.9631,-1.64384,20.9353
3442,21.5668,0,22.6126
3466,23.7788,0.547947,24.1697
3490,23.4101,0,25.6711
3518,23.9631,0,27.3478
3543,24.1475,0,28.7726
3567,24.8848,-0.182648,30.0727
3591,25.8065,0,31.3036
3615,26.5438,-0.182648,32.4623
3640,27.2811,-0.182648,33.5898
3665,28.3871,-0.182648,34.6334
3688,28.9401,0,35.517
3712,29.3088,0,36.3589
3736,29.4931,-0.182648,37.1171
3760,29.6774,0,37.7898
3784,29.8618,-0.182648,38.3754
3808,30.2304,0,38.8726
3832,30.9677,-0.182648,39.2803
3856,32.0737,-0.182648,39.5975
3880,32.8111,-0.182648,39.8235
3904,33.7327,0,39.9577
3928,34.47,0,39.9999
3953,35.2074,0,39.9459
3977,35.7604,0,39.8001
4000,35.9447,0,39.5743
4024,36.129,0,39.2495
4049,36.129,0,38.815
4073,35.9447,0,38.3066
4097,35.9447,0,37.7099
4122,35.9447,0,36.9961
4146,35.7604,0,36.2238
4170,35.9447,0.182648,35.368
4194,35.7604,0.182648,34.4307
4218,35.9447,0,33.4142
4242,36.129,0,32.3207
4266,35.576,0,31.1527
4290,35.3917,0,29.9129
4314,34.47,0,28.6043
4338,33.3641,0,27.2298
4362,32.4424,0,25.7925
4386,31.1521,-0.182648,24.2958
4410,29.8618,-0.182648,22.7432
4434,29.1244,-0.182648,21.1381
4458,28.0184,-0.182648,19.4844
4481,26.5438,-0.182648,17.8574
4506,25.6221,-0.182648,16.0462
4530,23.5945,-0.182648,14.2697
4554,21.5668,-0.182648,12.4603
4577,20.0922,-0.182648,10.6992
4602,18.0645,-0.182648,8.75955
4626,16.4055,-0.182648,6.87678
4650,14.0092,-0.182648,4.97818
4673,11.7972,-0.182648,3.14786
4697,10.1382,-0.182648,1.23092
4721,7.92627,-0.182648,-0.688848
4745,6.08295,-0.182648,-2.60703
4769,4.23963,-0.182648,-4.51921
4793,1.84332,-0.182648,-6.42098
4817,-0.368664,-0.182648,-8.30796
4841,-2.58065,-0.182648,-10.1758
4865,-4.0553,-0.182648,-12.0202
4889,-5.89862,-0.182648,-13.8369
4913,-7.92627,-0.182648,-15.6217
4937,-9.40092,-0.182648,-17.3706
4961,-10.6912,-0.182648,-19.0794
4985,-12.3502,-0.182648,-20.7443
5009,-14.1936,-0.182648,-22.3614
5033,-15.4839,-0.182648,-23.927
5057,-16.5899,-0.182648,-25.4375
5081,-17.5115,-0.365295,-26.8894
5105,-19.5392,-0.182648,-28.2793
5129,-21.7512,-0.182648,-29.6041
5153,-22.8571,-0.182648,-30.8607
5177,-24.1475,-0.182648,-32.0462
5201,-25.0691,-0.182648,-33.1579
5225,-26.7281,0,-34.1932
5249,-28.0184,0,-35.1497
5272,-28.2028,0,-35.9904
5296,-28.7558,0,-36.7865
5320,-29.1244,0,-37.4979
5345,-29.4931,0,-38.147
5369,-30.0461,0,-38.6804
5394,-30.7834,0,-39.1413
5417,-31.3364,-0.182648,-39.479
5441,-31.8894,-0.182648,-39.7423
5465,-33.1797,0,-39.914
5489,-34.2857,0,-39.9938
5513,-34.8387,0,-39.9815
5537,-35.576,0,-39.8771
5561,-36.3134,0,-39.6808
5586,-36.8664,0,-39.3791
5610,-36.8664,0,-38.9969
5634,-36.8664,0,-38.5248
5658,-37.0507,0,-37.9641
5682,-37.0507,0,-37.3158
5706,-37.0507,0,-36.5816
5730,-37.0507,0,-35.7632
5754,-36.8664,0,-34.8623
5778,-36.4977,0,-33.8812
5802,-35.9447,0,-32.822
5826,-35.3917,0,-31.6871
5850,-34.6544,0,-30.4793
5874,-33.7327,0,-29.2013
5898,-32.4424,0,-27.8561
5922,-31.3364,-0.182648,-26.4466
5947,-30.4147,-0.182648,-24.9137
5971,-29.1244,-0.182648,-23.3835
5995,-28.2028,-0.182648,-21.7994
6019,-26.7281,-0.182648,-20.1651
6043,-25.2535,-0.182648,-18.4843
6068,-23.9631,-0.182648,-16.6883
6092,-22.4885,-0.182648,-14.9248
6116,-21.0138,-0.182648,-13.127
6140,-19.1705,-0.182648,-11.2989
6163,-17.5115,-0.182648,-9.5225
6188,-15.6682,-0.182648,-7.56891
6213,-14.0092,-0.182648,-5.5964
6237,-11.6129,-0.182648,-3.68957
6262,-9.76958,-0.182648,-1.69432
6286,-7.74194,-0.182648,0.225174
6309,-6.08295,-0.182648,2.06426
6333,-3.13364,-0.365295,3.97859
6357,-1.29032,-0.182648,5.88375
6381,1.65899,-0.182648,7.77536
6405,3.68663,-0.182648,9.64906
6429,4.79263,-0.182648,11.5005
6453,7.00461,-0.182648,13.3255
6477,8.47926,-0.182648,15.1198
6501,10.3226,-0.182648,16.8792
6525,11.7972,-0.182648,18.5998
6550,13.6406,-0.182648,20.3465
6574,15.4839,-0.182648,21.9754
6598,16.9585,-0.182648,23.5538
6622,18.2488,-0.182648,25.0779
6646,20.0922,-0.365295,26.5443
6670,21.7512,-0.365295,27.9494
6693,23.2258,-0.182648,29.2357
6718,24.5161,-0.182648,30.5636
