Time,Right_Hip,Left_Hip,U
2,13.0876,-6.39269,40
49,23.5945,24.1096,40
95,38.894,38.7215,40
139,40,40,40
182,40.1843,40,40
226,40.1843,40,40
269,40.1843,40,40
313,40.1843,40,40
358,40.1843,40,40
404,40.1843,40,40
447,40.1843,40,40
490,40.1843,40,40
534,40.1843,40,40
577,40.1843,40,40
621,40.1843,40,40
667,40.1843,40,40
712,40.1843,40,40
755,40.1843,40,40
798,40.1843,40,40
842,40.1843,40,40
885,40.1843,40,40
929,40.1843,40,40
972,40.1843,40,40
1016,40.1843,40,40
1061,40.1843,40,40
1107,40.1843,40,40
1150,40.1843,40,40
1193,40.1843,40,40
1237,40.1843,40,40
1280,40.1843,40,40
1324,40.1843,40,40
1370,40.1843,40,40
1415,40.1843,40,40
1458,40.1843,40,40
1502,40.1843,40,40
1545,40.1843,40,40
1588,51.0599,30.5023,-40
1632,26.5438,14.6119,-40
1675,-2.02765,-10.5936,-40
1719,-30.2304,-35.4338,-40
1764,-39.8157,-39.8174,-40
1810,-39.447,-40,-40
1853,-40,-39.8174,-40
1896,-40,-39.8174,-40
1940,-40,-39.8174,-40
1983,-40,-39.8174,-40
2026,-40,-39.8174,-40
2070,-40,-39.8174,-40
2113,-40,-39.8174,-40
2159,-40,-39.8174,-40
2204,-40,-39.8174,-40
2249,-40,-39.8174,-40
2292,-40,-39.8174,-40
2336,-40,-39.8174,-40
2379,-40,-39.8174,-40
2423,-40,-39.8174,-40
2469,-40,-39.8174,-40
2514,-40,-39.8174,-40
2557,-40,-39.8174,-40
2600,-40,-39.8174,-40
2644,-40,-39.8174,-40
2687,-40,-39.8174,-40
2732,-40,-39.8174,-40
2777,-40,-39.8174,-40
2822,-40,-39.8174,-40
2865,-40,-39.8174,-40
2909,-40,-39.8174,-40
2952,-40,-39.8174,-40
2995,-40,-39.8174,-40
3039,-40,-39.8174,-40
3082,-40,-39.8174,-40
3126,-40,-39.8174,-40
3171,-27.6498,-46.758,40
3217,-18.4332,-17.7169,40
3260,6.45161,8.76712,40
3303,32.6267,33.0594,40
3346,39.6313,39.2694,40
3390,40,39.8174,40
3434,40.1843,39.8174,40
3479,40.1843,39.8174,40
3524,40.1843,39.8174,40
3568,40.1843,39.8174,40
3611,40.1843,39.8174,40
3654,40.1843,39.8174,40
3698,40,39.8174,40
3741,40.1843,39.8174,40
3785,40,39.8174,40
3828,40,39.8174,40
3872,40.1843,39.8174,40
3915,40.1843,39.8174,40
3958,40.1843,39.8174,40
4002,40,39.8174,40
4045,40,39.8174,40
4088,40.1843,39.8174,40
4132,40.1843,39.8174,40
4178,40.1843,39.8174,40
4223,40,39.8174,40
4266,40.1843,39.8174,40
4310,40,39.8174,40
4353,40.1843,39.8174,40
4396,40.1843,39.8174,40
4440,40,39.8174,40
4483,40.1843,39.8174,40
4526,40,39.8174,40
4569,40,39.8174,40
4613,40,39.8174,40
4659,40,39.8174,40
4704,40.1843,39.8174,40
4749,53.2719,30.5023,-40
4792,24.3318,14.7945,-40
4836,-3.87097,-10.5936,-40
4879,-29.4931,-34.8858,-40
4923,-39.6313,-40.1826,-40
4969,-39.6313,-40.1826,-40
5014,-39.8157,-40,-40
5057,-39.8157,-40.1826,-40
5101,-40,-40.1826,-40
5144,-40,-40.1826,-40
