Time,Right_Hip,Left_Hip,U
2,12.9032,-6.94064,40
28,13.6406,10.0457,40
53,24.3318,25.3881,40
77,35.576,35.7991,40
101,39.0783,39.2694,40
125,39.6313,39.8174,40
149,39.8157,40,40
172,40.1843,40,40
196,40.1843,40,40
220,40.1843,40,40
244,40.1843,40,40
268,40.1843,40,40
291,40.1843,40,40
315,40.1843,40,40
339,40.1843,40,40
362,40.1843,40,40
386,40.1843,40,40
410,40.1843,40,40
434,40.1843,40,40
458,40.1843,40,40
481,40.1843,40,40
505,40.1843,40,40
529,40.1843,40,40
553,40.1843,40,40
576,40.1843,40,40
600,40.1843,40,40
624,40.1843,40,40
648,40.1843,40,40
672,40.1843,40,40
695,40.1843,40,40
719,40.1843,40,40
743,40.1843,40,40
767,40.1843,40,40
791,40.1843,40,40
814,40.1843,40,40
838,40.1843,40,40
862,40,40,40
886,40.1843,40,40
909,40.1843,40,40
933,40.1843,40,40
957,40.1843,40,40
981,40.1843,40,40
1004,40.1843,40,40
1028,40.1843,40,40
1052,40.1843,40,40
1076,40.1843,40,40
1099,40.1843,40,40
1123,40,40,40
1147,40.1843,40,40
1171,40.1843,40,40
1194,40.1843,40,40
1218,40.1843,40,40
1242,40.1843,40,40
1266,40.1843,40,40
1290,40.1843,40,40
1315,40.1843,40,40
1339,40,40,40
1363,40.1843,40,40
1386,40.1843,40,40
1410,40.1843,40,40
1434,40,40,40
1458,40.1843,40,40
1481,40,40,40
1505,40.1843,40,40
1529,40.1843,40,40
1553,40.1843,40,40
1577,50.1382,30.5023,-40
1600,38.894,24.8402,-40
1624,23.9631,12.6027,-40
1648,7.18894,-1.27854,-40
1672,-7.74194,-15.3425,-40
1696,-22.8571,-29.2237,-40
1719,-34.6544,-37.9909,-40
1743,-39.447,-40,-40
1767,-39.8157,-39.8174,-40
1791,-39.6313,-40,-40
1815,-39.447,-40,-40
1838,-40,-40,-40
1862,-40,-40,-40
1886,-40,-40,-40
1910,-40,-40,-40
1934,-40,-40,-40
1957,-40,-40,-40
1981,-40,-40,-40
2005,-40,-40,-40
2029,-40,-40,-40
2052,-40,-40,-40
2076,-40,-40,-40
2100,-40,-40,-40
2124,-40,-40,-40
2147,-40,-40,-40
2171,-40,-40,-40
2195,-40,-40,-40
2219,-40,-40,-40
2243,-40,-40,-40
2267,-40,-40,-40
2290,-40,-40,-40
2314,-40,-40,-40
2338,-40,-40,-40
2362,-40,-40,-40
2385,-40,-40,-40
2409,-40,-40,-40
2433,-40,-40,-40
2457,-40,-40,-40
2480,-40,-40,-40
2504,-40,-40,-40
2528,-40,-40,-40
2552,-40,-40,-40
2576,-40,-40,-40
2599,-40,-40,-40
2623,-40,-40,-40
2647,-40,-40,-40
2671,-40,-40,-40
2694,-40,-40,-40
2718,-40,-40,-40
2742,-40,-40,-40
2766,-40,-40,-40
2790,-40,-40,-40
2813,-40,-40,-40
2837,-40,-40,-40
2861,-40,-40,-40
2885,-40,-40,-40
2909,-40,-40,-40
2932,-40,-40,-40
2956,-40,-40,-40
2980,-40,-40,-40
3004,-40,-40,-40
3027,-40,-40,-40
3051,-40,-40,-40
3075,-40,-40,-40
3098,-40,-40,-40
3122,-40,-40,-40
3146,-28.3871,-47.3059,40
3170,-27.2811,-31.4155,40
3194,-17.1429,-16.2557,40
3217,-3.68663,-0.913242,40
3241,10.6912,13.516,40
3265,25.2535,27.7626,40
3289,36.4977,36.895,40
3313,39.447,39.4521,40
3336,40,39.8174,40
3360,40.1843,39.8174,40
3384,40.1843,39.8174,40
3408,40.1843,39.8174,40
3432,40.1843,39.8174,40
3455,40.1843,39.8174,40
3479,40.1843,39.8174,40
3503,40.1843,39.8174,40
3527,40.1843,39.8174,40
3550,40.1843,39.8174,40
3574,40.1843,39.8174,40
3598,40.1843,39.8174,40
3622,40.1843,39.8174,40
3645,40.1843,39.8174,40
3669,40.1843,39.8174,40
3693,40.1843,39.8174,40
3717,40.1843,39.8174,40
3741,40.1843,39.8174,40
3764,40.1843,39.8174,40
3788,40.1843,39.8174,40
3812,40.1843,39.8174,40
3836,40.1843,39.8174,40
3859,40.1843,39.8174,40
3883,40.1843,39.8174,40
3907,40.1843,39.8174,40
3930,40.1843,39.8174,40
3954,40.1843,39.8174,40
3978,40.1843,39.8174,40
4002,40.1843,39.8174,40
4026,40.1843,39.8174,40
4049,40.1843,39.8174,40
4073,40.1843,39.8174,40
4097,40.1843,39.8174,40
4121,40.1843,39.8174,40
4145,40.1843,39.8174,40
4168,40.1843,39.8174,40
4192,40.1843,39.8174,40
4216,40.1843,39.8174,40
4240,40.1843,39.8174,40
4263,40.1843,39.8174,40
4287,40.1843,39.8174,40
4311,40.1843,39.8174,40
4335,40.1843,39.8174,40
4359,40.1843,39.8174,40
4382,40.1843,39.8174,40
4406,40.1843,39.8174,40
4430,40.1843,39.8174,40
4454,40.1843,39.8174,40
4478,40.1843,39.8174,40
4501,40.1843,39.8174,40
4525,40.1843,39.8174,40
4549,40.1843,39.8174,40
4573,40.1843,39.8174,40
4596,40.1843,39.8174,40
4620,40.1843,39.8174,40
4644,40.1843,39.8174,40
4668,40.1843,39.8174,40
4691,40.1843,39.8174,40
4715,50.8756,30.3196,-40
4739,38.5253,24.6575,-40
4763,23.7788,12.6027,-40
4787,7.18894,-2.00913,-40
4810,-8.47926,-15.5251,-40
4834,-23.0415,-29.4064,-40
4858,-35.023,-37.6256,-40
4882,-39.0783,-40,-40
4905,-40,-39.8174,-40
4929,-40.1843,-39.8174,-40
4953,-40.1843,-39.8174,-40
4977,-40,-40,-40
5000,-40,-40,-40
5024,-40,-40,-40
5048,-40,-40,-40
5072,-40,-40,-40
5095,-40,-40,-40
5119,-40,-40,-40
5143,-40,-40,-40
5167,-40,-40,-40
5190,-40,-40,-40
5214,-40,-40,-40
5238,-40,-40,-40
5262,-40,-40,-40
5286,-40,-40,-40
5309,-40,-40,-40
5333,-40.1843,-40,-40
5357,-40.1843,-40,-40
5381,-40.1843,-40,-40
5404,-40.1843,-40,-40
5428,-40.1843,-40,-40
5452,-40.1843,-40,-40
5476,-40.1843,-40,-40
5500,-40.1843,-40,-40
5523,-40.1843,-40,-40
5547,-40.1843,-40,-40
5571,-40.1843,-40,-40
5594,-40.1843,-40,-40
5618,-40.1843,-40,-40
5642,-40.1843,-40,-40
5666,-40.1843,-40,-40
5690,-40.1843,-40,-40
5713,-40.1843,-40,-40
5737,-40.1843,-40,-40
5761,-40.1843,-40,-40
5785,-40.1843,-40,-40
5809,-40.1843,-40,-40
5832,-40.1843,-40,-40
5856,-40.1843,-40,-40
5880,-40.1843,-40,-40
5903,-40.1843,-40,-40
5927,-40.1843,-40,-40
5951,-40.1843,-40,-40
5975,-40.1843,-40,-40
5999,-40.1843,-40,-40
6023,-40.1843,-40,-40
6046,-40.1843,-40,-40
6070,-40.1843,-40,-40
6094,-40.1843,-40,-40
6118,-40.1843,-40,-40
6142,-40.1843,-40,-40
6165,-40.1843,-40,-40
6189,-40.1843,-40,-40
6213,-40.1843,-40,-40
6237,-40.1843,-40,-40
6260,-40.1843,-40,-40
6284,-28.7558,-47.4886,40
6308,-27.2811,-31.5982,40
6332,-17.5115,-15.7078,40
6356,-4.23963,-1.46119,40
6380,10.6912,13.516,40
6403,25.0691,27.9452,40
6427,36.682,36.5297,40
6451,39.447,39.6347,40
6475,39.6313,39.6347,40
6499,39.8157,39.6347,40
6522,40,39.6347,40
6546,40,39.8174,40
6570,40.1843,39.6347,40
6594,40.1843,39.8174,40
6617,40.1843,39.6347,40
6641,40.1843,39.8174,40
6665,40.1843,39.8174,40
6689,40.1843,39.6347,40
6713,40.1843,39.8174,40
6736,40.1843,39.8174,40
6760,40.1843,39.8174,40
6784,40.1843,39.6347,40
6808,40.1843,39.8174,40
6832,40.1843,39.8174,40
6855,40.1843,39.8174,40
6879,40.1843,39.6347,40
6903,40.1843,39.6347,40
6927,40,39.8174,40
6951,40,39.8174,40
6974,40.1843,39.8174,40
6998,40,39.8174,40
7022,40,39.8174,40
7046,40.1843,39.8174,40
7069,40,40,40
7093,40,39.8174,40
7117,40,40,40
7141,40,39.8174,40
7164,40,39.8174,40
7188,40,39.8174,40
7212,40,39.8174,40
7236,40,40,40
7260,40,39.8174,40
7283,40,39.8174,40
7307,40,39.8174,40
7331,40,39.8174,40
7355,40,40,40
7379,40,40,40
7402,40,39.8174,40
7426,40,39.8174,40
7450,40,39.8174,40
7474,40,39.8174,40
7497,40,39.8174,40
7521,40,40,40
7545,40,39.8174,40
7569,40,39.8174,40
7592,40,39.8174,40
7616,40,40,40
7640,40,39.8174,40
7664,40,39.8174,40
7687,40,39.8174,40
7711,40,40,40
7735,40,40,40
7759,40,39.8174,40
7783,40,40,40
7806,40,40,40
7830,40,40,40
7854,51.4286,30.5023,-40
7878,38.341,24.4749,-40
7901,23.2258,12.2374,-40
7925,6.63594,-2.00913,-40
7949,-8.29493,-16.0731,-40
7973,-23.5945,-29.7717,-40
7997,-35.023,-37.8082,-40
8020,-39.0783,-39.8174,-40
8044,-40,-39.8174,-40
8068,-40,-39.8174,-40
8092,-40,-39.8174,-40
8115,-40,-39.8174,-40
8139,-40,-39.8174,-40
8163,-40,-40,-40
8187,-40,-40,-40
8210,-40,-40,-40
8234,-40,-40,-40
8258,-40,-40,-40
8282,-40,-40,-40
8305,-40,-40,-40
8329,-40,-40,-40
8353,-40,-40,-40
8377,-40,-40.1826,-40
8401,-40,-40,-40
8424,-40.1843,-40,-40
8448,-40.1843,-40,-40
8472,-40.1843,-40,-40
8496,-40.1843,-40,-40
8519,-40.1843,-40,-40
8543,-40.1843,-40,-40
8567,-40.1843,-40,-40
8591,-40.1843,-40,-40
8614,-40.1843,-40,-40
8638,-40.1843,-40,-40
8662,-40.1843,-40,-40
8686,-40.1843,-40,-40
8710,-40.1843,-40,-40
8733,-40.1843,-40,-40
8757,-40.1843,-40,-40
8781,-40.1843,-40,-40
8805,-40.1843,-40,-40
8829,-40.1843,-40,-40
8853,-40.1843,-40,-40
8877,-40.1843,-40,-40
8901,-40.1843,-40,-40
8924,-40.1843,-40,-40
8948,-40.1843,-40,-40
8972,-40.1843,-40,-40
8996,-40.1843,-40,-40
9019,-40.1843,-40,-40
9043,-40.1843,-40,-40
9067,-40.1843,-40,-40
9091,-40.1843,-40,-40
9114,-40.1843,-40,-40
9138,-40.1843,-40,-40
9162,-40.1843,-40,-40
9186,-40.1843,-40,-40
9209,-40.1843,-40,-40
9233,-40.1843,-40,-40
9257,-40.1843,-40,-40
9281,-40.1843,-40,-40
9304,-40.1843,-40,-40
9328,-40.1843,-40,-40
9352,-40.1843,-40,-40
9376,-40.1843,-40,-40
9399,-40.1843,-40,-40
9424,-40.1843,-40,-40
9448,-27.0968,-48.0365,40
9471,-26.5438,-32.3288,40
9495,-16.7742,-16.4384,40
9519,-3.5023,-2.19178,40
9543,11.4286,12.6027,40
9567,25.8065,27.2146,40
9590,37.235,36.7123,40
9614,39.6313,39.2694,40
9638,40.1843,39.6347,40
9662,40.1843,39.8174,40
9686,40.1843,39.8174,40
9709,40.1843,39.8174,40
9733,40.1843,39.8174,40
9757,40.3687,39.8174,40
9781,40.1843,39.8174,40
9804,40.3687,39.8174,40
9828,40.3687,39.8174,40
9852,40.1843,39.8174,40
9876,40.3687,39.8174,40
9900,40.3687,39.8174,40
9923,40.3687,39.8174,40
9947,40.3687,39.8174,40
9971,40.3687,39.8174,40
9995,40.3687,39.8174,40
10019,40.1843,40,40
