Time,Left,Right
1604806465186,46.4871,169.535
1604806465207,46.377,177.466
1604806465227,43.7332,180.661
1604806465248,39.6573,180.661
1604806465268,38.3354,175.704
1604806465289,37.7846,169.865
1604806465309,38.9963,164.578
1604806465330,41.53,159.951
1604806465350,44.0636,155.435
1604806465370,46.8176,151.359
1604806465389,49.5716,147.283
1604806465409,53.0967,143.317
1604806465429,56.6218,139.241
1604806465449,60.3672,135.496
1604806465469,64.2228,131.86
1604806465490,68.1885,127.785
1604806465516,73.5863,124.48
1604806465537,77.3317,120.294
1604806465556,80.7466,116.989
1604806465575,84.8225,113.464
1604806465594,88.5679,110.269
1604806465614,93.1946,106.634
1604806465633,97.0502,103.55
1604806465652,99.033,99.8042
1604806465671,101.787,96.3892
1604806465690,106.083,90.7711
1604806465727,123.819,104.321
1604806465746,124.37,103.99
1604806465765,125.471,103.219
1604806465784,124.7,102.007
1604806465803,122.607,101.677
1604806465822,119.743,101.567
1604806465841,114.786,101.677
1604806465859,108.176,99.694
1604806465878,101.787,97.9315
1604806465897,90.7711,97.8213
1604806465916,84.2717,97.0502
1604806465935,89.339,98.8127
1604806465954,79.5349,97.0502
1604806465973,76.5606,100.465
1604806465992,74.1371,101.236
1604806466011,73.1457,108.286
1604806466048,98.7026,117.209
1604806466067,98.9229,121.946
1604806466086,98.9229,124.039
1604806466105,100.024,124.7
1604806466124,99.694,123.048
1604806466142,99.1432,119.082
1604806466161,98.7026,113.023
1604806466180,99.1432,107.625
1604806466199,100.135,102.999
1604806466218,102.007,98.7026
1604806466237,100.355,94.0759
1604806466256,104.651,84.0514
1604806466276,118.972,81.7381
1604806466315,123.378,99.8042
1604806466335,124.81,98.8127
1604806466355,124.81,97.8213
1604806466376,123.158,97.4908
1604806466396,120.294,97.3807
1604806466416,115.337,97.0502
1604806466437,108.176,94.0759
1604806466457,101.346,92.8641
1604806466477,89.7797,93.0845
1604806466497,84.1616,92.754
1604806466517,96.7197,95.7283
1604806466536,83.7209,98.8127
1604806466556,77.552,101.126
1604806466576,75.5692,99.4737
1604806466596,74.798,101.897
1604806466615,71.4933,111.151
1604806466655,98.8127,121.946
1604806466675,98.9229,123.378
1604806466696,100.024,125.031
1604806466716,100.135,123.929
1604806466737,99.694,120.624
1604806466757,99.033,114.676
1604806466777,99.694,108.727
1604806466797,100.685,103.66
1604806466816,101.787,99.2534
1604806466836,100.575,94.0759
1604806466856,107.075,83.9412
1604806466897,123.378,101.787
1604806466917,124.149,100.575
1604806466938,124.7,99.694
1604806466958,123.158,98.5924
1604806466978,120.734,98.7026
1604806466998,116.328,98.3721
1604806467017,109.829,96.2791
1604806467037,102.778,94.5165
1604806467057,92.8641,94.4064
1604806467077,80.967,94.186
1604806467098,87.6867,95.9486
1604806467118,93.5251,100.245
1604806467139,78.7638,101.567
1604806467159,75.6793,100.465
1604806467179,74.3574,98.2619
1604806467198,73.5863,101.677
1604806467218,72.705,106.304
1604806467258,98.9229,122.497
1604806467278,98.8127,124.149
1604806467299,99.9143,125.692
1604806467319,100.245,124.81
1604806467340,99.2534,120.955
1604806467360,98.1518,114.125
1604806467380,98.8127,108.617
1604806467399,99.8042,103.439
1604806467419,101.016,99.1432
1604806467439,100.685,93.7454
1604806467459,109.718,84.6022
1604806467499,123.158,102.448
1604806467520,124.039,100.465
1604806467540,123.929,99.9143
1604806467560,122.056,98.9229
1604806467580,119.412,98.8127
1604806467600,115.116,98.4823
1604806467620,108.286,96.4994
1604806467639,101.677,94.5165
1604806467659,89.339,93.9657
1604806467680,83.9412,93.7454
1604806467700,87.4663,96.3892
1604806467721,82.1787,102.007
1604806467741,77.3317,100.245
1604806467762,75.5692,99.4737
1604806467782,67.7479,98.8127
1604806467801,73.8066,103.88
1604806467821,73.2558,106.414
1604806467861,98.9229,122.277
1604806467881,98.8127,124.48
1604806467902,99.9143,125.692
1604806467922,99.9143,123.819
1604806467943,98.7026,118.972
1604806467963,98.4823,112.472
1604806467983,99.2534,106.965
1604806468003,101.016,101.897
1604806468023,102.338,97.4908
1604806468042,100.796,91.9829
1604806468062,113.574,84.492
1604806468103,123.158,101.346
1604806468124,124.37,99.8042
1604806468144,123.929,98.8127
1604806468164,121.616,98.4823
1604806468184,119.192,98.1518
1604806468204,114.235,97.8213
1604806468223,107.075,95.508
1604806468243,101.126,94.186
1604806468263,88.3476,93.1946
1604806468284,83.06,93.1946
1604806468304,88.3476,89.7797
1604806468325,79.4247,100.355
1604806468345,79.3146,99.9143
1604806468365,74.9082,99.5838
1604806468385,72.1542,99.5838
1604806468405,74.4676,106.965
1604806468444,99.033,122.056
1604806468464,99.1432,124.039
1604806468484,100.245,125.251
1604806468510,99.9143,123.268
1604806468531,98.7026,117.209
1604806468551,98.4823,110.6
1604806468571,99.9143,104.871
1604806468591,102.118,100.245
1604806468610,101.677,95.0673
1604806468629,100.465,87.3562
1604806468648,100.796,78.213
1604806468667,113.023,81.8482
1604806468704,124.59,99.694
1604806468723,125.802,99.3635
1604806468742,124.7,98.5924
1604806468761,122.497,98.5924
1604806468780,118.972,98.0416
1604806468799,113.464,97.0502
1604806468818,106.414,94.0759
1604806468836,100.796,93.4149
1604806468855,88.5679,93.7454
1604806468874,84.0514,93.8556
1604806468893,96.0588,91.8727
1604806468912,82.5092,99.694
1604806468931,77.4419,100.245
1604806468950,75.3488,100.135
1604806468969,76.12,100.245
1604806468988,73.9168,108.507
