Time,Left,Right
1605602863070,2032,24560
1605602863090,2128,24992
1605602863109,2240,25120
1605602863129,2240,25904
1605602863148,2704,26160
1605602863168,2960,25936
1605602863188,2144,24800
1605602863208,2128,24416
1605602863228,2128,24432
1605602863249,2096,24208
1605602863269,2064,24064
1605602863290,2112,23952
1605602863310,2112,23792
1605602863330,2144,23776
1605602863350,3088,23152
1605602863369,2192,23424
1605602863389,2192,23280
1605602863409,2128,23696
1605602863430,2144,23360
1605602863450,2208,23184
1605602863471,2128,23104
1605602863491,2112,22688
1605602863512,2160,22672
1605602863531,2144,22656
1605602863552,2112,22528
1605602863571,2144,22240
1605602863591,2144,22272
1605602863612,2128,21872
1605602863633,2160,21840
1605602863653,2128,21632
1605602863673,2176,21520
1605602863694,2160,21488
1605602863714,2160,21280
1605602863734,2144,21104
1605602863754,2128,20976
1605602863773,2176,20832
1605602863793,2096,20768
1605602863813,2160,20816
1605602863834,2128,20512
1605602863854,2224,20240
1605602863875,2160,20304
1605602863895,2176,20128
1605602863915,2096,20528
1605602863935,2304,20016
1605602863955,2144,19840
1605602863975,2304,19776
1605602863994,2176,19520
1605602864014,2160,19440
1605602864035,2192,19296
1605602864055,2128,19184
1605602864076,2240,19168
1605602864096,2144,18944
1605602864116,2160,18608
1605602864136,2192,18704
1605602864156,2144,18496
1605602864176,2160,18496
1605602864195,2224,18160
1605602864215,2224,18064
1605602864236,2208,17968
1605602864256,2192,17904
1605602864277,2160,17792
1605602864297,2144,17552
1605602864317,2192,17456
1605602864337,2176,17328
1605602864357,2160,17232
1605602864377,2192,17104
1605602864397,2272,17024
1605602864417,2192,17104
1605602864437,2192,16864
1605602864457,2192,16592
1605602864478,2144,16416
1605602864498,2208,16224
1605602864519,2144,16208
1605602864538,2176,15904
1605602864558,2160,16064
1605602864578,2208,15792
1605602864598,2128,15584
1605602864617,2256,15520
1605602864638,2176,15424
1605602864658,2128,15184
1605602864679,2224,15136
1605602864699,2192,15072
1605602864720,2160,14928
1605602864739,2160,14784
1605602864759,2208,14640
1605602864779,2176,14512
1605602864799,2176,14384
1605602864818,2144,14416
1605602864839,2176,14112
1605602864860,2192,14032
1605602864880,2144,13904
1605602864901,2208,13728
1605602864921,2128,13776
1605602864941,2208,13440
1605602864961,2192,13504
1605602864980,2144,13296
1605602865000,2176,13120
1605602865020,2176,13008
1605602865041,2144,12960
1605602865062,2160,12816
1605602865082,2128,12656
1605602865103,2224,12784
1605602865122,2160,12176
1605602865142,2176,12304
1605602865162,2144,12096
1605602865182,2144,12032
1605602865201,2144,11712
1605602865222,2208,11808
1605602865244,2128,11632
1605602865265,2144,11488
1605602865286,2144,11440
1605602865306,2112,11184
1605602865326,2096,11056
1605602865345,2064,10976
1605602865364,2400,11088
1605602865383,2336,11488
1605602865403,2128,10672
1605602865422,2160,10496
1605602865440,2176,10336
1605602865460,2128,10240
1605602865478,2144,10096
1605602865497,2112,9936
1605602865516,2144,9776
1605602865535,2112,9664
1605602865554,2112,9584
1605602865573,2160,9280
1605602865592,2176,9872
1605602865611,2144,9280
1605602865630,2144,9200
1605602865648,2080,9072
1605602865667,2176,9168
1605602865686,2144,9120
1605602865705,2128,8720
1605602865724,2208,8704
1605602865743,2176,9152
1605602865762,2224,8512
1605602865781,2176,8304
1605602865800,2112,7904
1605602865819,2176,7744
1605602865837,2128,7616
1605602865856,2128,7408
1605602865875,2144,7296
1605602865894,2128,7248
1605602865913,2128,6960
1605602865932,2224,7072
1605602865951,2096,7040
1605602865970,2112,6896
1605602865988,2096,6848
1605602866007,2176,6864
1605602866026,2112,6992
1605602866046,2160,6576
1605602866066,2112,6512
1605602866086,2144,6080
1605602866106,2192,6304
1605602866126,2128,5824
1605602866146,2160,5904
1605602866167,2144,5504
1605602866187,2272,5840
1605602866207,2112,5312
1605602866228,2144,5536
1605602866247,2128,5136
1605602866267,2144,5040
1605602866287,2176,5088
1605602866307,2128,4992
1605602866327,2144,4752
1605602866347,2128,4560
1605602866367,2208,4256
1605602866388,2144,4544
1605602866408,2144,3952
1605602866429,2112,3968
