Time,Left,Right,U
0,4432,14784,110
21,4496,14784,111.042
42,4480,14816,112.039
63,4464,14864,112.946
83,4480,14848,113.69
104,4496,14896,114.312
125,4448,15040,114.745
145,4480,15120,114.964
166,4480,15168,114.98
187,4496,15232,114.778
208,4464,15248,114.366
228,4480,15248,113.794
249,4480,15264,113.032
270,4496,15312,112.137
291,4480,15296,111.148
311,4464,15312,110.158
333,4480,15296,109.064
353,4496,15280,108.106
374,4464,15184,107.183
395,4480,14992,106.384
416,4480,14832,105.744
436,4480,14688,105.307
457,4480,14640,105.051
478,4480,14656,105.011
499,4480,14656,105.191
519,4496,14656,105.56
540,4464,14640,106.136
561,4448,14624,106.883
582,4480,14640,107.766
603,4512,14640,108.748
623,4480,14688,109.734
644,4464,14672,110.781
665,4480,14704,111.793
686,4496,14768,112.727
706,4480,14880,113.505
727,4464,14960,114.171
748,4480,15024,114.654
769,4496,15088,114.933
789,4480,15184,114.997
810,4464,15216,114.849
831,4464,15216,114.489
852,4496,15232,113.931
872,4496,15248,113.239
893,4464,15264,112.374
914,4464,15264,111.405
934,4496,15264,110.423
955,4480,15280,109.376
976,4464,15296,108.355
996,4464,15280,107.45
1017,4496,15136,106.609
1038,4496,14928,105.918
1059,4464,14784,105.406
1080,4448,14656,105.095
1100,4480,14592,105
1121,4496,14592,105.115
1142,4480,14576,105.444
1163,4464,14592,105.973
1183,4480,14592,106.642
1204,4480,14608,107.488
1225,4480,14608,108.444
1245,4464,14624,109.419
1266,4480,14640,110.467
1287,4496,14656,111.495
1308,4480,14752,112.457
1328,4464,14896,113.273
1349,4480,14944,113.989
1370,4496,15024,114.53
1391,4480,15088,114.872
1412,4448,15088,114.999
1432,4496,15168,114.917
1453,4496,15200,114.619
1474,4464,15200,114.119
1495,4464,15216,113.437
1515,4512,15232,112.647
1543,4464,15248,111.372
1564,4464,15280,110.34
1585,4480,15296,109.292
1605,4480,15296,108.323
1626,4464,15296,107.378
1646,4464,15232,106.584
1667,4480,15056,105.898
1687,4496,14896,105.412
1707,4480,14752,105.109
1728,4448,14656,105
1748,4464,14608,105.101
1769,4496,14608,105.417
1789,4480,14608,105.905
1810,4480,14592,106.593
1830,4464,14608,107.388
1851,4496,14624,108.335
1871,4480,14640,109.304
1892,4464,14640,110.352
1912,4464,14656,111.336
1933,4480,14736,112.311
1953,4496,14864,113.146
1973,4480,14976,113.855
1994,4464,15056,114.434
2014,4464,15088,114.805
2035,4480,15136,114.988
2055,4496,15200,114.958
2076,4464,15232,114.714
2096,4448,15248,114.289
2116,4496,15264,113.694
2137,4480,15264,112.91
2157,4480,15280,112.044
2178,4464,15296,111.048
2198,4464,15296,110.056
2219,4496,15312,109.012
2239,4480,15296,108.058
2260,4464,15264,107.14
2280,4464,15088,106.383
2301,4464,14912,105.742
2321,4512,14752,105.306
2341,4464,14656,105.058
2362,4464,14624,105.008
2382,4480,14624,105.166
2403,4496,14624,105.538
2423,4480,14624,106.075
2443,4464,14624,106.768
2464,4480,14640,107.635
2484,4480,14656,108.557
2505,4480,14656,109.587
2525,4464,14688,110.585
2547,4464,14704,111.655
2570,4496,14800,112.687
2593,4448,14896,113.577
2616,4480,14992,114.279
2639,4480,15088,114.756
2660,4464,15152,114.973
2682,4480,15200,114.966
2704,4480,15248,114.72
2726,4464,15248,114.246
2747,4464,15264,113.602
2770,4496,15296,112.716
2792,4464,15280,111.735
2813,4464,15312,110.719
2835,4496,15328,109.622
2857,4480,15360,108.543
2879,4464,15312,107.534
2901,4496,15200,106.645
2922,4496,15024,105.946
2944,4464,14816,105.405
2966,4464,14640,105.085
2988,4496,14640,105.003
3010,4448,14592,105.162
3032,4464,14608,105.553
3053,4512,14608,106.127
3075,4464,14624,106.911
3097,4464,14640,107.844
3119,4496,14640,108.88
3140,4480,14640,109.92
3162,4464,14672,111.013
3184,4480,14768,112.057
3206,4480,14896,113.002
3228,4448,14944,113.802
3249,4496,15024,114.396
3271,4480,15120,114.81
3293,4464,15152,114.992
3315,4464,15168,114.934
3337,4496,15216,114.637
3358,4448,15216,114.146
3380,4464,15232,113.436
3402,4512,15232,112.56
3424,4480,15264,111.561
3446,4464,15264,110.487
3468,4480,15280,109.389
3489,4496,15296,108.368
3511,4448,15280,107.376
3533,4480,15200,106.51
3556,4480,15024,105.786
3579,4432,14832,105.283
3602,4512,14688,105.029
3625,4448,14624,105.037
3648,4464,14608,105.306
3670,4496,14608,105.795
3691,4464,14608,106.451
3713,4464,14624,107.306
3735,4496,14624,108.29
3757,4480,14624,109.356
3779,4448,14704,110.454
3800,4480,14720,111.482
3822,4496,14704,112.488
3844,4448,14896,113.375
3867,4480,15024,114.127
3890,4480,15120,114.662
3913,4448,15136,114.951
3936,4496,15136,114.98
3958,4480,15152,114.762
3980,4448,15216,114.314
4002,4496,15216,113.658
4024,4480,15232,112.826
4045,4464,15248,111.904
4067,4480,15280,110.849
4089,4496,15312,109.754
4111,4448,15280,108.67
4133,4480,15280,107.65
4154,4496,15216,106.782
4176,4464,15024,106.024
4198,4464,14848,105.458
4220,4496,14704,105.111
4242,4448,14624,105
4265,4464,14608,105.142
4288,4496,14608,105.539
4311,4448,14608,106.171
4334,4480,14624,107.005
4356,4512,14624,107.951
4378,4448,14624,108.995
4400,4464,14656,110.089
4421,4496,14656,111.129
4443,4464,14704,112.164
4465,4464,14848,113.096
4487,4496,14944,113.878
4509,4464,15024,114.473
4531,4448,15088,114.853
4552,4496,15168,114.997
4574,4480,15216,114.913
4596,4448,15232,114.592
4618,4480,15248,114.049
4640,4496,15264,113.312
4662,4464,15280,112.414
4683,4480,15280,111.448
4706,4480,15280,110.319
4728,4448,15280,109.223
4750,4480,15312,108.163
4772,4496,15232,107.193
4793,4464,15056,106.392
4815,4464,14880,105.724
4837,4496,14720,105.261
4859,4480,14672,105.027
4881,4464,14688,105.033
4902,4496,14672,105.262
4924,4480,14672,105.725
4946,4448,14656,106.394
4968,4480,14640,107.237
4990,4496,14656,108.213
5012,4464,14672,109.275
