Time,Left,Right,U
0,4432,13424,90
24,4464,13424,92.3089
47,4496,13440,94.0378
70,4464,13488,94.9272
93,4464,13536,94.7924
116,4512,13600,93.6612
138,4464,13824,91.862
160,4480,13792,89.7081
182,4496,13792,87.6099
204,4464,13648,85.9669
226,4464,13536,85.0922
248,4496,13360,85.1525
269,4464,13264,86.0735
291,4448,13200,87.766
313,4496,13152,89.8841
335,4496,13168,92.0242
357,4464,13232,93.7788
378,4480,13296,94.7855
400,4480,13344,94.9468
422,4464,13632,94.1657
444,4480,13616,92.5911
466,4496,13616,90.5229
488,4464,13696,88.3551
509,4464,13680,86.5727
531,4480,13536,85.3485
553,4480,13360,85.0104
575,4464,13264,85.6227
597,4480,13184,87.069
618,4480,13152,88.9755
640,4464,13168,91.1575
662,4480,13184,93.1191
684,4480,13264,94.4865
706,4448,13296,94.9993
728,4496,13600,94.5596
749,4496,14096,93.3268
771,4464,13744,91.42
793,4464,13712,89.2427
815,4496,13728,87.2097
837,4464,13584,85.7083
858,4464,13408,85.0352
880,4496,13296,85.2558
902,4480,13248,86.3801
924,4464,13184,88.194
946,4480,13152,90.3519
967,4496,13248,92.3551
989,4464,13264,94.0094
1011,4480,13216,94.9
1033,4496,13376,94.8571
1055,4448,13776,93.889
1077,4464,13792,92.18
1098,4512,13728,90.1557
1120,4464,13664,88.0122
1142,4464,13728,86.2474
1164,4496,13744,85.1974
1185,4480,13504,85.0476
1207,4464,13280,85.8124
1229,4480,13184,87.3749
1251,4496,13152,89.4375
1274,4448,13200,91.7016
1297,4496,13232,93.612
1320,4448,13248,94.7714
1343,4480,13424,94.9389
1366,4480,13792,94.0796
1387,4480,13680,92.5463
1409,4464,13696,90.471
1431,4496,13728,88.3059
1453,4480,13680,86.4635
1474,4464,13568,85.3296
1496,4496,13376,85.014
1518,4464,13264,85.6482
1540,4448,13200,87.1114
1562,4480,13168,89.1249
1583,4512,13168,91.2083
1605,4448,13216,93.1598
1627,4480,13280,94.5093
1649,4496,13280,94.9999
1671,4464,13488,94.538
1693,4464,13952,93.2116
1714,4480,13808,91.3699
1736,4480,13664,89.1912
1758,4464,13632,87.1666
1780,4496,13584,85.6817
1802,4480,13456,85.0195
1824,4448,13296,85.306
1846,4480,13232,86.4868
1867,4480,13168,88.2428
1889,4448,13168,90.404
1911,4480,13232,92.4883
1933,4496,13232,94.0985
1955,4464,13232,94.928
1977,4464,13456,94.8187
1998,4480,13856,93.8559
2020,4464,13808,92.1329
2042,4480,13760,90.0035
2064,4496,13712,87.8735
2086,4464,13776,86.1486
2108,4448,13760,85.1573
2129,4480,13488,85.0708
2151,4496,13264,85.8975
2173,4464,13152,87.5056
2195,4480,13136,89.589
2217,4496,13184,91.7506
2238,4464,13264,93.5082
2260,4464,13280,94.6915
2282,4496,13456,94.9811
2304,4464,13680,94.3218
2326,4448,13680,92.8392
2347,4512,13664,90.9143
2369,4480,13712,88.7334
2391,4464,13744,86.7938
2413,4496,13664,85.465
2435,4480,13488,85.0001
2457,4432,13296,85.4876
2478,4480,13200,86.758
2500,4496,13168,88.6881
2522,4464,13168,90.8682
2544,4480,13200,92.8828
2566,4480,13264,94.3483
2587,4464,13264,94.9768
2609,4464,13488,94.7075
2631,4496,13808,93.5415
2653,4480,13680,91.7007
2675,4464,13728,89.536
2697,4496,13728,87.4597
2719,4480,13632,85.8673
2740,4448,13504,85.0789
2762,4480,13312,85.1708
2784,4496,13216,86.1827
2806,4432,13168,87.9217
2828,4480,13152,90.0567
2850,4496,13200,92.1808
2871,4464,13248,93.8259
2893,4464,13200,94.8326
2915,4496,13328,94.9187
2937,4480,13680,94.0678
2959,4480,13776,92.442
2980,4480,13696,90.4507
3002,4496,13632,88.2867
3024,4464,13632,86.4492
3046,4496,13552,85.288
3068,4480,13376,85.0245
3089,4464,13280,85.6583
3111,4464,13216,87.1281
3133,4512,13136,89.145
3155,4464,13184,91.3247
3177,4464,13184,93.2521
3199,4496,13216,94.56
3220,4464,13280,95
3242,4464,13648,94.5294
3264,4480,13920,93.196
3286,4480,13728,91.2537
3308,4464,13632,89.0726
3329,4480,13680,87.1498
3351,4480,13664,85.6715
3373,4448,13520,85.0177
3395,4496,13328,85.3131
3417,4496,13248,86.5013
3438,4464,13168,88.2619
3460,4464,13232,90.4243
3482,4496,13200,92.5059
3504,4464,13232,94.1101
3526,4448,13296,94.9314
3548,4496,13584,94.8133
3570,4464,13712,93.7782
3592,4464,13680,92.0234
3614,4496,13648,89.8832
3636,4480,13680,87.7652
3658,4464,13680,86.0729
3679,4496,13552,85.1523
3701,4496,13360,85.0924
3723,4448,13248,85.9675
3745,4464,13184,87.6107
3767,4496,13120,89.709
3788,4480,13168,91.7697
3810,4464,13296,93.593
3832,4496,13264,94.7318
3854,4480,13264,94.9692
3876,4464,13616,94.2601
3897,4496,14272,92.8225
3919,4480,13760,90.7957
3941,4448,13648,88.6173
3963,4496,13632,86.7024
3985,4480,13632,85.4156
4007,4464,13376,85.0022
4028,4480,13216,85.4964
4050,4496,13200,86.8506
4072,4448,13152,88.8046
4094,4480,13168,90.9864
4116,4496,13184,92.9803
4137,4464,13280,94.3583
4159,4448,13280,94.987
4181,4512,13616,94.6656
4203,4480,14160,93.4555
4225,4432,13776,91.5871
4247,4496,13648,89.4163
4268,4480,13600,87.4422
