Time,Left,U
2,13776,80.2
16,13776,81.5932
29,13840,82.8595
41,13856,83.9861
54,13840,85.1414
67,13824,86.2099
80,13808,87.1736
92,13808,87.956
105,13792,88.6742
117,13760,89.2075
129,13728,89.6084
141,13712,89.871
153,13712,89.9917
165,13680,89.9687
177,13664,89.8022
189,13648,89.4949
201,13616,89.0509
213,13600,88.4768
225,13584,87.7807
237,13568,86.9728
249,13552,86.0645
261,13520,85.0691
273,13504,84.0007
285,13488,82.8748
297,13520,81.7075
309,13552,80.5157
321,13568,79.3165
333,13584,78.1271
345,13616,76.9646
357,13632,75.8458
369,13664,74.7867
381,13664,73.8026
393,13696,72.9077
405,13712,72.1147
417,13744,71.4352
429,13760,70.8789
441,13808,70.4537
453,13824,70.1659
465,13904,70.0195
477,13952,70.0166
489,13984,70.1573
501,14016,70.4396
513,14032,70.8594
525,14048,71.4107
537,14064,72.0854
549,14080,72.8741
561,14080,73.7652
573,14064,74.746
585,14064,75.8024
597,14064,76.9191
609,14144,78.0801
621,14160,79.2688
633,14176,80.468
645,14176,81.6604
657,14208,82.829
669,14128,83.9569
681,14080,85.0278
693,14032,86.0265
705,14016,86.9384
717,13984,87.7506
729,13952,88.4513
741,13904,89.0305
753,13856,89.4798
765,13808,89.7927
777,13808,89.9648
789,13744,89.9935
801,13696,89.8785
813,13664,89.6215
825,13632,89.226
837,13616,88.6979
849,13584,88.0447
861,13552,87.2757
873,13536,86.4021
885,13504,85.4365
898,13472,84.3026
910,13472,83.191
921,13520,82.1313
933,13552,80.9464
945,13568,79.7478
958,13584,78.454
970,13600,77.2824
982,13632,76.1499
994,13648,75.0727
1006,13664,74.0664
1018,13664,73.1455
1030,13696,72.3231
1042,13728,71.6112
1054,13760,71.0199
1066,13792,70.5578
1078,13824,70.2315
1090,13888,70.0456
1102,13936,70.003
1114,13984,70.1041
1126,14000,70.3476
1138,14032,70.7299
1150,14048,71.2455
1162,14064,71.887
1174,14080,72.6452
1186,14080,73.5092
1198,14080,74.4666
1210,14080,75.5035
1222,14128,76.6051
1234,14160,77.7556
1246,14176,78.9383
1258,14192,80.1363
1270,14192,81.3323
1282,14160,82.5092
1294,14144,83.65
1306,14112,84.7383
1318,14128,85.7584
1330,14096,86.6957
1342,14000,87.5367
1354,13936,88.2693
1366,13888,88.883
1378,13840,89.3689
1390,13808,89.7201
1402,13792,89.9314
1414,13728,90
1426,13680,89.9247
1438,13664,89.7066
1450,13616,89.349
1462,13584,88.8568
1474,13568,88.2373
1488,13552,87.3656
1500,13536,86.5029
1512,13488,85.5467
1524,13472,84.5107
1536,13472,83.4098
1548,13472,82.2599
1560,13536,81.0775
1572,13568,79.8796
1584,13568,78.6835
1596,13600,77.5062
1608,13632,76.3649
1620,13632,75.2758
1632,13664,74.2546
1644,13664,73.3161
1656,13696,72.4738
1668,13712,71.7396
1680,13760,71.1243
1692,13776,70.6367
1704,13824,70.2837
1716,13904,70.0704
1728,13936,70
1740,13968,70.0734
1752,14000,70.2896
1764,14032,70.6454
1776,14064,71.1358
1788,14080,71.7537
1800,14080,72.4901
1812,14080,73.3346
1824,14080,74.275
1836,14080,75.2977
1848,14080,76.388
1860,14176,77.5303
1872,14176,78.7081
1884,14176,79.9044
1896,14176,81.1022
1908,14160,82.2841
1920,14128,83.4332
1932,14112,84.5328
1944,14080,85.5673
1956,14048,86.5217
1968,14000,87.3823
1980,13968,88.1367
1992,13936,88.7741
2004,13888,89.2853
2016,13840,89.663
2028,13840,89.9017
2040,13776,89.9979
2052,13712,89.9504
2064,13680,89.7597
2076,13648,89.4287
2088,13616,88.9621
2100,13584,88.3666
2112,13552,87.6507
2124,13552,86.8248
2136,13536,85.9007
2148,13504,84.8918
2160,13472,83.8125
2172,13472,82.6784
2184,13520,81.5057
2196,13552,80.3114
2208,13568,79.1127
2220,13600,77.9266
2232,13616,76.7704
2244,13632,75.6607
2256,13664,74.6133
2268,13664,73.6435
2280,13696,72.7651
2292,13728,71.9907
2304,13744,71.3315
2316,13776,70.797
2328,13808,70.3948
2340,13840,70.1308
2352,13872,70.0088
2364,13952,70.0304
2376,13984,70.1955
2388,14016,70.5015
2400,14032,70.9442
2412,14048,71.5171
2424,14064,72.2121
2436,14080,73.019
2448,14080,73.9263
2460,14080,74.921
2472,14080,75.9888
2484,14144,77.1142
2497,14160,78.3798
2508,14176,79.4728
2520,14176,80.6721
2532,14160,81.8617
2545,14144,83.1196
2557,14128,84.2346
2569,14096,85.2886
2581,14048,86.2666
2593,14016,87.1544
2605,13984,87.9394
2617,13952,88.6101
2629,13904,89.1571
2641,13856,89.5723
2653,13808,89.8498
2665,13808,89.9857
2677,13744,89.9779
2689,13696,89.8267
2701,13664,89.5341
2713,13632,89.1043
2725,13616,88.5437
2737,13568,87.8601
2749,13552,87.0635
2761,13536,86.1654
2773,13520,85.1785
2785,13488,84.1171
2797,13488,82.9966
2809,13504,81.8329
2821,13552,80.6429
2832,13568,79.5435
2845,13584,78.2524
2857,13600,77.0862
2868,13632,76.0537
2881,13648,74.8959
2893,13664,73.9031
2905,13680,72.9981
2917,13712,72.1937
2929,13744,71.5017
2941,13760,70.9318
2953,13808,70.4924
2965,13840,70.1898
2977,13920,70.0282
2989,13952,70.0101
3001,13984,70.1356
3013,14032,70.403
3025,14048,70.8085
3037,14064,71.3461
3049,14080,72.0082
3061,14096,72.7853
3073,14080,73.6661
3085,14096,74.638
3097,14080,75.6871
3109,14128,76.7981
3121,14176,77.9553
3133,14176,79.1418
3145,14192,80.3407
3157,14192,81.5346
3169,14160,82.7066
3181,14128,83.8395
3193,16000,84.9173
3205,14976,85.9243
3217,14192,86.8461
3229,13760,87.6695
3241,13648,88.3825
3253,13616,88.975
3265,13584,89.4384
3277,13536,89.7661
3289,13536,89.9533
3301,13536,89.9973
3313,13536,89.8975
3325,13552,89.6554
3337,13536,89.2744
3349,13536,88.7601
3361,13520,88.1197
3373,13488,87.3625
3385,13456,86.4995
3397,13440,85.543
