Time,Right_Hip,Left_Hip,U
2,13168,13952,0.0999983
49,13168,13952,2.42556
94,13248,13968,4.52886
139,13120,13808,6.40385
185,13072,13776,7.98621
228,13024,13760,9.08634
271,13168,14000,9.76806
315,13008,14608,9.99991
361,13040,13616,9.72699
406,13008,13440,8.96406
450,12992,13456,7.78073
494,12992,13488,6.22234
537,13008,13504,4.40892
580,12992,13504,2.39249
624,13040,13552,0.21591
670,13136,13600,-2.06902
716,13264,13712,-4.24498
759,13392,13920,-6.07895
802,13488,14144,-7.63301
846,13632,14256,-8.85889
889,13712,14256,-9.64464
933,13712,14256,-9.98877
978,13712,14256,-9.84269
1023,13728,14272,-9.20041
1067,13744,14272,-8.12359
1110,13760,14288,-6.6924
1154,14384,14384,-4.90955
1197,13328,14320,-2.93786
1240,13328,14272,-0.830894
1284,13312,14272,1.36388
1327,13248,14176,3.44602
1373,13184,13968,5.49541
1418,13120,13840,7.22087
1462,13056,13728,8.55655
1505,13008,13760,9.46372
1548,13008,13760,9.93511
1591,13008,13760,9.94902
1636,13008,13728,9.47325
1681,12992,13712,8.51992
1726,12992,13712,7.13708
1769,12992,13712,5.47838
1813,12976,13696,3.52066
1856,12992,13728,1.44273
1899,13056,13760,-0.701643
1943,13168,13840,-2.86165
1986,13296,13984,-4.84002
2030,13408,14176,-6.63302
2075,13536,14256,-8.13545
2120,13632,14272,-9.22775
2164,13712,14288,-9.84626
2207,13696,14272,-9.99223
2250,13712,14288,-9.67808
2294,13712,14288,-8.89555
2338,13712,14272,-7.68421
2384,13744,14272,-6.02293
2429,14096,14304,-4.09012
2472,14688,14352,-2.04909
2516,13520,14320,0.13629
2559,13360,14240,2.26643
2602,13232,14080,4.2922
2647,13168,13920,6.19911
2692,13120,13792,7.79351
2737,13040,13744,8.99502
2781,13024,13712,9.7317
2824,13024,13712,9.99853
2867,13024,13712,9.80495
2911,13024,13728,9.1397
2954,13024,13680,8.06355
2997,13008,13696,6.6161
3041,12992,13664,4.82024
3086,12992,13680,2.74398
3132,13024,13744,0.479449
3175,13104,13792,-1.66261
3218,13232,13872,-3.72811
3262,13344,14064,-5.66322
3305,13472,14208,-7.29121
3349,13616,14256,-8.609
3395,13680,14288,-9.54219
3439,13712,14272,-9.96494
3483,13712,14272,-9.90734
3527,13728,14272,-9.37215
3572,13712,14256,-8.35782
3618,13728,14272,-6.88599
3662,13760,14256,-5.13755
3705,13632,14256,-3.18888
3749,13504,14272,-1.04366
3792,13440,14272,1.1022
3836,13360,14144,3.24463
3881,13264,13984,5.27321
3927,13136,13856,7.07139
3970,13072,13744,8.41711
4013,13024,13760,9.37524
4057,13008,13776,9.90854
4100,13008,13760,9.9683
4144,13008,13760,9.55441
4190,13008,13760,8.62985
4235,12992,13776,7.28513
4278,12992,13760,5.6559
4322,12960,13728,3.71987
4365,12960,13760,1.65385
4408,13024,13792,-0.48832
4451,13136,13888,-2.60801
4495,13280,14032,-4.65192
4539,13392,14192,-6.47159
4584,13504,14256,-8.00933
4630,13648,14272,-9.16344
4673,13712,14288,-9.80669
4716,13712,14256,-9.99837
4760,13712,14256,-9.71798
4803,13712,14272,-8.99114
4847,13712,14272,-7.81921
4892,13712,14272,-6.23132
4938,14256,14320,-4.28418
4981,15024,14352,-2.25778
5024,13616,14320,-0.127409
