Time,Right_Hip,Left_Hip,U
2,13712,13712,0.0999983
24,13248,13248,1.19712
43,13728,13728,2.13347
63,13744,13744,3.09816
82,13744,13744,3.98609
101,13744,13744,4.83807
120,13744,13744,5.64642
140,13744,13744,6.44218
159,13760,13760,7.13864
178,13760,13760,7.77072
198,13248,13248,8.36026
218,13760,13760,8.86627
238,13760,13760,9.28369
257,13760,13760,9.59437
277,13856,13856,9.82789
296,13792,13792,9.95881
316,13792,13792,9.99958
335,13824,13824,9.94576
355,13760,13760,9.79223
374,13744,13744,9.55572
394,13744,13744,9.21371
413,13936,13936,8.80347
433,13728,13728,8.28595
452,13760,13760,7.71753
472,13776,13776,7.04411
491,13744,13744,6.33906
511,13168,13168,5.53526
531,13728,13728,4.67617
551,13760,13760,3.77035
570,13728,13728,2.87478
590,13728,13728,1.90423
609,13744,13744,0.964425
629,13744,13744,-0.0340734
648,13744,13744,-0.982486
668,13744,13744,-1.97108
688,13744,13744,-2.93998
708,13744,13744,-3.87951
727,13744,13744,-4.7363
746,13744,13744,-5.55037
767,13264,13264,-6.39161
786,13776,13776,-7.09231
805,13760,13760,-7.72905
825,13776,13776,-8.3239
845,13808,13808,-8.83559
865,13760,13760,-9.25899
885,13760,13760,-9.58987
904,13744,13744,-9.8155
924,13728,13728,-9.95735
943,13728,13728,-9.99997
963,13728,13728,-9.9474
983,13728,13728,-9.79545
1003,13728,13728,-9.54562
1023,13728,13728,-9.20041
1042,13728,13728,-8.78725
1062,13728,13728,-8.26682
1081,13744,13744,-7.69581
1101,13728,13728,-7.01988
1120,13728,13728,-6.31267
1140,13728,13728,-5.50686
1159,13728,13728,-4.69024
1178,13728,13728,-3.83133
1198,13728,13728,-2.89003
1218,13728,13728,-1.91986
1237,13728,13728,-0.980276
1257,13744,13744,0.0181469
1276,13728,13728,0.966635
1296,13744,13744,1.95547
1315,13184,13184,2.87691
1335,13744,13744,3.81866
1354,13744,13744,4.67813
1374,13744,13744,5.53711
1393,13744,13744,6.30203
1413,13744,13744,7.04568
1432,13744,13744,7.68705
1451,13744,13744,8.2591
1471,13744,13744,8.7807
1490,13744,13744,9.19503
1510,13744,13744,9.54152
1529,13744,13744,9.78243
1549,13744,13744,9.94067
1569,13744,13744,9.9996
1589,13744,13744,9.95861
1608,13744,13744,9.82748
1628,13744,13744,9.59375
1648,13744,13744,9.26416
1667,13744,13744,8.86524
1687,13744,13744,8.35904
1706,13744,13744,7.8007
1725,13744,13744,7.17201
1745,13744,13744,6.44048
1765,13728,13728,5.64459
1784,13728,13728,4.83613
1804,13728,13728,3.93815
1823,13728,13728,3.04847
1843,13728,13728,2.08243
1862,13728,13728,1.14526
1882,13728,13728,0.147774
1902,13728,13728,-0.851189
1921,13744,13744,-1.79248
1941,13728,13728,-2.76569
1961,13744,13744,-3.71127
1980,13744,13744,-4.57536
1999,13744,13744,-5.39819
2019,13744,13744,-6.2116
2039,13744,13744,-6.96295
2058,13744,13744,-7.61239
2078,13744,13744,-8.22175
2097,13744,13744,-8.72464
2117,13744,13744,-9.16892
2136,13744,13744,-9.50618
2156,13744,13744,-9.76854
2175,13744,13744,-9.9274
2195,13744,13744,-9.99788
2214,13744,13744,-9.97232
2234,13744,13744,-9.84826
2253,13744,13744,-9.63924
2273,13744,13744,-9.32535
2292,13744,13744,-8.94079
2312,13744,13744,-8.44896
2331,13744,13744,-7.90344
2351,13728,13728,-7.25232
2371,13728,13728,-6.52873
2390,13728,13728,-5.78077
2409,13728,13728,-4.98069
2429,13776,13776,-4.09012
2449,13728,13728,-3.15867
2468,13728,13728,-2.24442
2488,13728,13728,-1.26035
2508,13744,13744,-0.263676
2527,13744,13744,0.685755
2546,13248,13248,1.629
2566,13760,13760,2.60586
2586,13760,13760,3.55669
2605,13760,13760,4.4272
2625,13760,13760,5.30024
2644,13744,13744,6.08072
2664,13744,13744,6.8429
2683,13760,13760,7.50375
2703,13760,13760,8.12617
2722,13744,13744,8.64236
2742,13760,13760,9.10143
2762,13744,13744,9.46957
2782,13744,13744,9.74308
2802,13760,13760,9.91925
2821,13744,13744,9.99483
2841,13744,13744,9.977
2861,13760,13760,9.85949
2880,13760,13760,9.65658
2900,13744,13744,9.34895
2919,13760,13760,8.97012
2939,13760,13760,8.48404
2959,13744,13744,7.91319
2978,13744,13744,7.29755
2998,13744,13744,6.57852
3019,13248,13248,5.75294
3038,13728,13728,4.95112
3058,13728,13728,4.059
3078,13728,13728,3.12633
3097,13744,13744,2.21121
3117,13744,13744,1.22654
3137,13744,13744,0.229612
3156,13744,13744,-0.719744
3175,13744,13744,-1.66261
3195,13744,13744,-2.63874
3215,13152,13152,-3.58851
3234,13744,13744,-4.45772
3254,13744,13744,-5.32911
3273,13760,13760,-6.10773
3293,13248,13248,-6.86771
3313,13760,13760,-7.55906
3332,13744,13744,-8.14599
3352,13744,13744,-8.68435
3371,13760,13760,-9.11549
3391,13744,13744,-9.48046
3410,13744,13744,-9.73948
3430,13744,13744,-9.91722
3449,13744,13744,-9.9943
3469,13744,13744,-9.97807
3488,13744,13744,-9.87029
3508,13744,13744,-9.6607
3527,13744,13744,-9.37215
3547,13744,13744,-8.97715
