Time,Right_Hip,Left_Hip,U
2,13216,14016,0.299995
47,13216,14016,6.98529
91,13680,14112,13.1839
135,12832,13344,18.7469
180,12496,13024,23.4998
226,12208,12720,27.1324
270,11904,12464,29.2717
313,11680,12208,29.9995
357,11648,12144,29.3144
403,11632,12160,27.0886
448,11664,12272,23.5295
491,11760,12592,19.0172
535,12064,12912,13.4954
580,12416,13296,7.17748
626,12896,13712,0.347772
670,13328,14112,-6.20706
714,13680,14512,-12.4627
758,14144,14864,-18.1175
804,14416,15296,-23.0917
848,14736,15536,-26.7145
892,14880,15712,-29.0496
935,14976,15824,-29.979
981,14976,15824,-29.4452
1026,14944,15824,-27.4218
1071,15024,15904,-24.016
1114,14864,15664,-19.6274
1158,14768,15392,-14.203
1204,14368,15088,-7.80472
1249,13936,14672,-1.14528
1292,13600,14256,5.27684
1336,13184,13808,11.5945
1381,12896,13488,17.4753
1427,12512,13104,22.5743
1472,12272,12768,26.4136
1515,11904,12464,28.8401
1558,11696,12288,29.9386
1602,11664,12176,29.6356
1646,11632,12144,27.904
1691,11616,12208,24.7428
1736,11744,12480,20.3343
1780,11936,12816,15.0306
1823,12256,13184,9.14542
1866,12704,13536,2.83908
1910,13152,13920,-3.74685
1954,13600,14368,-10.1522
2000,14000,14736,-16.3206
2045,14320,15136,-21.5253
2088,14624,15472,-25.4879
2131,14768,15664,-28.2769
2175,14928,15808,-29.7822
2218,15008,15792,-29.8664
2261,14992,15792,-28.5753
2305,15024,15824,-25.8929
2348,15056,15712,-22.0643
2394,14832,15552,-16.8493
2439,14480,15152,-10.8868
2483,14896,14944,-4.5238
2526,13504,14528,1.90759
2569,13216,14128,8.25114
2613,12928,13728,14.3467
2657,12656,13344,19.7506
2702,12464,12832,24.2908
2747,12048,12688,27.6064
2791,11760,12416,29.5036
2835,11696,12192,29.9785
2880,11664,12128,28.9697
2926,11648,12128,26.4299
2970,11680,12240,22.6954
3013,11808,12624,17.9871
3057,12112,12960,12.3139
3103,12512,13376,5.75304
3148,12976,13760,-0.960938
3191,13344,14176,-7.33595
3235,13808,14624,-13.5073
3279,14240,14976,-19.0275
3322,14672,15600,-23.5377
3365,14688,15744,-26.9642
3409,14848,15792,-29.1841
3452,14976,15824,-29.9947
3498,14992,15808,-29.3331
3543,14976,15792,-27.1904
3587,15072,15856,-23.7688
3630,14912,15648,-19.3163
3674,14768,15376,-13.8416
3717,14368,15104,-7.84442
3760,13984,14704,-1.48607
3804,13632,14304,5.0886
3847,13120,13872,11.2791
3893,12816,13504,17.3196
3938,12512,13168,22.3482
3982,12272,12720,26.1772
4025,11936,12576,28.701
4068,11760,12272,29.9032
4112,11696,12176,29.708
4156,11648,12144,28.0806
4201,11632,12192,25.0172
4247,11728,12464,20.5837
4290,11920,12768,15.4536
4333,12320,13136,9.61191
4377,12704,13520,3.17848
4420,13072,13920,-3.2591
4464,13504,14336,-9.68869
4510,14000,14720,-15.9064
4555,14336,15136,-21.1804
4598,14736,15712,-25.2255
4641,14768,15808,-28.1091
4686,14960,15840,-29.7392
4729,14992,15856,-29.8966
4773,14960,15824,-28.6329
4816,14976,15872,-26.0635
4860,15040,15760,-22.1934
4905,15024,15984,-17.1304
4950,14528,14864,-11.2039
4994,14208,14816,-4.86071
5037,13776,14432,1.56705
5080,13440,14128,7.92266
5124,13072,13712,14.0462
5168,12688,13344,19.4926
5214,12384,12960,24.1782
5259,12112,12704,27.5311
5302,11824,12432,29.4399
5345,11696,12208,29.9931
5388,11600,12144,29.1652
5432,11600,12176,26.9285
5475,11632,12336,23.4874
5519,11776,12608,18.8482
5563,12080,12864,13.3005
5608,12480,13344,6.96585
5654,12928,13728,0.130016
5697,13376,14080,-6.27334
5740,13760,14496,-12.3878
5784,14096,14864,-18.0519
5827,14384,15248,-22.7483
5870,14688,15504,-26.3972
5914,14848,15712,-28.8717
5957,14976,15824,-29.9458
6003,15008,15856,-29.5682
6048,14976,15824,-27.6914
6092,15056,15888,-24.5055
6135,14928,15744,-20.2492
6178,14768,15408,-15.0604
6222,14496,15152,-9.03531
6266,14704,14832,-2.57463
6312,13424,14448,4.30727
6357,13296,14352,10.8225
6400,12784,13152,16.5428
6443,12448,12976,21.5013
6487,12368,12816,25.5487
6530,12000,12640,28.3153
6574,11792,12352,29.7959
6620,11696,12192,29.8077
6665,11648,12144,28.2998
6708,11664,12208,25.5242
6751,11712,12416,21.5733
