Time,Right_Hip,Left_Hip,U
2,13216,14032,0.299995
46,13216,14032,6.83933
89,13600,14144,12.9137
132,12640,14064,18.3935
173,12416,14048,22.8329
215,12960,14208,26.3877
259,11472,14032,28.8663
302,11360,14032,29.9446
343,11360,14032,29.6886
384,11344,14032,28.1894
427,11392,14064,25.3504
470,11568,14064,21.3442
513,11776,14080,16.3551
554,12080,14080,10.893
595,12400,14096,4.97469
638,12896,14080,-1.45165
681,13296,14080,-7.81116
723,13712,14080,-13.6776
765,14096,14064,-18.9432
806,14400,14064,-23.282
849,14672,14064,-26.7824
892,14816,14064,-29.0496
934,14960,14048,-29.9731
976,14976,14048,-29.5796
1018,14960,14032,-27.8864
1061,14992,14048,-24.8846
1104,14912,14064,-20.7368
1145,14784,14080,-15.8894
1187,14528,14080,-10.2358
1229,14096,14064,-4.13238
1272,13904,14080,2.30218
1314,13200,14064,8.48695
1356,12944,14080,14.2988
1397,12656,14064,19.3681
1438,12416,14080,23.6263
1480,12144,14064,26.9612
1522,11888,14048,29.1115
1565,11808,14048,29.9874
1608,11744,14048,29.4825
1649,11728,14048,27.7356
1690,12320,14048,24.8273
1733,11696,14112,20.6628
1776,11888,14048,15.5468
1818,12192,14080,9.85678
1859,12464,14096,3.88242
1901,12944,14080,-2.40408
1944,13392,14064,-8.72857
1987,13824,14064,-14.6511
2030,14144,14064,-19.899
2072,14448,14064,-24.1419
2114,14704,14064,-27.3241
2157,14880,14048,-29.3373
2200,14992,14048,-29.9997
2243,14992,14032,-29.2807
2284,14976,14032,-27.3383
2326,15024,14048,-24.1624
2369,14880,14064,-19.8124
2412,14768,14080,-14.5502
2454,14416,14064,-8.76153
2495,14112,14064,-2.73731
2537,13616,14064,3.55054
2581,13248,14080,9.96584
2623,12944,14080,15.6455
2665,12528,14064,20.6378
2706,12384,14096,24.638
2751,11984,14064,27.8358
2797,11856,14064,29.6533
2839,11712,14048,29.9498
2880,11632,14048,28.9697
2922,11632,14048,26.7085
2965,11632,14048,23.1787
3008,11760,14064,18.5816
3050,11968,14064,13.2637
3092,12304,14096,7.3629
3134,12784,14064,1.13862
3177,13232,14064,-5.2834
3220,13552,14064,-11.4621
3261,13984,14064,-16.8658
3303,14288,14064,-21.6672
3345,14608,14064,-25.5166
3388,14768,14064,-28.295
3431,14944,14048,-29.7705
3473,14992,14048,-29.8885
3514,14992,14032,-28.7367
3557,14992,14048,-26.2372
3600,15040,14064,-22.5296
3643,14864,14064,-17.7846
3684,14592,14064,-12.494
3726,14288,14064,-6.53389
3769,13952,14080,-0.136677
3813,13424,14064,6.41344
3854,13088,14080,12.245
3895,12752,14064,17.5637
3938,12512,14064,22.3482
3981,12304,14080,26.1036
4024,12032,14064,28.657
4065,11824,14048,29.8637
4107,11744,14048,29.8031
4149,11728,14048,28.4329
4190,11712,14048,25.8896
4232,11728,14048,22.1612
4275,11872,14080,17.3369
4318,12096,14080,11.7143
4359,12400,14064,5.8468
4401,12768,14080,-0.415529
4444,13264,14080,-6.80577
4487,13664,14064,-12.8826
4529,14048,14064,-18.2474
4571,14384,14064,-22.8105
4612,14656,14064,-26.2995
4655,14800,14048,-28.7734
4699,14960,14048,-29.9328
4741,14976,14048,-29.6936
4783,14960,14032,-28.1496
4825,14976,14048,-25.3689
4868,14976,14064,-21.3684
4911,14768,14064,-16.384
4953,14528,14064,-10.7853
4994,14176,14064,-4.86071
5036,13808,14064,1.41724
