Time,Left,U
0,13728,80
13,13728,80.6482
26,13728,81.2854
39,13792,81.9009
51,13808,82.4409
64,13808,82.986
77,13808,83.4807
90,13776,83.9166
102,13712,84.2605
115,13664,84.5638
128,13664,84.7901
140,13664,84.9272
152,13664,84.9936
164,13664,84.988
176,13664,84.9108
188,13664,84.7629
200,13664,84.5465
212,15856,84.2647
224,13504,83.9216
236,13216,83.5221
248,13264,83.0719
260,13296,82.5775
272,13312,82.0461
284,13360,81.4852
296,13376,80.903
308,13440,80.3078
320,13488,79.7081
332,13536,79.1127
344,13648,78.53
356,13728,77.9685
368,13824,77.4362
380,13936,76.9407
392,14016,76.4893
404,14064,76.0883
416,14160,75.7436
428,14208,75.4602
440,14128,75.242
452,14080,75.0922
464,14096,75.0131
476,14160,75.0057
488,14096,75.0701
500,14096,75.2054
512,14144,75.4096
524,14160,75.6799
536,14176,76.0124
548,14192,76.4021
560,14208,76.8437
572,14208,77.3306
584,14160,77.8559
596,14112,78.4121
608,14080,78.9911
620,14064,79.5846
632,14048,80.184
644,14016,80.7809
656,14000,81.3665
668,13968,81.9324
680,13952,82.4706
692,13952,82.9732
704,13936,83.433
716,13904,83.8435
728,13872,84.1987
740,13824,84.4935
752,13808,84.7237
764,13776,84.886
776,13792,84.9779
788,13760,84.9983
800,13728,84.9468
812,13680,84.8241
824,13680,84.6321
836,13648,84.3734
848,13648,84.0518
860,13632,83.672
872,13584,83.2393
884,13600,82.7601
896,13584,82.2411
908,13584,81.6899
920,13584,81.1144
932,13584,80.5229
944,13584,79.9239
956,13632,79.326
968,13648,78.7377
980,13664,78.1676
992,13664,77.6239
1004,13680,77.1143
1016,13680,76.6462
1028,13696,76.2264
1039,13696,75.8891
1051,13712,75.578
1063,13744,75.3304
1075,13760,75.15
1087,13776,75.0394
1099,13808,75.0001
1111,13824,75.0327
1123,13840,75.1368
1135,13856,75.3108
1147,13872,75.5522
1159,13888,75.8577
1171,13856,76.2226
1183,13840,76.642
1196,13840,77.1506
1208,13840,77.6629
1220,13840,78.2089
1232,13840,78.7806
1244,13840,79.3698
1256,13840,79.9681
1268,13872,80.5669
1279,13904,81.1088
1291,13904,81.6845
1303,13904,82.236
1316,13888,82.7969
1328,13872,83.2729
1340,13856,83.7019
1352,13840,84.0776
1364,13808,84.3947
1376,13792,84.6486
1388,13776,84.8356
1400,13744,84.953
1412,13760,84.9993
1424,13744,84.9736
1436,13728,84.8764
1448,13696,84.709
1460,13664,84.474
1472,13648,84.1745
1484,13632,83.8151
1496,13600,83.4007
1508,13600,82.9375
1520,13600,82.432
1532,13600,81.8915
1544,13600,81.3238
1556,13600,80.7371
1568,13616,80.1398
1580,13664,79.5405
1592,13680,78.9477
1604,13712,78.3702
1616,13728,77.816
1628,13744,77.2933
1640,13776,76.8095
1652,13824,76.3716
1664,13856,75.9858
1676,13904,75.6578
1688,13920,75.3923
1700,13952,75.193
1712,13968,75.0629
1724,14000,75.0038
1736,14000,75.0165
1748,14016,75.1009
1760,14016,75.2558
1772,14032,75.4789
1784,14000,75.767
1796,13984,76.116
1808,13984,76.5209
1820,13984,76.9758
1832,13984,77.4743
1844,13984,78.009
1856,14000,78.5724
1868,14048,79.1563
1880,14048,79.7523
1892,14048,80.3519
1904,14048,80.9465
1916,14048,81.5274
1928,14016,82.0864
1940,14016,82.6153
1952,13984,83.1067
1964,13968,83.5533
1976,13952,83.9489
1988,13904,84.2876
2000,13872,84.5647
2012,13856,84.7762
2024,13840,84.9189
2036,13792,84.9909
2048,13776,84.9911
2060,13728,84.9195
2072,13696,84.7772
2084,13664,84.5662
2096,14688,84.2895
2108,13488,83.951
2120,13456,83.5558
2132,13472,83.1094
2144,13472,82.6183
2156,13536,82.0896
2168,13552,81.5308
2180,13520,80.9499
2192,13520,80.3554
2204,13552,79.7558
2216,13552,79.1598
2228,13568,78.5757
2240,13584,78.0122
2252,13584,77.4773
2264,13600,76.9786
2276,13600,76.5235
2288,13616,76.1183
2300,13616,75.7689
2312,13632,75.4804
2324,13632,75.2569
2336,13632,75.1016
2348,13648,75.0168
2360,13632,75.0036
2372,13648,75.0623
2384,13632,75.192
2396,13648,75.3909
2408,13632,75.6561
2420,13632,75.9837
2432,13616,76.3691
2444,13616,76.8068
2456,13600,77.2903
2468,13600,77.8128
2480,13584,78.3668
2492,13648,78.9443
2504,13648,79.537
2516,13616,80.1363
2528,13568,80.7336
2540,13568,81.3204
2552,13552,81.8883
2564,13504,82.4289
2576,13504,82.9346
2588,13504,83.3982
2600,13504,83.8128
2612,13504,84.1726
2624,13504,84.4724
2636,13504,84.7078
2648,13504,84.8756
2660,13504,84.9732
2672,13504,84.9993
2684,13504,84.9535
2696,13504,84.8365
2708,13504,84.6499
2720,13504,84.3964
2732,13504,84.0796
2744,13504,83.7042
2756,13504,83.2756
2768,13504,82.7998
2780,13504,82.2837
2792,13504,81.7348
2804,13520,81.161
2816,13568,80.5704
2828,13568,79.9717
2840,13568,79.3733
2852,13584,78.784
2864,13600,78.2121
2876,13616,77.666
2888,13616,77.1535
2900,13632,76.6818
2912,13632,76.2579
2924,13648,75.8879
2936,13648,75.5769
2948,13664,75.3296
2960,13664,75.1495
2972,13648,75.0391
2984,13680,75.0001
2996,13696,75.033
3008,13712,75.1373
3020,13744,75.3115
3032,13760,75.5532
3044,13776,75.8589
3056,13792,76.2241
3068,13808,76.6436
3080,13808,77.1114
3092,13808,77.6208
3104,13776,78.1643
3116,13776,78.7343
3128,13776,79.3225
3140,13776,79.9204
3152,13776,80.5194
3164,13776,81.111
3176,13792,81.6866
3188,13824,82.238
3200,13840,82.7571
3212,13840,83.2366
3224,13824,83.6696
3236,13792,84.0498
3248,13776,84.3717
3260,15360,84.6308
3272,14416,84.8232
3284,14064,84.9463
3296,13728,84.9982
3308,13408,84.9783
3320,13408,84.8867
3332,13408,84.7249
3344,13408,84.4951
3356,13408,84.2006
3368,13408,83.8458
3380,13456,83.4356
3392,13488,82.976
3404,13520,82.4736
3416,13552,81.9357
3428,13584,81.3699
3440,13632,80.7843
3452,13696,80.1876
3464,13744,79.5881
3476,13792,78.9945
3488,13856,78.4154
3500,13872,77.8591
3512,13920,77.3336
3524,13968,76.8464
3536,13984,76.4046
3548,14016,76.0145
3560,14016,75.6817
3572,14032,75.411
3584,13984,75.2064
3596,13984,75.0707
3608,14016,75.0058
3620,14064,75.0128
3632,14064,75.0916
3644,14080,75.2409
3656,14064,75.4587
3668,14016,75.7418
3680,14016,76.0861
3692,14016,76.4868
3704,14016,76.9379
3716,14064,77.4331
3728,14096,77.9653
3740,14112,78.5266
3752,14144,79.1092
3764,14144,79.7046
3776,14096,80.3043
3788,14032,80.8995
3800,13984,81.4818
3812,13904,82.0429
3824,13840,82.5745
3837,13792,83.1084
3849,13744,83.5549
3861,13696,83.9502
3873,13664,84.2888
3885,13648,84.5656
3897,13648,84.7768
3909,13648,84.9193
3921,13648,84.991
3933,13648,84.991
3945,13664,84.9191
3957,13648,84.7766
3969,13664,84.5653
3981,13632,84.2883
3993,13632,83.9497
4005,13616,83.5542
4017,13552,83.1077
4029,13536,82.6164
4041,13536,82.0876
4053,13536,81.5286
4065,13568,80.9478
4077,13616,80.3532
4089,13744,79.7536
4101,13616,79.1576
4113,13632,78.5736
4125,13648,78.0102
4137,13664,77.4754
4149,13680,76.9769
