Time,Left,U
0,13760,80
13,13760,80.7798
26,13760,81.5584
38,13840,82.2751
51,13840,83.0481
64,13792,83.8165
76,13776,84.5206
89,13760,85.2768
101,13744,85.9677
113,13728,86.6509
125,13728,87.3254
136,13696,87.9355
149,13712,88.6452
161,13696,89.2888
173,13680,89.9202
185,13664,90.5389
197,13648,91.1438
209,13664,91.7344
221,13664,92.3097
233,13680,92.869
245,13712,93.4117
257,13712,93.9371
269,13696,94.4443
281,13664,94.9328
293,13616,95.402
305,13616,95.8512
317,13616,96.2799
329,13568,96.6875
341,13504,97.0735
353,13504,97.4373
365,13504,97.7786
377,13504,98.0968
389,13520,98.3915
401,13584,98.6624
413,13600,98.9092
425,13600,99.1314
437,13600,99.3288
449,13600,99.5012
461,13616,99.6484
473,13616,99.77
485,13600,99.8661
497,13616,99.9364
509,13632,99.9808
521,13632,99.9994
533,13632,99.992
545,13632,99.9588
557,13632,99.8997
569,13632,99.8148
581,13632,99.7042
593,13616,99.5681
605,13600,99.4066
617,13616,99.22
629,13616,99.0085
641,13600,98.7723
653,13584,98.5118
665,13568,98.2273
677,13568,97.9192
689,13568,97.5879
701,13568,97.2338
713,13552,96.8574
725,13536,96.4591
737,13520,96.0395
749,13520,95.5991
761,13504,95.1385
773,13504,94.6582
785,13488,94.159
797,13472,93.6414
809,13456,93.1062
821,13456,92.554
833,13440,91.9855
845,13440,91.4014
857,13424,90.8026
870,13408,90.1381
882,13408,89.5111
893,13408,88.9254
906,13376,88.2208
918,13344,87.5592
930,13344,86.8879
942,13344,86.2076
954,13344,85.5193
966,13344,84.8238
978,13344,84.1221
990,13360,83.415
1002,13408,82.7036
1014,13408,81.9886
1026,13424,81.271
1038,13440,80.5518
1050,13456,79.8319
1062,13456,79.1121
1074,13456,78.3936
1086,13472,77.6771
1098,13472,76.9636
1110,13488,76.2541
1122,13488,75.5494
1134,13520,74.8505
1146,13536,74.1583
1158,13536,73.4736
1170,13568,72.7974
1182,13584,72.1305
1194,13584,71.4738
1206,13600,70.8282
1218,13600,70.1945
1230,13616,69.5734
1242,13648,68.9659
1254,13680,68.3727
1266,13712,67.7945
1278,13760,67.2322
1290,13808,66.6864
1302,13936,66.1578
1314,13984,65.6472
1326,14064,65.1552
1338,14112,64.6824
1350,14160,64.2295
1362,14224,63.797
1374,14304,63.3855
1386,14336,62.9956
1398,14400,62.6276
1410,14432,62.2822
1422,14464,61.9598
1434,14512,61.6607
1446,14544,61.3854
1458,14576,61.1342
1470,14608,60.9074
1482,14640,60.7054
1494,14688,60.5284
1506,14704,60.3767
1518,14752,60.2503
1530,14784,60.1496
1542,14800,60.0746
1554,14816,60.0254
1566,14816,60.0021
1578,14832,60.0047
1590,14864,60.0332
1602,14880,60.0876
1614,14880,60.1678
1626,14896,60.2736
1638,14896,60.4051
1650,14928,60.5619
1662,14928,60.744
1674,14928,60.951
1686,14944,61.1826
1698,14928,61.4387
1710,14896,61.7188
1722,14896,62.0226
1735,14896,62.378
1747,14896,62.7298
1759,14896,63.1041
1771,14896,63.5002
1783,14944,63.9177
1795,14960,64.356
1807,14976,64.8147
1819,14976,65.293
1831,14976,65.7903
1843,14928,66.3061
1855,14928,66.8396
1867,14864,67.3902
1879,14832,67.9571
1891,14800,68.5396
1903,14784,69.137
1915,14768,69.7484
1927,14720,70.3732
1939,14672,71.0104
1951,14624,71.6592
1963,14592,72.3189
1975,14560,72.9885
1987,14448,73.6672
1999,14432,74.3541
2011,14416,75.0483
2023,14400,75.749
2035,14384,76.4551
2047,14368,77.1659
2059,14352,77.8803
2071,14352,78.5974
2083,14320,79.3164
2095,14304,80.0363
2107,14288,80.7561
2119,14256,81.475
2131,14208,82.1919
2143,14144,82.906
2155,14128,83.6163
2167,14096,84.3219
2179,15504,85.022
2191,14480,85.7155
2203,15472,86.4016
2215,14704,87.0794
2227,14368,87.7481
2239,14160,88.4067
2251,13984,89.0544
2263,13680,89.6904
2275,13680,90.3138
2287,13664,90.9239
2299,13664,91.5198
2311,13632,92.1008
2323,13616,92.6661
2335,13632,93.215
2347,13632,93.7467
2359,13600,94.2607
2371,13600,94.7561
2383,13584,95.2325
2395,13584,95.6891
2407,13552,96.1253
2419,13520,96.5407
2431,13552,96.9347
2443,13552,97.3067
2455,13552,97.6562
2467,13568,97.9829
2479,13568,98.2863
2491,13568,98.566
2503,13568,98.8216
2515,13584,99.0529
2527,13600,99.2594
2539,13600,99.441
2551,13600,99.5974
2563,13600,99.7284
2575,13616,99.8339
2587,13616,99.9136
2599,13616,99.9675
2611,13616,99.9956
2623,13616,99.9977
2635,13616,99.974
2647,13616,99.9243
2660,13616,99.8414
2672,13632,99.7381
2684,13600,99.6092
2696,13568,99.4548
2708,13488,99.2753
2720,13472,99.0708
2732,13424,98.8416
2744,13392,98.588
2756,13360,98.3102
2768,13328,98.0088
2780,13312,97.684
2792,13296,97.3363
2804,13296,96.9661
2816,13280,96.574
2828,13264,96.1603
2840,13264,95.7258
2852,13248,95.2708
2864,13248,94.7961
2876,13232,94.3022
2888,13232,93.7897
2900,13216,93.2594
2912,13216,92.7119
2924,13200,92.1479
2936,13184,91.5682
2948,13136,90.9735
2960,13136,90.3646
2972,13136,89.7422
2984,13136,89.1072
2996,13136,88.4604
3008,13136,87.8027
3020,13200,87.1348
3032,13216,86.4577
3044,13232,85.7723
3056,13264,85.0793
3068,13232,84.3798
3080,13232,83.6746
3092,13248,82.9646
3104,13264,82.2508
3116,13264,81.534
3128,13264,80.8153
3140,13280,80.0956
3152,13344,79.3757
3164,13328,78.6566
3176,13344,77.9392
3188,13360,77.2245
3200,13360,76.5135
3212,13376,75.8069
3224,13392,75.1058
3236,13392,74.411
3248,13408,73.7234
3260,13408,73.044
3272,13424,72.3736
3284,13440,71.7131
3296,13472,71.0633
3308,13600,70.4251
3320,13648,69.7994
3332,13712,69.1868
3344,13760,68.5882
3356,13744,68.0045
3368,13776,67.4362
3380,13824,66.8843
3392,13872,66.3493
3404,13936,65.8321
3416,14080,65.3332
3428,14112,64.8533
3440,14160,64.393
3452,14224,63.953
3464,14288,63.5338
3476,14336,63.1358
3488,14400,62.7598
3500,14432,62.4061
3512,14464,62.0752
3524,14496,61.7675
3536,14544,61.4834
3548,14576,61.2234
3560,14608,60.9876
3572,14640,60.7765
3584,14672,60.5904
3596,14704,60.4293
3608,14736,60.2937
3620,14768,60.1835
3632,14800,60.0991
3644,14816,60.0404
3656,14816,60.0076
3668,14848,60.0007
3680,14864,60.0197
3692,14880,60.0646
3704,14896,60.1354
3716,14896,60.2319
3728,14912,60.354
3740,14928,60.5016
3752,14944,60.6744
3764,14944,60.8723
3776,14912,61.0949
3788,14944,61.3421
3800,14912,61.6134
3812,14912,61.9086
3824,14912,62.2272
3836,14912,62.5688
3848,14912,62.9331
3860,14912,63.3194
3872,14912,63.7274
3884,14976,64.1564
3896,14992,64.606
3908,14976,65.0755
3921,14976,65.606
3933,14960,66.1151
3945,14944,66.6422
3957,14912,67.1866
3969,14864,67.7476
3981,14832,68.3245
3993,14816,68.9165
4005,14768,69.5229
4017,14752,70.1429
4029,14704,70.7756
4041,14688,71.4203
4053,14544,72.0761
4065,14528,72.7421
4077,14512,73.4176
4089,14496,74.1016
4101,14480,74.7933
4113,14480,75.4917
4125,14448,76.1959
4137,14432,76.9051
4149,14400,77.6183
4161,14368,78.3345
4173,14352,79.0529
4185,14336,79.7726
4197,14288,80.4925
4209,14272,81.2118
4221,14240,81.9296
4233,14224,82.6448
4245,14176,83.3566
4257,14144,84.0641
4269,14096,84.7663
4284,14048,85.6352
4296,14032,86.3223
4308,13984,87.0011
4320,13968,87.6709
4332,13920,88.3307
4344,13872,88.9797
4356,13840,89.6171
4368,13808,90.242
4380,13776,90.8537
4392,13776,91.4513
4404,13744,92.034
4416,13712,92.6012
4429,13680,93.1972
4441,13664,93.7295
4453,13616,94.244
4465,13600,94.7401
4477,13584,95.2171
4489,13584,95.6744
4501,13552,96.1113
4513,13520,96.5274
4525,13536,96.922
4537,13536,97.2948
4549,13520,97.6451
4561,13472,97.9725
4573,13440,98.2767
4585,13440,98.5572
4597,13424,98.8136
4609,13392,99.0457
4621,13392,99.253
4633,13360,99.4354
4645,13328,99.5927
4657,13312,99.7245
4669,13280,99.8308
4681,13248,99.9114
4693,13216,99.9662
4705,13184,99.9951
4717,13168,99.9981
4729,13120,99.9752
4741,13056,99.9264
4753,13040,99.8518
4765,13008,99.7514
4777,12976,99.6255
4789,12944,99.4741
4801,12912,99.2975
4813,12896,99.0959
4825,12896,98.8695
4837,12896,98.6187
4849,12880,98.3438
4861,12880,98.045
4873,12880,97.7229
4886,12864,97.3481
4897,12848,97.0103
4910,12832,96.5872
4922,12800,96.1743
4934,12800,95.7404
4946,12800,95.2861
4958,12800,94.812
4970,12800,94.3187
4982,12800,93.8069
4994,12800,93.2771
5006,12800,92.7302
