Time,Left,U
1,13728,80.06
14,13728,80.8398
26,13728,81.5584
39,13776,82.3347
52,13824,83.1074
65,13776,83.8753
77,13760,84.579
90,13760,85.3346
103,13728,86.0821
116,13712,86.8204
128,13712,87.4926
141,13680,88.21
153,13680,88.861
165,13680,89.5006
177,13680,90.1279
189,13680,90.7421
201,13680,91.3423
213,13664,91.9279
225,13664,92.4979
237,13696,93.0518
249,13680,93.5888
261,13664,94.1082
273,13648,94.6093
285,13616,95.0914
297,13600,95.554
309,13600,95.9965
321,13584,96.4182
333,13536,96.8186
345,13536,97.1973
357,13520,97.5536
369,13504,97.8872
381,13440,98.1976
393,13456,98.4845
405,13424,98.7474
417,13408,98.986
430,13376,99.2167
442,13360,99.4037
454,13328,99.5656
466,13312,99.7022
478,13280,99.8132
490,13248,99.8985
502,13216,99.958
514,13184,99.9917
526,13152,99.9995
538,13088,99.9813
550,13040,99.9373
562,13024,99.8674
574,12992,99.7718
586,12960,99.6506
598,12928,99.5039
610,12896,99.3319
622,12880,99.1349
634,12880,98.913
646,12864,98.6667
658,12864,98.3962
670,12864,98.1018
682,12864,97.784
694,12848,97.4431
706,12832,97.0797
718,12864,96.6941
730,12848,96.2868
742,12832,95.8585
754,12800,95.4096
766,12800,94.9407
778,12800,94.4525
790,12800,93.9456
802,12800,93.4205
814,12800,92.8781
826,12832,92.319
838,12848,91.744
850,12864,91.1537
862,12880,90.5489
874,12896,89.9305
886,12912,89.2993
898,12928,88.6559
910,12928,88.0014
922,12960,87.3365
934,12992,86.6621
946,13008,85.979
959,13040,85.2303
971,13056,84.5321
983,13136,83.8281
995,13168,83.1191
1007,13200,82.406
1019,13248,81.6898
1031,13232,80.9715
1043,13248,80.2518
1055,13264,79.5319
1067,13280,78.8126
1079,13296,78.0947
1091,13312,77.3794
1103,13344,76.6675
1115,13360,75.9598
1127,13360,75.2575
1139,13376,74.5612
1151,13408,73.872
1163,13440,73.1908
1175,13456,72.5183
1187,13488,71.8556
1199,13536,71.2034
1211,13552,70.5627
1223,13696,69.9341
1235,13728,69.3186
1247,13776,68.7169
1259,13824,68.1299
1271,13872,67.5582
1283,13936,67.0027
1295,14000,66.464
1307,14064,65.9428
1319,14112,65.4399
1331,14192,64.9558
1343,14224,64.4913
1355,14288,64.0468
1367,14336,63.623
1379,14400,63.2204
1391,14416,62.8395
1403,14448,62.4809
1415,14496,62.145
1427,14544,61.8323
1439,14560,61.5431
1451,14592,61.2778
1463,14624,61.0367
1475,14656,60.8203
1487,14688,60.6286
1499,14720,60.4621
1511,14752,60.3209
1523,14784,60.2053
1535,14800,60.1152
1547,14800,60.0509
1559,14816,60.0125
1571,14848,60
1583,14864,60.0134
1595,14864,60.0527
1607,14864,60.1178
1619,14880,60.2088
1631,14912,60.3253
1643,14912,60.4674
1655,14928,60.6347
1667,14928,60.8272
1679,14928,61.0445
1691,14896,61.2864
1703,14896,61.5525
1715,14896,61.8425
1727,14896,62.1561
1740,14896,62.5218
1751,14896,62.8521
1763,14896,63.2337
1775,14896,63.637
1787,14896,64.0615
1800,14912,64.5447
1812,14944,65.0116
1824,14960,65.4979
1836,14960,66.003
1848,14960,66.5263
1860,14944,67.067
1872,14928,67.6245
1884,14912,68.198
1896,14896,68.7868
1908,14864,69.3901
1920,14816,70.0072
1932,14800,70.6372
1944,14784,71.2794
1956,14752,71.9328
1968,14720,72.5967
1980,14672,73.2702
1992,14640,73.9525
2004,14624,74.6425
2016,14576,75.3395
2028,14560,76.0426
2040,14528,76.7508
2052,14512,77.4631
2064,14480,78.1788
2076,14448,78.8969
2088,14416,79.6163
2100,14384,80.3363
2112,14384,81.0558
2124,14352,81.774
2136,14288,82.4898
2148,14240,83.2024
2160,14176,83.9109
2172,14144,84.6143
2184,14112,85.3118
2196,14064,86.0023
2208,14032,86.6851
2220,13984,87.3592
2232,13968,88.0238
2244,13904,88.678
2256,13872,89.3209
2268,13824,89.9517
2280,13792,90.5697
2292,13776,91.174
2304,13712,91.7637
2316,13712,92.3383
2328,13696,92.8968
2340,13664,93.4386
2352,13648,93.9631
2364,13616,94.4694
2376,13648,94.957
2388,13616,95.4252
2400,13600,95.8734
2412,13584,96.301
2424,13536,96.7075
2436,13520,97.0924
2448,13520,97.4551
2460,13456,97.7952
2472,13440,98.1122
2484,13440,98.4057
2496,13408,98.6755
2508,13376,98.921
2520,13360,99.142
