Time,Left,U
2,13760,80.12
15,13760,80.8997
28,13808,81.678
41,13840,82.4538
53,13792,83.1666
66,13760,83.9342
79,13744,84.6957
92,13728,85.4502
104,13728,86.1393
116,13696,86.8204
128,13680,87.4926
140,13680,88.1552
152,13664,88.8072
164,13648,89.4478
176,13648,90.0761
188,13648,90.6914
200,13632,91.2928
212,13632,91.8796
224,13616,92.451
236,13632,93.0063
248,13616,93.5447
260,13600,94.0656
272,13584,94.5682
284,13568,95.052
296,13536,95.5162
308,13488,95.9604
320,13488,96.3838
332,13456,96.7861
344,13424,97.1665
356,13408,97.5248
368,13392,97.8603
380,13376,98.1727
392,13344,98.4615
405,13312,98.7474
417,13296,98.986
429,13264,99.2
441,13248,99.3891
453,13200,99.5531
465,13152,99.6917
477,13120,99.8049
489,13072,99.8924
500,13040,99.9499
513,12992,99.9899
525,12960,99.9998
537,12912,99.9838
549,12880,99.942
561,12864,99.8742
573,12832,99.7808
585,12816,99.6617
597,12800,99.5171
609,12800,99.3472
621,12784,99.1522
633,12784,98.9325
645,12768,98.6882
657,12784,98.4196
669,12800,98.1272
681,12784,97.8114
693,12768,97.4724
705,12752,97.1108
717,12720,96.727
729,12720,96.3216
741,12720,95.895
753,12720,95.4478
765,12720,94.9805
777,12720,94.4939
789,12720,93.9885
801,12784,93.465
813,12784,92.924
825,12784,92.3662
837,12800,91.7925
849,12816,91.2034
861,12816,90.5999
873,12848,89.9826
885,12864,89.3523
897,12864,88.71
909,12896,88.0563
921,12912,87.3923
933,12944,86.7186
945,12976,86.0362
957,12992,85.3461
969,13024,84.6489
981,13056,83.9458
993,13088,83.2375
1005,13120,82.5251
1017,13152,81.8094
1029,13184,81.0913
1041,13200,80.3718
1053,13264,79.6519
1065,13312,78.9324
1077,13296,78.2142
1089,13312,77.4984
1101,13344,76.7859
1113,13376,76.0774
1125,13408,75.3741
1137,13424,74.6768
1149,13456,73.9864
1161,13488,73.3037
1173,13600,72.6298
1185,13648,71.9654
1197,13680,71.3114
1209,13728,70.6686
1221,13760,70.038
1233,13840,69.4202
1245,13888,68.8162
1257,13968,68.2267
1269,14000,67.6524
1281,14032,67.0941
1293,14080,66.5526
1305,14112,66.0285
1317,14176,65.5224
1329,14208,65.0352
1341,14288,64.5673
1353,14336,64.1194
1365,14384,63.6921
1377,14416,63.286
1389,14448,62.9015
1401,14496,62.5391
1413,14528,62.1994
1425,14560,61.8828
1437,14592,61.5896
1449,14624,61.3203
1461,14672,61.0752
1473,14688,60.8546
1485,14736,60.6588
1497,14768,60.4881
1509,14784,60.3427
1521,14800,60.2228
1533,14816,60.1284
1545,14848,60.0599
1558,14864,60.0147
1570,14880,60.0001
1582,14896,60.0113
1594,14896,60.0484
1606,14928,60.1114
1618,14944,60.2002
