Time,Left,U
2,13728,100
15,13728,100
28,13776,100
41,13808,100
53,13824,100
65,13824,100
77,13824,100
89,13808,100
101,13792,100
113,13792,100
125,13760,100
137,13728,100
149,13680,100
161,13648,100
173,13584,100
185,13504,100
197,13344,100
209,13136,100
221,12992,100
233,12848,100
245,12400,100
257,12368,100
269,12448,100
281,12480,100
293,12496,100
305,12496,100
317,12464,100
329,12464,100
341,12464,100
353,12464,100
365,12464,100
377,12480,100
389,12480,100
401,12480,100
413,12480,100
425,12480,100
437,12480,100
449,12480,100
461,12480,100
473,12480,100
485,12480,100
497,12480,100
509,12480,100
521,12480,100
533,12416,100
545,12416,100
557,12432,100
569,12480,100
581,12496,100
593,12464,100
605,12416,100
617,12416,100
629,14224,60
641,14256,60
653,14016,60
665,14032,60
677,14480,60
689,14720,60
701,14928,60
713,14992,60
725,15040,60
737,15040,60
749,15024,60
762,15024,60
774,15024,60
786,15024,60
798,15024,60
810,15024,60
822,15024,60
834,15024,60
846,15024,60
858,15024,60
870,15024,60
882,15024,60
894,15024,60
906,15024,60
918,15024,60
930,15024,60
942,15024,60
954,15024,60
966,15024,60
978,15024,60
990,15024,60
1002,15024,60
1014,15024,60
1026,15024,60
1038,15024,60
1050,15024,60
1062,15024,60
1074,15024,60
1086,15024,60
1098,15024,60
1110,15024,60
1122,15024,60
1134,15024,60
1146,15024,60
1158,15024,60
1170,15024,60
1182,15024,60
1194,15024,60
1206,15024,60
1218,15024,60
1230,15024,60
1242,15024,60
1254,15024,60
1266,16816,100
1278,16320,100
1290,15216,100
1302,14144,100
1314,13696,100
1326,13184,100
1338,12864,100
1350,12768,100
1362,12688,100
1374,12656,100
1386,12656,100
1398,12640,100
1410,12640,100
1422,12640,100
1434,12640,100
1446,12640,100
1458,12640,100
1470,12640,100
1482,12656,100
1494,12656,100
1506,12656,100
1518,12656,100
1530,12656,100
1542,12656,100
1554,12656,100
1566,12656,100
1578,12656,100
1590,12656,100
1602,12656,100
1614,12672,100
1626,12672,100
1638,12672,100
1650,12688,100
1662,12672,100
1674,12688,100
1686,12688,100
1698,12672,100
1710,12688,100
1722,12688,100
1734,12672,100
1746,12688,100
1758,12688,100
1770,12688,100
1782,12688,100
1794,12704,100
1806,12688,100
1818,12688,100
1830,12704,100
1842,12688,100
1854,12688,100
1866,12704,100
1878,12688,100
1890,14176,60
1902,14320,60
1914,14048,60
1926,14112,60
1938,14512,60
1950,14816,60
1962,15024,60
1974,14992,60
1986,15056,60
1998,15040,60
2010,15024,60
2022,15024,60
2034,15024,60
2046,15024,60
2058,15024,60
2070,15024,60
2082,15024,60
2094,15024,60
2107,15024,60
2119,15024,60
2131,15024,60
2143,15024,60
2154,15024,60
2167,15024,60
2179,15024,60
2191,15024,60
2203,15024,60
2215,15024,60
2227,15024,60
2238,15024,60
2250,15024,60
2262,15024,60
2274,15024,60
2286,15024,60
2298,15024,60
2310,15024,60
2322,15024,60
2334,15024,60
2347,15024,60
2359,15024,60
2371,15024,60
2383,15024,60
2395,15024,60
2407,15024,60
2419,15024,60
2431,15024,60
2443,15024,60
2455,15024,60
2467,15024,60
2479,15024,60
2491,15024,60
2503,15024,60
2515,17248,100
2527,16144,100
2539,15072,100
2551,14048,100
2563,13488,100
2575,13152,100
2587,12864,100
2599,12768,100
2611,12688,100
2623,12672,100
2635,12656,100
2647,12640,100
2659,12640,100
2671,12624,100
2683,12640,100
2695,12640,100
2707,12640,100
2719,12640,100
2731,12656,100
2743,12640,100
2755,12656,100
2767,12656,100
2779,12656,100
2791,12656,100
2803,12656,100
2815,12640,100
2827,12656,100
2839,12656,100
2851,12656,100
2863,12656,100
2875,12656,100
2887,12672,100
2899,12672,100
2911,12672,100
2923,12672,100
2935,12672,100
2947,12688,100
2959,12688,100
2971,12672,100
2983,12672,100
2995,12688,100
3007,12688,100
3019,12688,100
3031,12672,100
3043,12688,100
3055,12688,100
3067,12688,100
3079,12672,100
3091,12688,100
3103,12688,100
3115,12704,100
3127,12688,100
3139,12688,100
3151,14784,60
3163,14224,60
3175,14096,60
3187,14160,60
3199,14496,60
3211,14848,60
3223,14976,60
3235,15024,60
3247,15088,60
3259,15024,60
3271,15040,60
3283,15040,60
3295,15040,60
3307,15040,60
3319,15040,60
3331,15040,60
3343,15040,60
3355,15040,60
3367,15040,60
3379,15040,60
3391,15040,60
3403,15040,60
3415,15040,60
3427,15040,60
3439,15040,60
3451,15040,60
3463,15040,60
3475,15040,60
3487,15040,60
3499,15040,60
3511,15040,60
3523,15040,60
3535,15040,60
3547,15040,60
3560,15040,60
3572,15040,60
3584,15040,60
3596,15040,60
3608,15040,60
3620,15040,60
3632,15040,60
3644,15040,60
3656,15040,60
3668,15040,60
3680,15040,60
3692,15040,60
3704,15040,60
3717,15040,60
3729,15040,60
3741,15040,60
3753,15040,60
3765,15040,60
3776,17264,100
3788,16144,100
3801,15088,100
3812,14032,100
3825,13648,100
3837,13136,100
3849,12832,100
3861,12752,100
3873,12688,100
3885,12656,100
3897,12624,100
3909,12624,100
3921,12624,100
3933,12624,100
3945,12640,100
3957,12640,100
3969,12640,100
3981,12640,100
3993,12640,100
4005,12656,100
4017,12640,100
4029,12640,100
4041,12656,100
4053,12656,100
4065,12656,100
4077,12656,100
4089,12656,100
4101,12656,100
4113,12672,100
4125,12672,100
4137,12672,100
4149,12672,100
4161,12672,100
4173,12672,100
4185,12672,100
4197,12688,100
4209,12688,100
4221,12688,100
4233,12688,100
4245,12688,100
4257,12688,100
4269,12704,100
4281,12688,100
4293,12688,100
4305,12688,100
4317,12688,100
4329,12704,100
4341,12688,100
4353,12688,100
4365,12688,100
4377,12704,100
4389,12688,100
4401,14784,60
4413,14208,60
4425,14032,60
4437,14144,60
4449,14576,60
4461,14848,60
4473,15024,60
4485,15008,60
4497,15088,60
4509,15024,60
4521,15024,60
4533,15040,60
4545,15040,60
4557,15024,60
4569,15040,60
4581,15024,60
4593,15040,60
4605,15040,60
4617,15024,60
4629,15024,60
4641,15024,60
4653,15024,60
4665,15040,60
4677,15024,60
4689,15024,60
4701,15024,60
4713,15024,60
4725,15024,60
4737,15024,60
4749,15024,60
4761,15024,60
4773,15024,60
4785,15024,60
4797,15024,60
4809,15024,60
4821,15024,60
4833,15024,60
4845,15024,60
4857,15024,60
4869,15024,60
4881,15024,60
4893,15024,60
4905,15024,60
4917,15024,60
4929,15024,60
4941,15024,60
4953,15024,60
4965,15024,60
4977,15024,60
4989,15024,60
5001,15024,60
