Time,Left,U
2,13744,80
15,13744,80
27,13744,80
39,13744,80
51,13744,80
63,13744,80
75,13744,80
87,13744,80
99,13744,80
111,13744,80
123,13744,80
135,13744,80
147,13744,80
159,13744,80
171,13744,80
183,13744,80
195,13744,80
207,13744,80
219,13744,80
231,13744,80
243,13744,80
255,13744,80
267,13744,80
279,13744,80
291,13744,80
303,13744,80
315,13744,80
327,13744,80
339,13744,80
351,13744,80
363,13744,80
375,13744,80
387,13744,80
399,13744,80
411,13744,80
423,13744,80
435,13744,80
447,13744,80
459,13744,80
471,13744,80
483,13744,80
495,13744,80
507,13744,80
520,13728,80
532,13744,80
544,13744,80
556,13744,80
568,13744,80
580,13744,80
592,13744,80
604,13744,80
616,13744,80
628,13744,80
640,13744,80
652,13728,80
664,13744,80
676,13744,80
688,13744,80
700,13744,80
712,13744,80
724,13744,80
736,13744,80
748,13744,80
760,13744,80
772,13744,80
784,13744,80
796,13744,80
808,13744,80
820,13744,80
832,13744,80
844,13744,80
856,13744,80
868,13744,80
880,13744,80
892,13744,80
904,13744,80
916,13744,80
928,13744,80
940,13744,80
952,13744,80
964,13744,80
976,13744,80
988,13744,80
1000,13744,80
1012,13744,80
1024,13744,80
1036,13744,80
1048,13744,80
1060,13744,80
1072,13744,80
1084,13744,80
1096,13744,80
1108,13744,80
1120,13744,80
1132,13744,80
1144,13744,80
1156,13744,80
1168,13728,80
1180,13744,80
1192,13728,80
1204,13744,80
1216,13728,80
1228,13728,80
1240,13728,80
1252,13728,80
1264,13744,80
1276,13728,80
1288,13728,80
1300,13728,80
1312,13728,80
1324,13744,80
1336,13728,80
1348,13728,80
1360,13728,80
1372,13728,80
1384,13728,80
1396,13728,80
1408,13728,80
1420,13728,80
1432,13728,80
1444,13728,80
1456,13728,80
1468,13728,80
1480,13744,80
1492,13744,80
1504,13744,80
1516,13744,80
1528,13744,80
1540,13744,80
1552,13744,80
1564,13744,80
1577,13744,80
1589,13744,80
1601,13744,80
1613,13744,80
1624,13744,80
1637,13744,80
1649,13744,80
1661,13744,80
1673,13744,80
1684,13744,80
1697,13744,80
1709,13744,80
1721,13744,80
1733,13744,80
1745,13744,80
1757,13744,80
1769,13744,80
1781,13744,80
1793,13744,80
1805,13744,80
1817,13744,80
1829,13728,80
1841,13744,80
1853,13744,80
1865,13744,80
1877,13744,80
1889,13744,80
1901,13744,80
1913,13744,80
1925,13744,80
1937,13744,80
1949,13744,80
1961,13728,80
1973,13744,80
1985,13744,80
1997,13744,80
2009,13744,80
2021,13744,80
2033,13744,80
2045,13744,80
2057,13744,80
2069,13744,80
2081,13744,80
2093,13728,80
2105,13744,80
2117,13744,80
2129,13744,80
2141,13744,80
2153,13744,80
2165,13744,80
2177,13744,80
2189,13744,80
2201,13744,80
2213,13744,80
2225,13744,80
2237,13744,80
2249,13744,80
2261,13744,80
2273,13744,80
2285,13744,80
2297,13744,80
2309,13744,80
2321,13744,80
2333,13744,80
2345,13744,80
2357,13744,80
2369,13744,80
2381,13744,80
2393,13744,80
2405,13744,80
2417,13744,80
2429,13744,80
2441,13744,80
2453,13744,80
2465,13744,80
2477,13744,80
2489,13744,80
2501,13744,80
2513,13744,80
2525,13744,80
2537,13744,80
2549,13744,80
2561,13744,80
2573,13744,80
2585,13744,80
2597,13744,80
2609,13744,80
2621,13744,80
2633,13744,80
2645,13744,80
2657,13744,80
2669,13744,80
2681,13744,80
2693,13744,80
2705,13744,80
2717,13744,80
2729,13744,80
2741,13744,80
2753,13744,80
2765,13744,80
2777,13744,80
2789,13744,80
2801,13744,80
2813,13744,80
2825,13744,80
2837,13744,80
2849,13744,80
2861,13744,80
2873,13744,80
2884,13744,80
2897,13744,80
2909,13744,80
2921,13744,80
2932,13744,80
2945,13744,80
2957,13744,80
2969,13744,80
2981,13744,80
2993,13744,80
3005,13728,80
3017,13744,80
3029,13744,80
3041,13744,80
3053,13744,80
3065,13744,80
3077,13728,80
3089,13744,80
3101,13744,80
3113,13744,80
3125,13744,80
3137,13728,80
3149,13744,80
3161,13744,80
3173,13744,80
3185,13744,80
3197,13744,80
3209,13744,80
3221,13744,80
3233,13744,80
3245,13744,80
3257,13744,80
3269,13744,80
3281,13744,80
3293,13744,80
3305,13744,80
3317,13744,80
3329,13744,80
3341,13744,80
3353,13744,80
3365,13744,80
3377,13744,80
3389,13744,80
3401,13744,80
3413,13744,80
3425,13744,80
3437,13744,80
3449,13744,80
3461,13744,80
3473,13744,80
3485,13744,80
3497,13744,80
3509,13744,80
3521,13744,80
3534,13744,80
3545,13744,80
3558,13744,80
3570,13744,80
3582,13744,80
3594,13728,80
3606,13744,80
3618,13744,80
3629,13728,80
3641,13744,80
3653,13728,80
3665,13728,80
3677,13728,80
3689,13728,80
3701,13728,80
3713,13728,80
3725,13728,80
3738,13728,80
3750,13744,80
3761,13728,80
3774,13744,80
3786,13744,80
3798,13744,80
3810,13744,80
3822,13744,80
3834,13744,80
3846,13744,80
3858,13744,80
3870,13744,80
3882,13744,80
3894,13744,80
3905,13744,80
3918,13744,80
3930,13744,80
3941,13744,80
3954,13744,80
3966,13744,80
3978,13744,80
3990,13744,80
4002,13744,80
4014,13744,80
4025,13744,80
4037,13744,80
4049,13744,80
4061,13744,80
4073,13744,80
4085,13744,80
4097,13744,80
4109,13744,80
4121,13728,80
4133,13744,80
4145,13744,80
4157,13744,80
4169,13744,80
4181,13744,80
4193,13744,80
4205,13744,80
4217,13744,80
4229,13744,80
4241,13744,80
4253,13728,80
4265,13744,80
4277,13744,80
4289,13744,80
4301,13744,80
4313,13728,80
4325,13744,80
4337,13744,80
4349,13744,80
4361,13744,80
4373,13744,80
4385,13744,80
4397,13744,80
4409,13744,80
4421,13744,80
4433,13744,80
4445,13744,80
4457,13744,80
4469,13744,80
4481,13744,80
4493,13744,80
4505,13744,80
4517,13744,80
4529,13744,80
4541,13744,80
4553,13744,80
4565,13744,80
4577,13744,80
4589,13744,80
4601,13744,80
4613,13744,80
4625,13744,80
4637,13744,80
4649,13744,80
4661,13744,80
4673,13744,80
4685,13744,80
4697,13744,80
4709,13728,80
4721,13744,80
4733,13744,80
4745,13744,80
4757,13744,80
4769,13744,80
4781,13744,80
4793,13744,80
4805,13744,80
4818,13744,80
4830,13744,80
4842,13744,80
4854,13744,80
4866,13744,80
4878,13744,80
4890,13744,80
4902,13744,80
4914,13744,80
4926,13744,80
4938,13744,80
4950,13744,80
4962,13744,80
4974,13744,80
4986,13744,80
4998,13744,80
5010,13744,80
