Time,Left,U
2,13728,80
16,13728,80
29,13744,80
41,13760,80
54,13776,80
67,13792,80
81,13856,80
94,13872,80
107,13872,80
119,13872,80
131,13888,80
143,13840,80
155,13760,80
167,13744,80
179,13712,80
192,13696,80
204,13712,80
216,13696,80
228,13696,80
240,13728,80
252,13728,80
264,13728,80
276,13744,80
288,13744,80
300,13744,80
312,13744,80
324,13728,80
336,13760,80
348,13776,80
360,13776,80
372,13792,80
384,13824,80
396,13840,80
408,13840,80
420,13840,80
432,13824,80
444,13744,80
456,13728,80
468,13712,80
480,13712,80
492,13712,80
505,13728,80
517,13728,80
529,13728,80
541,13744,80
553,13744,80
565,13744,80
577,13744,80
589,13760,80
601,13728,80
613,13744,80
625,13776,80
637,13792,80
649,13824,80
661,13856,80
673,13856,80
685,13888,80
697,13856,80
709,13840,80
721,13792,80
734,13744,80
746,13712,80
758,13696,80
770,13712,80
782,13712,80
794,13728,80
806,13728,80
818,13728,80
830,13744,80
842,13744,80
854,13744,80
866,13760,80
878,13776,80
890,13792,80
902,13824,80
914,13808,80
926,13840,80
938,13840,80
950,13840,80
962,13840,80
974,13824,80
986,13792,80
998,13744,80
1010,13728,80
1022,13712,80
1034,13712,80
1046,13712,80
1058,13728,80
1071,13712,80
1083,13712,80
1095,13728,80
1107,13744,80
1119,13744,80
1130,13744,80
1142,13712,80
1154,13744,80
1166,13760,80
1178,13776,80
1190,13792,80
1202,13792,80
1215,13792,80
1227,13840,80
1238,13856,80
1251,13840,80
1263,13824,80
1275,13792,80
1287,13744,80
1299,13744,80
1311,13712,80
1323,13696,80
1335,13712,80
1347,13712,80
1359,13712,80
1371,13728,80
1383,13744,80
1395,13728,80
1406,13712,80
1418,13712,80
1430,13760,80
1442,13760,80
1454,13776,80
1467,13792,80
1478,13792,80
1491,13824,80
1503,13856,80
1515,13856,80
1527,13856,80
1538,13840,80
1550,13776,80
1562,13744,80
1575,13728,80
1587,13712,80
1599,13696,80
1611,13696,80
1623,13696,80
1635,13696,80
1647,13744,80
1658,13712,80
1671,13696,80
1683,13728,80
1695,13744,80
1707,13744,80
1718,13728,80
1731,13744,80
1743,13760,80
1755,13776,80
1767,13776,80
1779,13776,80
1791,13824,80
1803,13824,80
1815,13824,80
1827,13824,80
1839,13824,80
1851,13760,80
1863,13744,80
1875,13744,80
1887,13712,80
1899,13696,80
1911,13712,80
1923,13696,80
1935,13712,80
1947,13728,80
1959,13728,80
1971,13744,80
1983,13744,80
1995,13744,80
2007,13760,80
2019,13776,80
2031,13776,80
2043,13776,80
2055,13824,80
2067,13808,80
2079,13824,80
2091,13824,80
2103,13824,80
2116,13824,80
2128,13840,80
2139,13824,80
2151,13744,80
2163,13728,80
2176,13712,80
2188,13712,80
2200,13712,80
2212,13712,80
2224,13728,80
2236,13728,80
2248,13712,80
2260,13712,80
2272,13728,80
2284,13760,80
2296,13776,80
2308,13776,80
2320,13792,80
2332,13792,80
2344,13824,80
2356,13824,80
2368,13840,80
2380,13840,80
2392,13824,80
2404,13744,80
2416,13744,80
2428,13712,80
2440,13696,80
2452,13712,80
2464,13712,80
2476,13712,80
2488,13728,80
2500,13728,80
2512,13744,80
2524,13744,80
2536,13744,80
2548,13712,80
2560,13728,80
2572,13728,80
2584,13744,80
2596,13760,80
2608,13776,80
2620,13776,80
2632,13792,80
2644,13824,80
2656,13824,80
2668,13840,80
2680,13824,80
2692,13824,80
2704,13760,80
2716,13744,80
2728,13728,80
2740,13712,80
2752,13712,80
2764,13696,80
2777,13712,80
2789,13728,80
2801,13728,80
2813,13744,80
2825,13744,80
2837,13728,80
2849,13712,80
2861,13712,80
2873,13760,80
2885,13744,80
2897,13744,80
2909,13744,80
2921,13760,80
2933,13776,80
2945,13776,80
2957,13776,80
2969,13776,80
2981,13776,80
2993,13760,80
3005,13744,80
3017,13744,80
3029,13728,80
3041,13728,80
3053,13712,80
3065,13712,80
3077,13728,80
3089,13744,80
3101,13728,80
3113,13728,80
3125,13728,80
3137,13744,80
3149,13744,80
3161,13744,80
3173,13760,80
3185,13760,80
3197,13760,80
3209,13760,80
3221,13744,80
3233,13744,80
3245,13744,80
3257,13728,80
3269,13728,80
3281,13728,80
3293,13728,80
3306,13728,80
3318,13728,80
3330,13728,80
3342,13728,80
3354,13728,80
3366,13728,80
3378,13744,80
3390,13744,80
3402,13744,80
3414,13744,80
3426,13744,80
3438,13760,80
3450,13744,80
3462,13744,80
3474,13744,80
3486,13728,80
3498,13728,80
3510,13728,80
3522,13728,80
3534,13728,80
3546,13728,80
3558,13728,80
3570,13728,80
3582,13728,80
3594,13744,80
3606,13744,80
3618,13744,80
3630,13744,80
3642,13760,80
3654,13760,80
3666,13760,80
3678,13744,80
3690,13744,80
3702,13728,80
3714,13728,80
3726,13728,80
3738,13728,80
3750,13728,80
3762,13728,80
3774,13728,80
3786,13728,80
3798,13728,80
3810,13728,80
3822,13728,80
3834,13744,80
3846,13744,80
3858,13744,80
3870,13744,80
3882,13744,80
3894,13744,80
3906,13728,80
3918,13728,80
3930,13728,80
3942,13728,80
3954,13728,80
3966,13728,80
3978,13728,80
3990,13728,80
4002,13728,80
4014,13728,80
4026,13744,80
4038,13744,80
4050,13744,80
4062,13728,80
4075,13728,80
4087,13728,80
4099,13728,80
4111,13728,80
4123,13728,80
4135,13728,80
4147,13728,80
4159,13728,80
4171,13728,80
4183,13728,80
4195,13728,80
4207,13744,80
4219,13744,80
4231,13744,80
4243,13744,80
4255,13744,80
4267,13728,80
4279,13728,80
4291,13744,80
4303,13728,80
4315,13728,80
4327,13728,80
4339,13728,80
4351,13728,80
4363,13728,80
4375,13728,80
4387,13728,80
4399,13728,80
4411,13728,80
4423,13744,80
4435,13744,80
4447,13744,80
4459,13744,80
4471,13744,80
4483,13728,80
4495,13728,80
4507,13728,80
4519,13728,80
4531,13728,80
4543,13728,80
4555,13728,80
4567,13728,80
4579,13728,80
4591,13728,80
4604,13728,80
4616,13744,80
4628,13744,80
4640,13744,80
4652,13744,80
4664,13744,80
4676,13744,80
4688,13744,80
4700,13744,80
4712,13744,80
4724,13744,80
4736,13728,80
4748,13728,80
4760,13728,80
4772,13728,80
4784,13728,80
4796,13744,80
4808,13744,80
4820,13760,80
4832,13776,80
4844,13776,80
4856,13776,80
4868,13776,80
4880,13792,80
4892,13808,80
4904,13808,80
4916,13808,80
4928,13760,80
4940,13744,80
4952,13744,80
4964,13744,80
4976,13744,80
4988,13744,80
5000,13760,80
