Time,Left,U
2,13728,80.6
16,15472,84.7982
28,14880,88.3901
41,14048,92.269
54,13808,96.1292
67,13760,99.9649
79,13792,103.479
92,13728,107.251
104,13552,110.696
116,13200,114.102
128,13104,117.463
140,12928,120.776
152,12768,124.036
164,12576,127.239
176,12400,130.381
188,12240,133.457
200,11904,136.464
212,11648,139.398
224,11488,142.255
236,11264,145.032
248,11392,147.724
260,10960,150.328
272,10752,152.841
284,10640,155.26
296,10544,157.581
308,10368,159.802
320,10256,161.919
332,10112,163.93
344,10016,165.833
356,9856,167.624
368,9776,169.301
380,9664,170.863
392,9520,172.307
404,9248,173.632
416,9120,174.835
428,9056,175.916
440,9008,176.872
452,8960,177.702
464,8880,178.406
476,8816,178.982
488,8768,179.43
500,8704,179.749
512,8640,179.939
524,8672,180
537,8592,179.919
549,8480,179.71
561,8352,179.371
573,8256,178.904
585,8176,178.308
597,8112,177.585
609,9552,176.736
621,7968,175.761
633,7584,174.662
645,7600,173.441
657,7600,172.098
669,7680,170.636
681,7728,169.057
693,7792,167.362
705,7872,165.554
717,7936,163.635
729,8048,161.608
741,8128,159.475
753,8240,157.239
765,8336,154.903
777,8432,152.47
789,8688,149.943
801,8816,147.325
813,8992,144.62
825,9024,141.831
837,9168,138.962
849,9328,136.017
861,9680,132.999
873,9808,129.913
885,9984,126.762
897,10160,123.55
909,10320,120.282
921,10496,116.961
933,10752,113.593
945,10944,110.181
957,11168,106.73
969,11408,103.245
981,11584,99.729
993,11840,96.1877
1005,12080,92.6255
1017,12352,89.0469
1029,12544,85.4566
1041,12800,81.8592
1053,13056,78.2594
1065,13312,74.6618
1077,13520,71.0712
1089,13712,67.4921
1101,13968,63.9293
1113,14176,60.3872
1125,14416,56.8706
1137,14576,53.384
1149,14848,49.9318
1161,15040,46.5186
1173,15296,43.1488
1185,15488,39.8268
1197,15744,36.5568
1209,15968,33.3431
1221,16192,30.1899
1233,16448,27.1012
1246,16624,23.8326
1259,16832,20.6495
1271,17040,17.7912
1283,17152,15.0135
1295,17232,12.32
1307,17408,9.7142
1319,17568,7.19951
1331,17712,4.77915
1343,17840,2.45627
1356,17984,0.0533038
1367,18032,-1.88515
1380,18096,-4.06094
1392,18208,-5.95596
1404,18320,-7.7396
1416,18448,-9.40954
1428,18496,-10.9636
1440,18544,-12.3998
1452,18608,-13.7163
1464,18640,-14.9113
1477,18672,-16.0671
1489,18704,-17.0043
1501,18720,-17.8158
1513,18752,-18.5006
1525,18768,-19.0577
1537,18800,-19.4865
