Time,Left,U
2,32752,80.6
16,32752,84.7982
28,32752,88.3901
41,32752,92.269
54,32752,96.1292
66,32752,99.6709
80,32752,103.77
92,32752,107.251
103,32752,110.411
115,32752,113.82
128,32752,117.463
140,32752,120.776
152,32752,124.036
164,32752,127.239
176,32752,130.381
188,32752,133.457
200,32752,136.464
212,32752,139.398
224,32752,142.255
236,32752,145.032
248,32752,147.724
260,32752,150.328
272,32752,152.841
284,32752,155.26
296,32752,157.581
308,32752,159.802
320,32752,161.919
332,32752,163.93
344,32752,165.833
356,32752,167.624
368,32752,169.301
380,32752,170.863
392,32752,172.307
404,32752,173.632
416,32752,174.835
428,32752,175.916
440,32752,176.872
452,32752,177.702
464,32752,178.406
476,32752,178.982
488,32752,179.43
500,32752,179.749
512,32752,179.939
524,32752,180
536,32752,179.931
548,32752,179.732
560,32752,179.404
572,32752,178.948
584,32656,178.363
596,32384,177.65
608,32048,176.811
620,31872,175.847
632,31712,174.759
644,31568,173.547
656,31328,172.215
668,31216,170.763
680,31440,169.193
692,31712,167.508
704,31904,165.709
716,32144,163.799
728,32416,161.781
741,32752,159.475
753,32752,157.239
765,32752,154.903
777,32752,152.47
789,32752,149.943
801,32752,147.325
813,32752,144.62
825,32752,141.831
837,32752,138.962
849,32752,136.017
861,32752,132.999
873,32752,129.913
885,32752,126.762
897,32752,123.55
909,32752,120.282
921,32752,116.961
933,32752,113.593
945,32752,110.181
957,32752,106.73
969,32752,103.245
981,32752,99.729
993,32752,96.1877
1005,32752,92.6255
1017,32752,89.0469
1029,32752,85.4566
1041,32752,81.8592
1053,32752,78.2594
1065,32752,74.6618
1077,32752,71.0712
1089,32752,67.4921
1101,32752,63.9293
1113,32752,60.3872
1125,32752,56.8706
1137,32752,53.384
1149,32752,49.9318
1161,32752,46.5186
1173,32752,43.1488
1185,32752,39.8268
1197,32752,36.5568
1209,32752,33.3431
1221,32752,30.1899
1233,32752,27.1012
1245,32752,24.0811
1257,32752,21.1334
1269,32752,18.262
1281,32752,15.4707
1293,32752,12.7629
1305,32752,10.1423
1317,32752,7.61216
1329,32752,5.17586
1341,32752,2.83652
1353,32752,0.597173
1365,32752,-1.53928
1377,32752,-3.57006
1389,32752,-5.49256
1401,32752,-7.30426
1413,32752,-9.00284
1425,32752,-10.5861
1437,32752,-12.0519
1449,32752,-13.3985
1461,32752,-14.624
1473,32752,-15.7269
1486,32752,-16.7817
1498,32752,-17.6248
1510,32752,-18.3413
1522,32752,-18.9304
1534,32752,-19.3913
1546,32752,-19.7234
1558,32752,-19.9263
1570,32752,-19.9997
1582,32752,-19.9435
1594,32752,-19.7578
1606,32752,-19.4428
1619,32752,-18.9562
1631,32752,-18.3734
1643,32752,-17.6631
1655,32752,-16.8263
1667,32752,-15.864
1679,32752,-14.7775
1691,32752,-13.5681
1703,32752,-12.2375
1715,32752,-10.7874
1727,32752,-9.21965
1739,32752,-7.53626
1751,32752,-5.73944
1764,32752,-3.66758
1776,32752,-1.64208
1788,32752,0.48922
1800,32752,2.72355
1812,32752,5.05802
1824,32752,7.48961
1836,32752,10.0152
1848,32752,12.6314
1860,32752,15.3349
1872,32752,18.1223
1884,32752,20.9898
1896,32752,23.9338
1908,32752,26.9504
1920,32752,30.0358
1932,32752,33.1859
1944,32752,36.3967
1956,32752,39.6641
1968,32752,42.9836
1980,32752,46.3512
1992,32752,49.7623
2004,32752,53.2126
2016,32752,56.6977
2028,32752,60.2129
2040,32752,63.7538
2052,32752,67.3157
2064,32752,70.8941
2076,32752,74.4843
2088,32752,78.0816
2100,32752,81.6814
2112,32752,85.279
2124,32752,88.8698
2136,32752,92.4491
2148,32752,96.0122
2160,32752,99.5546
2172,32752,103.072
2184,32752,106.559
2196,32752,110.012
2208,32752,113.426
2220,32752,116.796
2232,32752,120.119
2244,32752,123.39
2256,32752,126.604
2268,32752,129.759
2280,32752,132.848
2292,32752,135.87
2304,32752,138.819
2316,32752,141.691
2328,32752,144.484
2340,32752,147.193
2352,32752,149.815
2364,32752,152.347
2376,32752,154.785
2388,32752,157.126
2400,32752,159.367
2412,32752,161.505
2424,32752,163.538
2436,32752,165.462
2448,32752,167.275
2460,32752,168.976
2472,32752,170.561
2484,32752,172.029
2496,32752,173.377
2508,32752,174.605
2520,32752,175.71
2532,32752,176.691
2544,32752,177.546
2556,32752,178.276
2568,32752,178.877
2580,32752,179.351
2592,32752,179.696
2604,32752,179.912
2616,32752,179.998
2628,32752,179.955
2640,32752,179.782
2652,32752,179.48
2665,32752,179.007
2677,32592,178.437
2689,32256,177.74
2700,31968,176.989
2712,31808,176.05
2724,31664,174.986
2736,31440,173.799
2748,31360,172.49
2760,31216,171.062
2773,31408,169.381
2785,31648,167.709
2796,31856,166.077
2809,32112,164.027
2820,32352,162.192
2832,32720,160.089
2844,32752,157.882
2856,32752,155.574
2868,32752,153.168
2880,32752,150.667
2893,32752,147.854
2904,32752,145.394
2916,32752,142.628
2928,32752,139.782
2940,32752,136.858
2952,32752,133.86
2964,32752,130.793
2976,32752,127.66
2988,32752,124.465
3000,32752,121.212
3012,32752,117.906
3024,32752,114.551
3036,32752,111.151
3048,32752,107.71
3060,32752,104.234
3072,32752,100.726
3084,32752,97.192
3096,32752,93.6352
3108,32752,90.0607
3120,32752,86.4733
3132,32752,82.8774
3144,32752,79.2778
3156,32752,75.6791
3168,32752,72.0861
3180,32752,68.5033
3192,32752,64.9354
3204,32752,61.387
3216,32752,57.8627
3228,32752,54.3671
3240,32752,50.9048
3252,32752,47.4801
3264,32752,44.0976
