Time,Left,U
2,13728,80
15,13728,80
28,13728,80
41,13728,80
54,13728,80
66,13728,80
79,13728,80
92,13728,80
105,13728,80
117,13728,80
129,13728,80
141,13728,80
153,13728,80
165,13728,80
177,13728,80
189,13728,80
201,13728,80
213,13728,80
225,13728,80
237,13728,80
249,13728,80
261,13728,80
273,13728,80
285,13728,80
297,13728,80
309,13728,80
321,13728,80
333,13728,80
345,13728,80
357,13728,80
369,13728,80
381,13728,80
393,13728,80
405,13728,80
417,13728,80
429,13728,80
441,13728,80
453,13728,80
465,13728,80
477,13728,80
489,13728,80
501,13728,80
513,13728,80
525,13728,80
537,13728,80
549,13728,80
561,13728,80
573,13728,80
585,13728,80
597,13728,80
609,13728,80
621,13728,80
633,13728,80
645,13728,80
657,13728,80
669,13728,80
681,13728,80
693,13728,80
705,13728,80
717,13728,80
729,13728,80
741,13728,80
753,13728,80
765,13728,80
777,13728,80
789,13728,80
801,13728,80
813,13728,80
825,13728,80
837,13728,80
849,13728,80
862,13728,80
874,13728,80
886,13728,80
898,13728,80
909,13728,80
921,13728,80
933,13728,80
945,13728,80
957,13728,80
969,13728,80
982,13728,80
994,13728,80
1006,13728,80
1018,13728,80
1030,13728,80
1042,13728,80
1054,13728,80
1066,13728,80
1078,13728,80
1090,13728,80
1102,13728,80
1114,13728,80
1126,13728,80
1138,13728,80
1150,13728,80
1162,13728,80
1174,13728,80
1186,13728,80
1198,13728,80
1210,13728,80
1222,13728,80
1234,13728,80
1246,13728,80
1258,13728,80
1270,13728,80
1282,13728,80
1294,13728,80
1306,13728,80
1318,13728,80
1330,13728,80
1342,13728,80
1354,13728,80
1366,13728,80
1378,13728,80
1390,13728,80
1402,13728,80
1414,13728,80
1426,13728,80
1438,13728,80
1450,13728,80
1462,13728,80
1474,13728,80
1486,13728,80
1498,13728,80
1510,13728,80
1522,13728,80
1534,13728,80
1546,13728,80
1558,13728,80
1570,13728,80
1582,13728,80
1594,13728,80
1606,13728,80
1618,13728,80
1630,13728,80
1642,13728,80
1654,13728,80
1666,13728,80
1678,13728,80
1690,13728,80
1702,13728,80
1714,13728,80
1726,13728,80
1738,13728,80
1750,13728,80
1762,13728,80
1774,13728,80
1786,13728,80
1798,13728,80
1810,13728,80
1822,13728,80
1834,13728,80
1846,13728,80
1859,13728,80
1871,13728,80
1883,13728,80
1895,13728,80
1907,13728,80
1919,13728,80
1931,13728,80
1943,13728,80
1955,13728,80
1967,13728,80
1979,13728,80
1991,13728,80
2003,13728,80
2015,13728,80
2027,13728,80
2039,13728,80
2051,13728,80
2063,13728,80
2075,13728,80
2087,13728,80
2099,13728,80
2111,13728,80
2123,13728,80
2135,13728,80
2147,13728,80
2159,13728,80
2171,13728,80
2183,13728,80
2195,13728,80
2207,13728,80
2219,13728,80
2231,13728,80
2243,13728,80
2255,13728,80
2267,13728,80
2279,13728,80
2291,13728,80
2303,13728,80
2315,13728,80
2327,13728,80
2339,13728,80
2351,13728,80
2363,13728,80
2375,13728,80
2387,13728,80
2399,13728,80
2411,13728,80
2423,13728,80
2435,13728,80
2447,13728,80
2459,13728,80
2471,13728,80
2483,13728,80
2495,13728,80
2507,13728,80
2519,13728,80
2531,13728,80
2543,13728,80
2555,13728,80
2567,13728,80
2579,13728,80
2591,13728,80
2603,13728,80
2615,13728,80
2627,13728,80
2639,13728,80
2651,13728,80
2663,13728,80
2675,13728,80
2687,13728,80
2699,13728,80
2711,13728,80
2723,13728,80
2735,13728,80
2747,13728,80
2759,13728,80
2771,13728,80
2783,13728,80
2795,13728,80
2807,13728,80
2819,13728,80
2831,13728,80
2843,13728,80
2855,13728,80
2867,13728,80
2879,13728,80
2891,13728,80
2903,13728,80
2915,13728,80
2927,13728,80
2939,13728,80
2951,13728,80
2963,13728,80
2975,13728,80
2987,13728,80
2999,13728,80
3011,13728,80
3023,13728,80
3035,13728,80
3047,13728,80
3059,13728,80
3071,13728,80
3083,13728,80
3095,13728,80
3107,13728,80
3119,13728,80
3131,13728,80
3143,13728,80
3155,13728,80
3167,13728,80
3179,13728,80
3191,13728,80
3203,13728,80
3215,13728,80
3227,13728,80
3239,13728,80
3251,13728,80
3263,13728,80
3275,13728,80
3287,13728,80
3299,13728,80
3311,13728,80
3323,13728,80
3335,13728,80
3347,13728,80
3359,13728,80
3371,13728,80
3383,13728,80
3395,13728,80
3407,13728,80
3419,13728,80
3431,13728,80
3443,13728,80
3455,13728,80
3467,13728,80
3479,13728,80
3491,13728,80
3503,13728,80
3515,13728,80
3527,13728,80
3539,13728,80
3551,13728,80
3563,13728,80
3575,13728,80
3587,13728,80
3599,13728,80
3611,13728,80
3623,13728,80
3635,13728,80
3647,13728,80
3659,13728,80
3672,13728,80
3684,13728,80
3696,13728,80
3708,13728,80
3720,13728,80
3732,13728,80
3744,13728,80
3756,13728,80
3768,13728,80
3780,13728,80
3792,13728,80
3804,13728,80
3816,13728,80
3828,13728,80
3840,13728,80
3852,13728,80
3864,13728,80
3876,13728,80
3888,13728,80
3900,13728,80
3912,13728,80
3924,13728,80
3936,13728,80
3948,13728,80
3961,13728,80
3973,13728,80
3985,13728,80
3997,13728,80
4009,13728,80
4021,13728,80
4033,13728,80
4045,13728,80
4057,13728,80
4069,13728,80
4081,13728,80
4093,13728,80
4105,13728,80
4117,13728,80
4129,13728,80
4141,13728,80
4153,13728,80
4165,13728,80
4177,13728,80
4189,13728,80
4201,13728,80
4213,13728,80
4225,13728,80
4237,13728,80
4249,13728,80
4261,13728,80
4273,13728,80
4285,13728,80
4297,13728,80
4309,13728,80
4321,13728,80
4333,13728,80
4345,13728,80
4357,13728,80
4369,13728,80
4381,13728,80
4393,13728,80
4405,13728,80
4417,13728,80
4429,13728,80
4441,13728,80
4453,13728,80
4465,13728,80
4477,13728,80
4489,13728,80
4501,13728,80
4513,13728,80
4525,13728,80
4537,13728,80
4549,13728,80
4561,13728,80
4573,13728,80
4585,13728,80
4597,13728,80
4608,13728,80
4621,13728,80
4633,13728,80
4645,13728,80
4657,13728,80
4669,13728,80
4681,13728,80
4693,13728,80
4705,13728,80
4717,13728,80
4729,13728,80
4741,13728,80
4753,13728,80
4765,13728,80
4777,13728,80
4789,13728,80
4801,13728,80
4813,13728,80
4825,13728,80
4837,13728,80
4849,13728,80
4861,13728,80
4873,13728,80
4885,13728,80
4897,13728,80
4909,13728,80
4921,13728,80
4933,13728,80
4945,13728,80
4957,13728,80
4969,13728,80
4981,13728,80
4993,13728,80
5005,13728,80
