Time,Left,U
2,13728,80
15,13728,80
28,13728,80
41,13728,80
54,13728,80
66,13728,80
78,13728,80
90,13744,80
102,13744,80
114,13744,80
126,13744,80
138,13744,80
150,13744,80
162,13760,80
174,13760,80
186,13760,80
197,13776,80
209,13776,80
221,13760,80
233,13760,80
245,13760,80
257,13776,80
269,13760,80
281,13776,80
294,13776,80
306,13776,80
318,13776,80
330,13776,80
342,13776,80
354,13808,80
366,13776,80
378,13776,80
390,13808,80
402,13808,80
414,13776,80
426,13776,80
438,13824,80
450,13792,80
462,13776,80
474,13776,80
486,13776,80
498,13776,80
510,13808,80
522,13776,80
534,13776,80
546,13776,80
558,13808,80
570,13776,80
582,13776,80
594,13776,80
606,13776,80
618,13792,80
630,13776,80
642,13776,80
654,13840,80
666,13776,80
678,13776,80
690,13840,80
702,13776,80
714,13776,80
726,13776,80
738,13776,80
750,13808,80
762,13776,80
774,13776,80
786,13776,80
798,13760,80
810,13744,80
822,13744,80
834,13744,80
846,13744,80
858,13744,80
870,13744,80
882,13744,80
894,13744,80
906,13744,80
918,13744,80
930,13744,80
942,13744,80
954,13744,80
966,13744,80
978,13744,80
990,13744,80
1002,13744,80
1014,13744,80
1026,13744,80
1038,13744,80
1050,13744,80
1062,13744,80
1074,13744,80
1086,13744,80
1098,13744,80
1110,13744,80
1122,13744,80
1134,13744,80
1146,13744,80
1158,13744,80
1170,13744,80
1182,13760,80
1194,13760,80
1206,13760,80
1218,13760,80
1230,13760,80
1242,13760,80
1254,13760,80
1266,13760,80
1278,13760,80
1290,13760,80
1302,13760,80
1314,13760,80
1326,13760,80
1338,13760,80
1350,13760,80
1362,13760,80
1374,13760,80
1386,13760,80
1398,13760,80
1410,13760,80
1422,13760,80
1434,13760,80
1446,13760,80
1458,13760,80
1470,13760,80
1482,13760,80
1494,13760,80
1506,13760,80
1518,13760,80
1530,13760,80
1542,13760,80
1554,13760,80
1566,13760,80
1578,13760,80
1591,13760,80
1602,13760,80
1614,13760,80
1626,13760,80
1638,13760,80
1651,13760,80
1663,13760,80
1675,13760,80
1687,13760,80
1699,13760,80
1711,13760,80
1723,13760,80
1735,13760,80
1747,13760,80
1759,13760,80
1771,13760,80
1783,13760,80
1795,13760,80
1807,13760,80
1819,13760,80
1831,13760,80
1843,13760,80
1855,13760,80
1867,13760,80
1879,13760,80
1891,13744,80
1903,13744,80
1915,13744,80
1927,13744,80
1939,13744,80
1951,13744,80
1963,13744,80
1975,13744,80
1987,13744,80
1999,13744,80
2011,13744,80
2023,13744,80
2035,13744,80
2047,13744,80
2059,13744,80
2071,13728,80
2083,13728,80
2095,13728,80
2107,13728,80
2119,13728,80
2131,13728,80
2143,13728,80
2155,13728,80
2167,13728,80
2179,13712,80
2191,13712,80
2203,13712,80
2215,13712,80
2227,13712,80
2239,13712,80
2251,13744,80
2263,13744,80
2275,13744,80
2287,13712,80
2299,13712,80
2311,13760,80
2323,13760,80
2335,13712,80
2347,13728,80
2359,13728,80
2371,13728,80
2383,13728,80
2395,13728,80
2407,13712,80
2419,13728,80
2431,13728,80
2443,13728,80
2455,13712,80
2467,13712,80
2479,13728,80
2491,13712,80
2503,13712,80
2515,13712,80
2527,13712,80
2539,13712,80
2551,13712,80
2563,13712,80
2575,13712,80
2587,13712,80
2599,13712,80
2611,13712,80
2623,13712,80
2635,13712,80
2647,13712,80
2659,13712,80
2671,13712,80
2683,13712,80
2695,13712,80
2707,13712,80
2719,13712,80
2731,13712,80
2743,13712,80
2755,13712,80
2767,13712,80
2779,13712,80
2791,13712,80
2803,13712,80
2816,13712,80
2827,13712,80
2839,13712,80
2852,13712,80
2863,13712,80
2875,13712,80
2887,13712,80
2899,13712,80
2911,13712,80
2923,13712,80
2935,13712,80
2947,13712,80
2959,13712,80
2971,13712,80
2983,13712,80
2996,13712,80
3008,13712,80
3020,13712,80
3032,13712,80
3044,13712,80
3056,13712,80
3067,13712,80
3079,13712,80
3091,13712,80
3103,13712,80
3115,13744,80
3127,13712,80
3139,13712,80
3152,13712,80
3164,13712,80
3176,13712,80
3188,13712,80
3200,13712,80
3212,13712,80
3224,13712,80
3236,13712,80
3248,13712,80
3260,13712,80
3272,13712,80
3284,13712,80
3296,13712,80
3308,13712,80
3320,13712,80
3332,13712,80
3344,13712,80
3356,13712,80
3368,13712,80
3380,13712,80
3392,13712,80
3404,13712,80
3416,13712,80
3428,13712,80
3440,13728,80
3452,13728,80
3464,13728,80
3476,13728,80
3488,13728,80
3500,13728,80
3512,13728,80
3524,13744,80
3536,13744,80
3548,13744,80
3560,13744,80
3572,13744,80
3584,13744,80
3596,13744,80
3608,13760,80
3620,13760,80
3632,13776,80
3644,13760,80
3656,13776,80
3668,13776,80
3680,13776,80
3692,13808,80
3704,13808,80
3716,13824,80
3728,13808,80
3740,13808,80
3752,13824,80
3764,13824,80
3776,13824,80
3788,13824,80
3800,13824,80
3812,13824,80
3824,13824,80
3836,13824,80
3848,13824,80
3860,13824,80
3872,13824,80
3884,13824,80
3896,13824,80
3908,13824,80
3920,13824,80
3932,13824,80
3944,13840,80
3956,13840,80
3968,13840,80
3980,13840,80
3992,13840,80
4004,13840,80
4017,13808,80
4029,13776,80
4041,13808,80
4053,13776,80
4065,13776,80
4077,13776,80
4089,13776,80
4101,13792,80
4113,13776,80
4125,13792,80
4137,13776,80
4149,13776,80
4161,13808,80
4173,13776,80
4185,13792,80
4197,13776,80
4209,13776,80
4221,13776,80
4233,13776,80
4245,13776,80
4257,13776,80
4268,13776,80
4281,13776,80
4293,13760,80
4305,13760,80
4317,13744,80
4329,13744,80
4341,13744,80
4353,13744,80
4365,13744,80
4377,13744,80
4389,13744,80
4401,13744,80
4413,13744,80
4425,13728,80
4437,13728,80
4448,13728,80
4461,13728,80
4473,13728,80
4485,13728,80
4497,13728,80
4509,13728,80
4521,13712,80
4533,13712,80
4545,13712,80
4557,13712,80
4569,13712,80
4581,13696,80
4593,13728,80
4605,13728,80
4617,13744,80
4629,13744,80
4641,13696,80
4653,13696,80
4665,13744,80
4677,13744,80
4689,13744,80
4701,13728,80
4713,13712,80
4725,13712,80
4737,13712,80
4749,13712,80
4761,13712,80
4773,13712,80
4785,13712,80
4797,13712,80
4809,13712,80
4821,13712,80
4833,13712,80
4845,13712,80
4857,13712,80
4869,13712,80
4881,13728,80
4893,13728,80
4905,13712,80
4917,13712,80
4929,13760,80
4941,13760,80
4953,13760,80
4965,13712,80
4977,13712,80
4989,13744,80
5001,13760,80
