Time,Left,U
0,13712,80
14,13712,80.6977
27,13712,81.3337
39,13712,81.9009
52,13712,82.4844
65,13760,83.0259
77,13776,83.4807
89,13776,83.8854
101,13744,84.2342
114,13760,84.5432
126,13760,84.7605
138,13760,84.9093
150,13744,84.9875
162,13744,84.9939
174,13728,84.9286
186,13712,84.7924
198,13712,84.5872
210,13728,84.316
222,13712,83.9828
234,13680,83.5923
246,13632,83.1502
258,13600,82.6627
270,13600,82.1369
282,13600,81.5804
294,13600,81.0012
306,13584,80.4075
318,13616,79.808
330,13648,79.2113
342,13664,78.6259
354,13680,78.0602
366,13696,77.5225
378,13712,77.0204
390,13744,76.5612
402,13744,76.1514
414,13760,75.797
426,13776,75.503
438,13792,75.2737
450,13840,75.1124
462,13872,75.0213
474,13904,75.0019
486,13936,75.0544
498,13952,75.178
510,13952,75.3709
522,13968,75.6305
534,13968,75.9528
546,13952,76.3334
558,13904,76.7667
570,13904,77.2466
582,13904,77.766
594,13904,78.3176
606,13904,78.8933
618,13952,79.485
630,13984,80.0841
642,14000,80.6819
655,13936,81.3183
666,13920,81.8398
678,13920,82.3831
690,13920,82.8922
702,13904,83.3597
714,13872,83.7788
727,13840,84.1714
739,13840,84.4714
751,13808,84.7071
762,13792,84.8638
775,13760,84.973
786,13760,84.9999
798,13744,84.9604
810,13728,84.8494
822,13712,84.6688
835,13696,84.3974
847,13696,84.0809
859,13648,83.7057
870,13632,83.3148
882,13632,82.8429
895,13632,82.2857
907,13632,81.7369
919,13632,81.1631
931,13632,80.5726
943,13664,79.9739
955,13696,79.3755
967,13696,78.7861
979,13712,78.2142
991,13728,77.668
1003,13728,77.1553
1015,13744,76.6835
1027,13760,76.2594
1039,13776,75.8891
1051,13792,75.578
1063,13808,75.3304
1075,13824,75.15
1087,13840,75.0394
1099,13856,75.0001
1111,13856,75.0327
1123,13888,75.1368
1135,13904,75.3108
1147,13904,75.5522
1159,13888,75.8577
1171,13872,76.2226
1183,13840,76.642
1195,13840,77.1096
1207,13840,77.6188
1219,13840,78.1623
1231,13840,78.7321
1243,13840,79.3203
1255,13840,79.9182
1267,13856,80.5172
1279,13888,81.1088
1291,13904,81.6845
1303,13904,82.236
1315,13920,82.7553
1327,13920,83.2349
1339,13904,83.6681
1351,13872,84.0485
1363,13840,84.3706
1375,13824,84.6299
1387,13840,84.8226
1399,13792,84.946
1411,13776,84.9982
1423,13744,84.9785
1435,13712,84.8872
1447,13696,84.7256
1459,13664,84.4961
1471,13648,84.2018
1483,13632,83.8472
1495,13632,83.4372
1507,13584,82.9778
1519,13584,82.4756
1531,13584,81.9377
1544,13584,81.3238
1556,13584,80.7371
1568,13600,80.1398
1580,13632,79.5405
1592,13648,78.9477
1604,13664,78.3702
1616,13664,77.816
1628,13680,77.2933
1640,13696,76.8095
1652,13728,76.3716
1664,13744,75.9858
1676,13760,75.6578
1688,13776,75.3923
1700,13808,75.193
1712,13840,75.0629
1724,13872,75.0038
1736,13904,75.0165
1748,13920,75.1009
1760,13936,75.2558
1773,13952,75.5005
1785,13952,75.7938
1797,13888,76.1477
1809,13888,76.557
1821,13888,77.0158
1833,13888,77.5175
1845,13888,78.055
1857,13888,78.6204
1869,13904,79.2056
1882,13904,79.8522
1894,13904,80.4516
1906,13968,81.0445
1918,13952,81.6223
1930,13968,82.1768
1942,13936,82.7
1954,13936,83.1844
1966,13920,83.623
1978,13888,84.0094
1990,13856,84.3382
2002,14144,84.6046
2014,14064,84.8048
2026,13904,84.9359
2038,13808,84.9959
2050,13680,84.9841
2062,13648,84.9007
2074,13632,84.7467
2086,13632,84.5245
2098,13616,84.2372
2110,13536,83.889
2122,13520,83.4848
2134,13520,83.0305
2146,13520,82.5326
2158,13520,81.9983
2170,13568,81.4353
2182,13600,80.8516
2194,13632,80.2556
2206,13664,79.656
2218,13728,79.0613
2230,13776,78.4802
2242,13856,77.9209
2254,13872,77.3915
2266,13920,76.8996
2278,13968,76.4523
2290,14000,76.056
2302,14032,75.7165
2314,14032,75.4385
2326,14032,75.2262
2338,14000,75.0825
2350,13968,75.0096
2362,13968,75.0084
2374,13968,75.079
2386,13968,75.2205
2398,13968,75.4306
2410,13968,75.7065
2422,13968,76.0441
2434,13968,76.4386
2446,13968,76.8843
2458,13968,77.3749
2470,14000,77.9032
2482,14032,78.4617
2494,14032,79.0423
2506,14032,79.6366
2518,14048,80.2362
2530,14032,80.8324
2542,14048,81.4166
2554,14032,81.9805
2566,14016,82.5158
2578,13984,83.015
2590,13968,83.4708
2602,13936,83.8767
2614,13920,84.2269
2626,14832,84.5162
2638,14480,84.7406
2650,14048,84.8968
2662,13840,84.9826
2674,13408,84.9967
2686,13408,84.9389
2698,13408,84.8101
2710,13408,84.6122
2722,13408,84.3479
2734,13408,84.021
2746,13424,83.6363
2758,13488,83.1994
2770,13504,82.7164
2782,13536,82.1943
2794,13584,81.6407
2806,13632,81.0635
2818,13680,80.471
2830,13744,79.8717
2842,13792,79.2742
2854,13856,78.6872
2866,13872,78.1191
2878,13904,77.578
2890,13936,77.0718
2902,13968,76.6077
2914,13984,76.1924
2926,13984,75.8318
2938,13952,75.5312
2950,13936,75.2948
2962,13936,75.1262
2975,13952,75.0226
2987,13968,75.0015
2999,13968,75.0524
3011,13968,75.1744
3023,13936,75.3658
3035,13936,75.6238
3047,13936,75.9448
3059,13936,76.3241
3071,13936,76.7563
3083,13936,77.2351
3095,13936,77.7537
3107,13936,78.3047
3119,13936,78.88
3131,13936,79.4714
3143,13984,80.0704
3155,13984,80.6684
3167,14000,81.2567
3179,14000,81.827
3191,13984,82.3711
3203,13952,82.881
3215,13936,83.3495
3227,13920,83.7698
3239,13904,84.1359
3251,15712,84.4425
3263,14592,84.6852
3275,14160,84.8606
3287,13872,84.966
3302,13408,84.9972
3316,13408,84.9251
3328,13408,84.7865
3340,13408,84.579
3352,16224,84.3057
3364,13792,83.9705
3376,13584,83.5781
3388,13616,83.1343
3400,13584,82.6454
3412,13568,82.1185
3424,13600,81.5611
3436,13632,80.9812
3448,13648,80.3872
3460,13664,79.7877
