Time,Left,Right
1604805962286,49.3513,159.621
1604805962306,49.3513,171.628
1604805962327,47.9192,178.568
1604805962347,47.6989,180.991
1604805962368,44.284,181.542
1604805962388,42.1909,179.559
1604805962408,41.7503,174.272
1604805962428,41.9706,169.425
1604805962448,42.7417,164.468
1604805962467,45.0551,160.061
1604805962487,47.5887,155.655
1604805962507,50.8935,151.469
1604805962528,53.978,147.834
1604805962548,57.3929,143.537
1604805962569,61.2485,139.351
1604805962589,64.9939,135.826
1604805962609,68.2987,131.971
1604805962629,72.0441,128.446
1604805962648,75.7895,125.361
1604805962668,79.0942,122.387
1604805962688,83.1701,119.192
1604805962708,87.0257,115.777
1604805962729,91.1016,112.472
1604805962749,96.1689,109.058
1604805962769,99.8042,105.532
1604805962790,104.321,102.118
1604805962810,108.617,98.7026
1604805962830,112.693,95.3978
1604805962849,116.438,92.093
1604805962869,120.734,89.339
1604805962889,124.81,86.1444
1604805962909,128.776,82.8397
1604805962930,132.962,79.9755
1604805962950,136.707,76.2301
1604805962971,141.004,72.705
1604805962991,144.749,69.2901
1604805963011,148.494,65.5447
1604805963031,152.791,62.2399
1604805963051,156.646,58.825
1604805963071,160.722,55.1897
1604805963090,161.603,51.5545
1604805963111,163.476,46.377
1604805963131,169.535,41.53
1604805963172,166.12,62.4602
1604805963193,168.764,60.918
1604805963212,175.924,59.4859
1604805963232,179.009,59.0453
1604805963252,179.229,59.2656
1604805963272,178.348,58.2742
1604805963292,176.916,57.3929
1604805963312,172.95,52.9865
1604805963333,167.001,49.7919
1604805963353,161.053,49.131
1604805963374,155.545,49.4614
1604805963394,151.138,51.3341
1604805963414,146.291,54.0881
1604805963434,142.105,56.5116
1604805963453,137.809,59.5961
1604805963473,133.513,62.5704
1604805963493,129.657,65.4345
1604805963514,125.581,68.7393
1604805963534,121.285,71.7136
1604805963555,117.209,74.9082
1604805963575,113.133,78.7638
1604805963595,108.397,81.8482
1604805963615,104.321,84.8225
1604805963635,100.024,88.1273
1604805963654,95.6181,90.8813
1604805963674,91.8727,94.2962
1604805963694,87.5765,97.9315
1604805963714,83.7209,100.685
1604805963735,79.4247,104.321
1604805963755,74.9082,107.515
1604805963776,70.612,110.71
1604805963796,66.4259,114.235
1604805963816,62.4602,117.43
1604805963835,59.0453,120.734
1604805963855,54.9694,124.039
1604805963875,51.224,127.124
1604805963895,47.6989,130.208
1604805963916,43.8433,133.623
1604805963936,39.7674,136.928
1604805963956,35.4712,140.453
1604805963977,28.4211,142.766
1604805963997,21.8115,146.512
1604805964017,26.2179,149.155
1604805964037,20.3794,160.392
1604805964057,21.481,156.646
1604805964077,18.1763,160.171
1604805964097,14.2105,161.383
