Time,Left,Right
1605602509007,1856,14160
1605602509028,1840,14160
1605602509048,1856,14304
1605602509069,1856,14352
1605602509089,1840,14352
1605602509110,1824,14368
1605602509129,1824,14368
1605602509149,1856,14384
1605602509169,1856,14416
1605602509189,1856,14448
1605602509209,1856,14528
1605602509229,1856,14656
1605602509250,1872,14784
1605602509270,1872,14928
1605602509291,1872,15088
1605602509311,1872,15264
1605602509331,1856,15456
1605602509351,1872,15632
1605602509370,1872,15856
1605602509390,1856,16048
1605602509410,1872,16256
1605602509431,1872,16464
1605602509451,1872,16688
1605602509472,1872,16880
1605602509492,1872,17088
1605602509512,1872,17264
1605602509532,1856,17472
1605602509552,1856,17664
1605602509572,1872,17856
1605602509592,1856,18064
1605602509612,1872,18256
1605602509632,1872,18512
1605602509653,1872,18704
1605602509673,1872,18960
1605602509694,1872,19200
1605602509714,1856,19472
1605602509733,1856,19712
1605602509753,1872,19968
1605602509773,1872,20240
1605602509793,1856,20496
1605602509813,1872,20720
1605602509834,1872,21008
1605602509854,1872,21248
1605602509874,1872,21488
1605602509895,1872,21744
1605602509915,1872,22000
1605602509935,1856,22224
1605602509954,1856,22448
1605602509974,1872,22688
1605602509994,1856,22896
1605602510014,1872,23104
1605602510035,1872,23344
1605602510055,1872,23536
1605602510075,1872,23744
1605602510096,1872,23936
1605602510116,1872,24112
1605602510136,1856,24304
1605602510156,1856,24464
1605602510175,1872,24640
1605602510195,1856,24800
1605602510215,1856,24944
1605602510236,1872,25120
1605602510256,1872,25232
1605602510276,1872,25392
1605602510297,1872,25520
1605602510317,1872,25632
1605602510337,1856,25728
1605602510357,1872,25824
1605602510376,1872,25920
1605602510396,1856,26000
1605602510416,1872,26080
1605602510436,1872,26144
1605602510457,1872,26208
1605602510477,1872,26288
1605602510498,1872,26352
1605602510518,1872,26416
1605602510538,1856,26432
1605602510558,1872,26432
1605602510577,1872,26432
1605602510597,1856,26432
1605602510617,1872,26432
1605602510637,1872,26432
1605602510658,1872,26432
1605602510678,1872,26432
1605602510699,1872,26416
1605602510719,1856,26416
1605602510739,1856,26400
1605602510759,1872,26320
1605602510778,1872,26256
1605602510798,1856,26176
1605602510818,1872,26112
