Time,Left,Right
1604818020056,2032,24496
1604818020075,2032,24512
1604818020093,2016,24512
1604818020112,2016,24512
1604818020131,2016,24512
1604818020150,2016,24496
1604818020169,2016,24512
1604818020188,2016,24496
1604818020207,2032,24496
1604818020226,2032,24512
1604818020245,2016,24512
1604818020263,2032,24512
1604818020282,2016,24512
1604818020301,2016,24496
1604818020320,2016,24512
1604818020339,2016,24512
1604818020358,2032,24496
1604818020377,2032,24512
1604818020396,2016,24512
1604818020414,2032,24512
1604818020433,2016,24512
1604818020452,2016,24496
1604818020471,2016,24512
1604818020490,2016,24496
1604818020509,2016,24496
1604818020528,2032,24512
1604818020547,2016,24512
1604818020566,2032,24512
1604818020585,2016,24512
1604818020603,2016,24496
1604818020622,2016,24512
1604818020641,2016,24512
1604818020660,2016,24496
1604818020679,2016,24512
1604818020699,2016,24512
1604818020719,2032,24512
1604818020740,2032,24528
1604818020760,2032,24512
1604818020781,2032,24512
1604818020801,2016,24512
1604818020820,2032,24512
1604818020840,2032,24512
1604818020860,2032,24496
1604818020879,2032,24512
1604818020900,2016,24512
1604818020920,2032,24512
1604818020941,2032,24512
1604818020961,2032,24512
1604818020982,2032,24512
1604818021002,2016,24512
1604818021021,2032,24512
1604818021046,2000,24496
1604818021066,2000,24480
1604818021097,2000,24496
1604818021116,2000,24480
1604818021135,2000,24480
1604818021154,2016,24496
1604818021173,2016,24512
1604818021192,2016,24512
1604818021211,2032,24496
1604818021230,2016,24512
1604818021248,2000,24512
1604818021267,2016,24512
1604818021286,2016,24496
1604818021305,2016,24496
1604818021324,2016,24512
1604818021343,2016,24512
1604818021362,2032,24496
1604818021381,2016,24512
1604818021399,2000,24496
1604818021418,2016,24512
1604818021437,2016,24512
1604818021456,2016,24496
1604818021475,2016,24512
1604818021494,2016,24512
1604818021513,2032,24496
1604818021532,2032,24512
1604818021550,2000,24512
1604818021569,2016,24496
1604818021588,2016,24512
1604818021607,2016,24496
1604818021626,2016,24512
1604818021645,2016,24512
1604818021664,2032,24496
1604818021683,2032,24512
1604818021701,2000,24512
1604818021720,2016,24496
1604818021739,2016,24512
1604818021758,2016,24496
1604818021777,2016,24512
1604818021796,2016,24512
1604818021816,2032,24496
1604818021836,2032,24512
1604818021857,2016,24512
1604818021877,2032,24512
1604818021898,2032,24512
1604818021918,2032,24496
1604818021938,2032,24512
1604818021957,2016,24512
1604818021977,2032,24512
1604818022518,7136,23328
1604818022539,7088,24992
1604818022559,7024,25936
1604818022579,7024,26208
1604818022600,6464,26288
1604818022620,6112,25984
1604818022639,6112,25312
1604818022659,6112,24576
1604818022679,6272,23824
1604818022699,6608,23184
1604818022719,7024,22544
1604818022740,7504,21952
1604818022760,7984,21392
1604818022781,8448,20736
1604818022801,8992,20112
1604818022821,9536,19536
1604818022841,10064,19072
1604818022860,10544,18656
1604818022880,11088,18176
1604818022900,11696,17648
1604818022920,12240,17200
1604818022947,12992,16720
1604818022968,13680,15968
1604818022989,14288,15472
1604818023009,14992,14928
1604818023028,15568,14448
1604818023048,16160,13952
1604818023067,16720,13536
1604818023086,17312,13088
1604818023105,17904,12640
1604818023124,18464,12208
1604818023143,19024,11760
1604818023161,19568,11344
1604818023180,20128,10832
1604818023199,20672,10400
1604818023218,21184,9872
1604818023237,21664,9408
1604818023256,22240,8912
1604818023274,22832,8416
1604818023293,23392,7936
1604818023312,23696,7408
1604818023331,23952,6752
1604818023350,25296,6128
1604818023369,25248,5376
1604818023388,24704,5440
1604818023407,25152,5024
1604818023425,23728,3344
1604818023444,24960,3440
1604818023463,24752,3152
1604818023482,24784,2624
1604818023501,24800,2496
1604818023520,24768,2288
1604818023539,24688,2192
1604818023557,24688,2032
1604818023576,24688,2016
1604818023595,24688,2032
1604818023614,24672,2032
1604818023633,24688,2032
1604818023652,24688,2032
1604818023671,24688,2016
1604818023690,24688,2032
1604818023709,24688,2032
1604818023728,24704,2016
1604818023748,24704,2032
1604818023768,24688,2032
1604818023788,24704,2032
1604818023808,24704,2032
1604818023828,24704,2032
1604818023849,24704,2032
1604818023869,24688,2032
1604818023889,24704,2032
1604818023910,24704,2032
1604818023930,24704,2016
1604818023949,24704,2032
1604818023969,24688,2032
1604818023989,24704,2032
1604818024009,24704,2032
1604818024028,24704,2016
1604818024048,24704,2032
1604818024068,24688,2032
1604818024088,24704,2032
1604818024107,24704,2032
1604818024128,24704,2016
1604818024148,24704,2032
1604818024169,24688,2032
1604818024189,24704,2032
1604818024210,24704,2032
1604818024229,24704,2016
1604818024249,24704,2032
1604818024269,24688,2032
1604818024289,24704,2032
1604818024309,24688,2032
1604818024329,24704,2016
1604818024350,24704,2032
1604818024370,24688,2032
1604818024391,24704,2032
1604818024411,24704,2048
1604818024431,24704,2016
1604818024451,24720,2048
1604818024471,24704,2048
1604818024510,24992,7072
1604818024530,25872,7040
1604818024551,26048,6976
1604818024571,26112,6768
1604818024592,25904,6128
1604818024612,25072,5696
1604818024632,24304,5648
1604818024652,23440,5712
1604818024671,22672,5920
1604818024691,22064,6256
1604818024711,21408,6688
1604818024731,20848,7088
1604818024752,20208,7584
1604818024773,19520,8128
1604818024793,18960,8624
1604818024814,18400,9120
1604818024833,17808,9632
1604818024853,17200,10096
1604818024873,16592,10608
1604818024893,15968,11104
1604818024912,15392,11600
1604818024933,14736,12016
1604818024953,14064,12480
1604818024973,13408,12960
1604818024994,12784,13504
1604818025014,12176,13968
1604818025034,11584,14448
1604818025054,11008,14944
1604818025074,10416,15376
1604818025093,9840,15904
1604818025113,9312,16400
1604818025133,8736,16880
1604818025154,8192,17376
1604818025174,7600,17856
1604818025195,7056,18400
1604818025215,6480,18848
1604818025235,5904,19312
1604818025255,5344,19840
1604818025274,4352,20320
1604818025294,4160,20624
1604818025314,4448,20464
1604818025334,4496,21888
1604818025355,2688,22352
1604818025375,2848,22912
1604818025395,2512,23264
1604818025416,2224,23472
1604818025436,2112,23456
1604818025456,2656,23888
1604818025475,2688,23328
1604818025495,3344,24784
1604818025515,2208,24640
1604818025535,2080,24496
1604818025555,2080,24544
1604818025576,2064,24560
1604818025596,2080,24560
1604818025617,2080,24560
1604818025637,2064,24544
1604818025656,2064,24560
1604818025676,2048,24560
1604818025696,2064,24560
1604818025716,2064,24560
1604818025736,2080,24544
1604818025757,2080,24560
1604818025777,2064,24560
1604818025798,2080,24560
1604818025818,2080,24560
1604818025838,2064,24544
1604818025858,2064,24544
1604818025878,2048,24560
1604818025898,2064,24560
1604818025918,2064,24560
1604818025938,2080,24544
1604818025958,2080,24560
1604818025979,2064,24560
1604818025999,2080,24560
1604818026020,2080,24560
1604818026039,2064,24544
1604818026059,2064,24560
1604818026079,2048,24560
1604818026099,2064,24560
1604818026119,2064,24560
1604818026139,2080,24544
1604818026160,2080,24560
1604818026180,2064,24560
1604818026201,2080,24560
1604818026221,2064,24560
1604818026241,2064,24544
1604818026260,2064,24560
1604818026280,2048,24560
1604818026300,2064,24560
1604818026320,2064,24560
1604818026340,2080,24544
1604818026361,2080,24560
1604818026381,2064,24560
1604818026402,2080,24560
1604818026422,2064,24560
1604818026442,2064,24544
1604818026461,2048,24544
1604818026481,2032,24544
1604818026501,2048,24544
1604818027042,7152,23984
1604818027062,7136,25264
1604818027082,7120,26096
1604818027103,6928,26256
1604818027123,6384,26288
1604818027143,6064,25872
1604818027163,6064,25120
1604818027183,6192,24400
1604818027202,6320,23696
1604818027222,6736,23024
1604818027242,7168,22432
1604818027263,7600,21824
1604818027283,8096,21232
1604818027304,8592,20608
1604818027324,9120,19952
1604818027344,9648,19408
1604818027364,10192,18992
1604818027383,10704,18512
1604818027403,11264,18080
1604818027423,11808,17552
1604818027443,12432,17088
1604818027463,13056,16608
1604818027484,13648,16048
1604818027504,14288,15536
1604818027525,14976,15056
1604818027545,15584,14496
1604818027565,16240,14016
1604818027585,16864,13552
1604818027604,17456,13072
1604818027624,18048,12672
1604818027644,18640,12176
1604818027665,19200,11696
1604818027685,19824,11264
1604818027706,20448,10704
1604818027726,21008,10208
1604818027746,21616,9696
1604818027766,22128,9184
1604818027785,22736,8624
1604818027805,23360,8112
1604818027825,23584,7568
1604818027845,23968,6848
1604818027866,23232,6048
1604818027886,22976,6704
1604818027907,25232,5872
1604818027928,25056,4448
1604818027947,24080,3280
1604818027967,25344,2944
1604818027987,25360,3232
1604818028007,25168,2768
1604818028027,25280,2608
1604818028047,25200,2400
1604818028068,25040,2192
1604818028088,24720,2160
1604818028109,24672,2064
1604818028129,24656,2064
1604818028149,24640,2032
1604818028169,24656,2048
1604818028188,24640,2048
1604818028208,24656,2032
1604818028228,24656,2048
1604818028249,24656,2048
1604818028269,24656,2048
1604818028290,24656,2048
1604818028310,24656,2048
1604818028330,24656,2048
1604818028350,24640,2032
1604818028370,24656,2048
1604818028390,24640,2048
1604818028409,24656,2032
1604818028429,24656,2048
1604818028450,24656,2048
1604818028474,24640,2048
1604818028495,24624,2032
1604818028516,24640,2032
1604818028536,24624,2032
1604818028555,24624,2000
1604818028574,24624,2016
1604818028593,24608,2016
1604818028612,24624,2016
1604818028631,24656,2016
1604818028650,24640,2032
1604818028669,24656,2048
1604818028688,24656,2048
1604818028707,24656,2032
1604818028726,24640,2048
1604818028744,24624,2048
1604818028763,24640,2048
1604818028782,24640,2048
1604818028801,24640,2032
1604818028820,24656,2048
1604818028839,24656,2048
1604818028858,24656,2032
1604818028877,24640,2048
1604818028895,24624,2048
1604818028914,24640,2032
1604818028933,24640,2048
1604818028952,24640,2032
1604818028971,24656,2048
1604818028990,24656,2048
1604818029009,24640,2032
1604818029046,24864,7136
1604818029065,25584,7104
1604818029084,25904,7024
1604818029103,25952,6896
1604818029122,25968,6320
1604818029140,25424,5824
1604818029159,24688,5632
1604818029178,23808,5728
1604818029197,23088,5728
1604818029216,22416,5984
1604818029235,21824,6352
1604818029254,21248,6752
1604818029274,20624,7248
1604818029294,20016,7664
1604818029313,19376,8144
1604818029333,18880,8656
1604818029354,18304,9168
1604818029374,17712,9648
1604818029395,17072,10176
1604818029415,16432,10640
1604818029435,15840,11152
1604818029455,15184,11648
1604818029475,14544,12160
1604818029495,13936,12560
1604818029514,13264,13024
1604818029534,12672,13536
1604818029554,12064,13968
1604818029575,11488,14496
1604818029595,10896,14992
1604818029616,10368,15536
1604818029636,9712,16032
1604818029656,9120,16496
1604818029676,8576,17008
1604818029696,8016,17536
1604818029716,7472,17952
1604818029735,6928,18432
1604818029756,6304,18912
1604818029776,5744,19424
1604818029797,5104,19936
1604818029817,4128,20304
1604818029838,3280,20784
1604818029857,3680,21632
1604818029877,2992,22560
1604818029897,3104,22400
1604818029917,2688,23008
1604818029937,2416,23312
1604818029957,2160,23392
1604818029978,2064,23552
1604818029998,2384,23344
1604818030019,4640,24256
1604818030039,4272,24720
1604818030059,2160,24720
1604818030079,2064,24624
1604818030099,2064,24560
1604818030118,2064,24544
1604818030138,2064,24560
1604818030159,2048,24560
1604818030179,2064,24560
1604818030200,2064,24560
1604818030220,2064,24560
1604818030240,2064,24560
1604818030260,2048,24544
1604818030280,2064,24560
1604818030300,2064,24560
1604818030319,2064,24544
1604818030339,2064,24560
1604818030360,2048,24560
1604818030380,2064,24560
1604818030401,2064,24560
1604818030421,2064,24560
1604818030441,2064,24560
1604818030461,2048,24544
1604818030481,2064,24560
1604818030501,2064,24560
1604818030520,2064,24544
1604818030540,2064,24560
1604818030561,2048,24560
1604818030581,2064,24560
1604818030602,2064,24560
1604818030622,2064,24560
1604818030642,2064,24560
1604818030662,2048,24560
1604818030682,2064,24560
1604818030701,2064,24560
1604818030721,2064,24544
1604818030741,2064,24560
1604818030762,2048,24560
1604818030782,2064,24560
1604818030803,2064,24560
1604818030823,2064,24560
1604818030843,2064,24560
1604818030863,2048,24560
1604818030883,2064,24560
1604818030903,2064,24560
1604818030923,2064,24544
1604818030943,2064,24560
1604818030963,2048,24560
1604818030983,2064,24560
1604818031004,2064,24560
1604818031024,2064,24560
1604818031567,7152,24096
1604818031587,7104,25552
1604818031607,7056,26160
1604818031627,6848,26320
1604818031647,6320,26288
1604818031666,6096,25840
1604818031685,6096,25104
1604818031704,6240,24368
1604818031723,6448,23744
1604818031742,6800,23152
1604818031761,7136,22528
1604818031780,7568,21936
1604818031799,7984,21376
1604818031818,8400,20736
1604818031836,8912,20224
1604818031855,9424,19664
1604818031874,9920,19184
1604818031893,10432,18752
1604818031912,10976,18320
1604818031931,11504,17872
1604818031949,12032,17440
1604818031968,12560,16976
1604818031987,13168,16496
1604818032006,13744,16000
1604818032025,14352,15504
1604818032044,14976,15040
1604818032063,15536,14560
1604818032082,16144,14144
1604818032100,16720,13648
1604818032119,17296,13232
1604818032138,17904,12800
1604818032157,18448,12368
1604818032176,19024,11936
1604818032195,19600,11536
1604818032214,20096,11056
1604818032233,20688,10560
1604818032252,21216,10080
1604818032271,21728,9600
1604818032289,22304,9136
1604818032308,22864,8592
1604818032327,23472,8096
1604818032346,23616,7568
1604818032366,24016,6880
1604818032385,24240,6352
1604818032405,25728,6384
1604818032425,25184,6560
1604818032445,25104,4816
1604818032465,25392,3584
1604818032485,24944,3344
1604818032506,24944,3136
1604818032526,24848,2656
1604818032547,24944,2576
1604818032567,24928,2288
1604818032586,24832,2064
1604818032606,24832,2048
1604818032626,24832,2032
1604818032646,24832,2048
1604818032666,24832,2048
1604818032686,24848,2048
1604818032707,24848,2048
1604818032727,24832,2048
1604818032748,24848,2048
1604818032768,24816,2048
1604818032788,24832,2032
1604818032808,24832,2048
1604818032828,24832,2032
1604818032848,24832,2048
1604818032868,24832,2048
1604818032888,24848,2048
1604818032909,24848,2048
1604818032929,24832,2048
1604818032950,24832,2048
1604818032969,24832,2048
1604818032989,24832,2032
1604818033009,24832,2048
1604818033029,24832,2032
1604818033049,24832,2048
1604818033069,24832,2048
1604818033090,24848,2048
1604818033110,24848,2048
1604818033131,24832,2048
1604818033151,24832,2048
1604818033171,24816,2048
1604818033191,24832,2032
1604818033210,24832,2048
1604818033230,24832,2032
1604818033250,24832,2048
1604818033271,24832,2048
1604818033291,24848,2048
1604818033311,24848,2048
1604818033332,24832,2048
1604818033352,24832,2048
1604818033372,24816,2048
1604818033392,24832,2032
1604818033412,24832,2048
1604818033432,24832,2032
1604818033451,24832,2048
1604818033472,24832,2048
1604818033492,24848,2048
1604818033513,24848,2048
1604818033553,25328,7216
1604818033573,25888,7184
1604818033593,26128,7056
1604818033612,26256,6848
1604818033632,25920,6176
1604818033652,25232,5792
1604818033672,24352,5680
1604818033693,23520,5696
1604818033713,22784,6000
