Time,Left,Right
1605505137157,2192,24560
1605505137178,2192,24560
1605505137198,2192,24544
1605505137218,2192,24560
1605505137238,2192,24544
1605505137258,2192,24544
1605505137278,2192,24544
1605505137298,2192,24544
1605505137318,2192,24544
1605505137338,2192,24560
1605505137359,2192,24544
1605505137379,2192,24560
1605505137400,2192,24544
1605505137420,2192,24560
1605505137440,2192,24544
1605505137460,2192,24544
1605505137479,2192,24544
1605505137499,2192,24544
1605505137519,2192,24544
1605505137540,2192,24560
1605505137561,2192,24544
1605505137581,2192,24560
1605505137602,2192,24560
1605505137622,2192,24560
1605505137644,2176,24544
1605505137664,2176,24528
1605505137684,2176,24544
1605505137704,2176,24528
1605505137724,2176,24544
1605505137743,2176,24528
1605505137762,2176,24528
1605505137781,2176,24528
1605505137800,2176,24528
1605505137819,2192,24544
1605505137838,2192,24544
1605505137857,2192,24544
1605505137876,2192,24544
1605505137895,2192,24544
1605505137914,2192,24544
1605505137933,2192,24544
1605505137951,2176,24544
1605505137970,2192,24544
1605505137989,2192,24544
1605505138008,2176,24544
1605505138027,2192,24544
1605505138046,2192,24544
1605505138065,2192,24544
1605505138084,2192,24544
1605505138103,2176,24544
1605505138121,2192,24544
1605505138140,2192,24544
1605505138159,2176,24544
1605505138178,2192,24544
1605505138197,2192,24544
1605505138216,2192,24544
1605505138235,2192,24544
1605505138254,2176,24544
1605505138273,2192,24544
1605505138292,2192,24544
1605505138310,2176,24544
1605505138329,2192,24544
1605505138348,2192,24544
1605505138367,2176,24544
1605505138386,2192,24544
1605505138405,2176,24544
1605505138424,2192,24544
1605505138443,2192,24544
1605505138463,2176,24544
1605505138483,2192,24544
1605505138503,2192,24544
1605505138522,2192,24544
1605505138543,2192,24544
1605505138564,2192,24560
1605505138584,2192,24560
1605505138604,2192,24560
1605505138625,2192,24544
1605505138645,2192,24544
1605505138665,2176,24544
1605505138685,2192,24544
1605505138705,2192,24544
1605505138724,2192,24544
1605505138744,2192,24560
1605505138764,2176,24544
1605505138784,2192,24544
1605505138804,2192,24544
1605505138823,2192,24544
1605505138844,2192,24544
1605505138864,2176,24560
1605505138885,2192,24560
1605505138905,2192,24560
1605505138926,2192,24544
1605505138946,2192,24544
1605505138966,2176,24544
1605505138985,2192,24544
1605505139005,2192,24544
1605505139025,2176,24544
1605505139045,2192,24544
1605505139066,2176,24560
1605505139086,2192,24560
1605505139107,2192,24560
1605505139147,5200,23520
1605505139167,4352,25568
1605505139187,3776,26928
1605505139207,3408,27056
1605505139226,3152,26384
1605505139246,2960,25504
1605505139267,2880,24720
1605505139287,2816,24128
1605505139308,2784,23504
1605505139328,2752,22928
1605505139349,2736,22320
1605505139368,2720,21696
1605505139388,2704,21088
1605505139408,2688,20528
1605505139428,2672,20032
1605505139448,2688,19536
1605505139468,2672,19024
1605505139489,2688,18576
1605505139509,2688,18112
1605505139530,2672,17632
1605505139550,2672,17168
1605505139570,2688,16672
1605505139590,2688,16144
1605505139609,2688,15696
1605505139629,2672,15184
1605505139649,2688,14688
1605505139670,2672,14192
1605505139691,2688,13728
1605505139711,2704,13280
1605505139732,2672,12800
1605505139752,2688,12352
1605505139772,2688,11872
1605505139792,2688,11408
1605505139811,2688,10896
1605505139831,2688,10400
1605505139851,2688,9872
1605505139871,2704,9360
1605505139891,2704,8864
1605505139911,2688,8368
1605505139930,2688,7840
1605505139951,2704,7280
1605505139971,2704,6752
1605505139992,2704,6192
1605505140012,2704,5680
1605505140033,2304,5040
1605505140053,2208,3568
1605505140073,2256,3408
1605505140093,2400,3104
1605505140113,2288,2640
1605505140132,2304,2464
1605505140152,2272,2448
1605505140173,2192,2352
1605505140193,2192,2112
1605505140214,2192,2112
1605505140234,2176,2112
1605505140254,2192,2112
1605505140274,2176,2112
1605505140294,2176,2096
1605505140314,2176,2112
1605505140334,2176,2112
1605505140354,2176,2112
1605505140374,2192,2112
1605505140394,2192,2096
1605505140415,2192,2112
1605505140435,2176,2112
1605505140456,2176,2112
1605505140475,2176,2096
1605505140495,2176,2096
1605505140515,2176,2112
1605505140535,2176,2096
1605505140555,2176,2096
1605505140575,2192,2112
1605505140596,2192,2096
1605505140616,2192,2112
1605505140637,2176,2112
1605505140657,2176,2112
1605505140677,2176,2112
1605505140697,2176,2096
1605505140716,2176,2096
1605505140736,2176,2112
1605505140756,2176,2096
1605505140777,2192,2112
1605505140797,2192,2096
1605505140818,2192,2112
1605505140838,2176,2112
1605505140858,2176,2112
1605505140878,2176,2096
1605505140898,2176,2096
1605505140918,2176,2096
1605505140937,2176,2096
1605505140957,2176,2096
1605505140978,2192,2112
1605505140998,2176,2096
1605505141019,2192,2112
1605505141039,2176,2112
1605505141060,2176,2112
1605505141080,2192,2096
1605505141099,2176,2096
1605505141123,2176,2112
1605505141143,2160,2096
1605505141183,4448,6640
1605505141203,4368,7104
1605505141223,3904,6672
1605505141243,3456,5872
1605505141263,3120,5360
1605505141282,2944,5248
1605505141301,2848,5360
1605505141320,2816,5584
1605505141339,2768,5968
1605505141358,2768,6320
1605505141377,2768,6800
1605505141395,2752,7280
1605505141414,2752,7744
1605505141433,2752,8224
1605505141452,2736,8688
1605505141471,2736,9152
1605505141490,2720,9616
1605505141509,2720,10064
1605505141528,2704,10560
1605505141547,2672,11024
1605505141565,2704,11504
1605505141584,2592,11904
1605505141603,2672,12352
1605505141622,2672,12816
1605505141641,2672,13280
1605505141660,2672,13728
1605505141679,2672,14208
1605505141698,2656,14656
1605505141716,2640,15104
1605505141736,2640,15584
1605505141755,2640,16064
1605505141773,2640,16528
1605505141792,2656,17008
1605505141811,2656,17440
1605505141830,2656,17872
1605505141849,2656,18384
1605505141868,2656,18784
1605505141887,2672,19280
1605505141906,2656,19712
1605505141925,2672,20144
1605505141944,2656,20656
1605505141963,2656,21104
1605505141983,2656,21664
1605505142002,2656,22144
1605505142022,2672,22624
1605505142042,2672,23168
1605505142062,2576,23648
1605505142082,2272,23472
1605505142103,2160,23648
1605505142124,2672,23136
1605505142144,4720,24400
1605505142164,2512,25008
1605505142184,2416,24880
1605505142204,2192,24672
1605505142224,2192,24560
1605505142244,2192,24560
1605505142263,2192,24560
1605505142284,2192,24560
1605505142304,2192,24560
1605505142325,2192,24560
1605505142345,2192,24560
1605505142366,2192,24560
1605505142386,2192,24560
1605505142405,2192,24560
1605505142425,2192,24560
1605505142445,2192,24560
1605505142465,2192,24560
1605505142485,2192,24560
1605505142505,2192,24560
1605505142526,2192,24560
1605505142546,2192,24560
1605505142567,2192,24560
1605505142587,2192,24560
1605505142606,2192,24560
1605505142626,2192,24560
1605505142646,2192,24560
1605505142666,2192,24560
1605505142686,2192,24560
1605505142706,2192,24560
1605505142727,2192,24560
1605505142747,2192,24560
1605505142768,2192,24560
1605505142788,2192,24560
1605505142807,2192,24560
1605505142827,2192,24560
1605505142847,2192,24560
1605505142867,2192,24560
1605505142887,2192,24560
1605505142908,2192,24560
1605505142928,2192,24560
1605505142948,2192,24560
1605505142970,2192,24560
1605505142990,2192,24560
1605505143010,2192,24560
1605505143029,2192,24560
1605505143049,2192,24560
1605505143069,2192,24560
1605505143089,2192,24560
1605505143110,2192,24560
1605505143130,2192,24560
1605505143172,5680,24272
1605505143191,4656,26592
1605505143211,3984,27552
1605505143231,3552,27200
1605505143251,3280,26288
1605505143271,3104,25376
1605505143291,3008,24624
1605505143312,2912,24000
1605505143332,2864,23360
1605505143353,2848,22720
1605505143373,2816,22096
1605505143393,2800,21472
1605505143412,2800,20912
1605505143432,2800,20352
1605505143452,2784,19840
1605505143472,2784,19376
1605505143492,2784,18848
1605505143513,2784,18400
1605505143533,2784,17936
1605505143554,2784,17472
1605505143574,2800,16976
1605505143594,2800,16512
1605505143614,2784,15936
1605505143633,2800,15440
1605505143653,2784,15008
1605505143678,2800,14496
1605505143697,2800,13904
1605505143717,2800,13488
1605505143738,2784,13008
1605505143758,2784,12576
1605505143778,2784,12080
1605505143798,2768,11584
1605505143817,2784,11120
1605505143836,2784,10592
1605505143855,2800,10128
1605505143874,2800,9632
