Time,Left,Right
1604818154720,2064,24576
1604818154739,2048,24576
1604818154758,2064,24576
1604818154777,2064,24592
1604818154796,2048,24560
1604818154815,2048,24576
1604818154834,2048,24576
1604818154853,2048,24576
1604818154871,2048,24576
1604818154890,2048,24576
1604818154909,2048,24576
1604818154928,2064,24576
1604818154947,2048,24560
1604818154966,2048,24576
1604818154985,2048,24576
1604818155004,2048,24576
1604818155023,2048,24576
1604818155041,2048,24576
1604818155060,2064,24592
1604818155079,2064,24592
1604818155098,2048,24560
1604818155117,2048,24576
1604818155136,2048,24576
1604818155155,2048,24576
1604818155174,2048,24576
1604818155193,2048,24576
1604818155212,2064,24592
1604818155231,2048,24592
1604818155249,2048,24576
1604818155268,2048,24576
1604818155287,2048,24576
1604818155306,2048,24576
1604818155326,2064,24576
1604818155346,2048,24576
1604818155365,2064,24592
1604818155385,2048,24592
1604818155405,2064,24576
1604818155425,2064,24592
1604818155445,2064,24592
1604818155466,2064,24592
1604818155486,2048,24592
1604818155507,2064,24592
1604818155527,2064,24576
1604818155546,2048,24576
1604818155566,2064,24592
1604818155586,2048,24592
1604818155606,2064,24576
1604818155626,2064,24592
1604818155647,2064,24592
1604818155668,2064,24592
1604818155688,2048,24592
1604818155709,2064,24592
1604818155729,2064,24592
1604818155749,2048,24576
1604818155768,2064,24592
1604818155788,2048,24592
1604818155808,2064,24576
1604818155829,2064,24592
1604818155849,2064,24592
1604818155869,2064,24592
1604818155890,2048,24592
1604818155910,2064,24592
1604818155930,2064,24592
1604818155950,2048,24576
1604818155969,2064,24592
1604818155989,2048,24592
1604818156009,2064,24576
1604818156029,2064,24592
1604818156050,2064,24592
1604818156070,2064,24592
1604818156091,2048,24592
1604818156111,2064,24592
1604818156131,2064,24592
1604818156151,2048,24576
1604818156170,2064,24592
1604818156190,2048,24592
1604818156210,2064,24576
1604818156231,2064,24592
1604818156251,2064,24592
1604818156272,2064,24592
1604818156292,2064,24592
1604818156312,2064,24592
1604818156332,2064,24592
1604818156352,2048,24576
1604818156371,2064,24592
1604818156391,2048,24592
1604818156411,2064,24576
1604818156432,2064,24592
1604818156452,2064,24592
1604818156473,2064,24592
1604818156493,2048,24592
1604818156513,2064,24592
1604818156533,2064,24592
1604818156553,2048,24576
1604818156573,2064,24592
1604818156592,2048,24592
1604818156612,2064,24576
1604818156633,2064,24592
1604818156653,2064,24592
1604818156674,2064,24592
1604818156714,5808,23472
1604818156734,4544,25696
1604818156753,3696,26848
1604818156773,3264,26864
1604818156793,2928,25888
1604818156813,2768,25040
1604818156833,2672,24320
1604818156854,2592,23664
1604818156874,2560,23056
1604818156895,2528,22480
1604818156915,2480,21888
1604818156935,2496,21328
1604818156954,2480,20720
1604818156974,2480,20144
1604818156994,2480,19616
1604818157014,2464,19088
1604818157034,2464,18608
1604818157055,2464,18176
1604818157075,2464,17648
1604818157096,2464,17136
1604818157116,2464,16624
1604818157136,2448,16128
1604818157155,2448,15616
1604818157175,2464,15120
1604818157195,2464,14592
1604818157215,2464,14128
1604818157235,2464,13616
1604818157256,2464,13152
1604818157276,2480,12704
1604818157297,2480,12192
1604818157317,2480,11728
1604818157337,2480,11264
1604818157356,2480,10800
1604818157376,2496,10256
1604818157396,2496,9760
1604818157416,2480,9200
1604818157436,2496,8720
1604818157457,2496,8176
1604818157477,2512,7616
1604818157498,2496,7008
1604818157519,2496,6432
1604818157538,2480,5840
1604818157558,2480,5360
1604818157578,2176,4704
1604818157598,2256,3552
1604818157618,2208,3184
1604818157638,2288,2816
1604818157659,2192,2576
1604818157679,2192,2464
1604818157700,2160,2352
1604818157720,2064,2272
1604818157739,2064,2048
1604818157759,2048,2048
1604818157779,2080,2048
1604818157799,2064,2064
1604818157819,2080,2048
1604818157839,2080,2064
1604818157860,2064,2064
1604818157880,2080,2064
1604818157901,2080,2064
1604818157921,2080,2064
1604818157940,2064,2048
1604818157960,2064,2064
1604818157980,2080,2064
1604818158000,2080,2064
1604818158020,2080,2048
1604818158040,2080,2064
1604818158061,2064,2064
1604818158081,2080,2064
1604818158102,2080,2064
1604818158122,2080,2064
1604818158141,2080,2064
1604818158161,2064,2064
1604818158181,2080,2064
1604818158201,2064,2064
1604818158221,2080,2048
1604818158241,2080,2064
1604818158262,2064,2064
1604818158282,2080,2064
1604818158302,2080,2064
1604818158323,2080,2064
1604818158342,2080,2064
1604818158362,2064,2064
1604818158382,2080,2064
1604818158402,2080,2064
1604818158422,2064,2048
1604818158442,2080,2064
1604818158463,2064,2064
1604818158483,2080,2064
1604818158504,2064,2064
1604818158524,2080,2064
1604818158544,2064,2064
1604818158564,2064,2048
1604818158583,2080,2064
1604818158603,2080,2064
1604818158623,2080,2048
1604818158643,2080,2064
1604818158664,2064,2064
1604818158684,2080,2064
1604818158705,2080,2064
1604818158745,4800,7120
1604818158764,4448,6928
1604818158784,3680,6032
1604818158804,3168,5264
1604818158824,2912,4864
1604818158844,2768,5072
