Time,Left,Right
1605603043704,2048,17248
1605603043725,2048,17024
1605603043745,2208,17504
1605603043766,2288,17792
1605603043786,2560,18784
1605603043806,2160,18240
1605603043826,2176,17104
1605603043845,2112,17104
1605603043865,2208,16992
1605603043885,2144,17472
1605603043905,2160,16656
1605603043926,2192,16624
1605603043946,2144,16384
1605603043967,2144,16432
1605603043987,2112,16064
1605603044007,2144,16064
1605603044027,2144,15952
1605603044046,2128,15824
1605603044066,2144,15648
1605603044086,2144,15648
1605603044106,2144,15424
1605603044127,2144,15248
1605603044147,2160,15328
1605603044168,2160,15104
1605603044188,2128,15008
1605603044208,2144,14816
1605603044227,2144,14720
1605603044247,2144,14512
1605603044267,2192,14416
1605603044287,2112,14224
1605603044307,2144,14144
1605603044328,2144,14192
1605603044348,2128,13824
1605603044369,2192,13888
1605603044389,2144,13504
1605603044409,2160,13552
1605603044429,2160,13488
1605603044448,2128,13200
1605603044468,2112,13200
1605603044488,2144,13072
1605603044509,2160,12848
1605603044529,2128,12640
1605603044550,2160,12560
1605603044570,2128,12896
1605603044590,2144,12304
1605603044610,2144,12240
1605603044630,2160,12096
1605603044650,2080,11904
1605603044670,2176,11776
1605603044689,2128,12208
1605603044710,2176,11632
1605603044731,2160,11456
1605603044751,2208,11280
1605603044772,2176,11328
1605603044792,2128,11040
1605603044812,2160,10832
1605603044832,2288,11136
1605603044852,2128,10592
1605603044872,2176,10512
1605603044891,2144,10416
1605603044911,2144,10288
1605603044931,2128,10144
1605603044951,2144,10080
1605603044971,2144,9776
1605603044991,2160,9824
1605603045011,2160,9600
1605603045032,2176,9424
1605603045052,2240,9728
1605603045073,2176,9344
1605603045093,2144,9216
1605603045113,2176,8992
1605603045132,2224,9040
1605603045152,2160,8816
1605603045172,2112,8608
1605603045192,2160,8464
1605603045213,2208,8304
1605603045233,2160,8400
1605603045254,2224,8160
1605603045274,2160,7984
1605603045294,2224,7776
1605603045334,2192,7472
1605603045353,2128,7488
1605603045373,2176,7216
1605603045394,2336,8176
1605603045414,2720,7872
1605603045435,2800,8976
1605603045456,2336,9056
1605603045477,2080,7472
1605603045496,2080,7696
1605603045516,2080,7760
1605603045535,2080,8016
1605603045554,2112,8128
1605603045573,2096,8192
1605603045592,2096,8448
1605603045611,2144,8608
1605603045630,2144,8752
1605603045649,2112,8912
1605603045668,2112,9200
1605603045687,2128,9072
1605603045706,2160,9328
1605603045725,2144,9296
1605603045743,2112,9568
1605603045762,2320,10240
1605603045781,2128,9856
1605603045800,2192,10160
1605603045819,2128,9968
1605603045838,2176,10128
1605603045857,2128,10224
1605603045876,2192,10400
1605603045895,2112,10448
1605603045914,2128,10544
1605603045932,2192,10736
1605603045951,2176,10960
1605603045970,2096,10960
1605603045989,2096,11136
1605603046008,2128,11232
1605603046027,2128,11360
1605603046046,2160,11632
1605603046065,2128,11712
1605603046084,2128,11760
1605603046103,2128,11792
1605603046121,2208,12384
1605603046141,2176,12496
1605603046160,2256,12352
1605603046179,2176,12304
1605603046198,2208,12384
1605603046218,2144,12576
1605603046238,2128,12656
1605603046258,2160,12864
1605603046277,2144,12944
1605603046297,2112,13136
1605603046318,2144,13360
1605603046338,2144,13264
1605603046359,2144,13456
1605603046379,2272,13984
1605603046399,2304,13760
1605603046419,2176,13952
1605603046439,2160,13984
1605603046459,2192,14208
1605603046478,2176,14288
1605603046498,2144,14528
1605603046519,2144,14528
1605603046539,2160,14624
1605603046560,2176,14800
1605603046580,2160,14944
1605603046601,2112,15120
1605603046621,2144,15280
1605603046641,2224,15264
1605603046661,2128,15808
1605603046680,2128,15600
1605603046700,2128,15696
1605603046720,2112,15776
1605603046740,2224,15968
1605603046760,2128,16016
1605603046779,2144,16208
1605603046799,2144,16224
1605603046820,2224,16624
1605603046840,2208,16624
1605603046861,2160,16800
1605603046881,2240,17040
1605603046921,2096,16928
1605603046941,2096,17344
1605603046961,2176,17440
1605603046981,2384,17472
1605603047001,2656,17888
1605603047021,2672,17984
1605603047042,2688,18384
1605603047062,2096,17184
1605603047083,2128,16720
1605603047103,2096,16608
1605603047123,2096,16304
1605603047143,2128,16320
1605603047162,2112,16736
1605603047182,2128,16032
1605603047202,2128,16000
1605603047223,2112,15824
1605603047243,2160,15792
1605603047264,2160,15680
1605603047284,2144,15536
1605603047304,2144,15312
1605603047324,2112,15184
