Time,Command_0,Command 1,Pitch,Pitch_Rate
11,90,75,-5,-0.00666667
24,90,75,-5,-0.00777778
35,90,75,-5,-0.00888889
47,90,75,-5,-0.00777778
58,90,75,-5,-0.01
69,90,75,-5,-0.01
78,90,75,-5,-0.0155556
86,90,75,-5,-0.0288889
95,90,75,-5,-0.0288889
106,90,75,-5,-0.0766667
116,90.25,74.75,-4.875,-0.156667
126,90.5,74.5,-4.75,-0.275556
135,91,74,-4.5,-0.438889
143,91.625,73.375,-4.1875,-0.538889
154,92.25,72.75,-3.875,-0.574444
165,92.875,72.125,-3.5625,-0.63
176,93.625,71.375,-3.1875,-0.707778
185,94.5,70.5,-2.75,-0.785556
194,95.625,69.375,-2.1875,-1.02667
205,96.875,68.125,-1.5625,-1.13222
216,97.75,67.25,-1.125,-0.814444
227,98.5,66.5,-0.75,-0.794444
235,99.75,65.25,-0.125,-1.06778
244,100.25,64.75,0.125,-0.546667
256,100.25,64.75,0.125,-0.0911111
266,100.5,64.5,0.25,-0.14
277,100.625,64.375,0.3125,-0.183333
285,100.875,64.125,0.4375,-0.154444
294,101.125,63.875,0.5625,-0.218889
304,101.375,63.625,0.6875,-0.261111
315,101.625,63.375,0.8125,-0.234444
327,101.875,63.125,0.9375,-0.174444
335,102,63,1,-0.153333
344,102.125,62.875,1.0625,-0.138889
354,102.25,62.75,1.125,-0.118889
365,102.375,62.625,1.1875,-0.111111
376,102.5,62.5,1.25,-0.0888889
385,102.5,62.5,1.25,-0.00222222
393,102.375,62.625,1.1875,0.0555556
403,102.375,62.625,1.1875,0.0333333
414,102.375,62.625,1.1875,-0.0144444
425,102.375,62.625,1.1875,0.00555556
433,102.375,62.625,1.1875,0.0166667
442,102.375,62.625,1.1875,0.00666667
450,102.25,62.75,1.125,-0.01
459,102.25,62.75,1.125,-0.0288889
468,102.125,62.875,1.0625,-0.0544444
479,102,63,1,-0.0544444
487,102,63,1,-0.0988889
496,102.125,62.875,1.0625,-0.137778
507,102.25,62.75,1.125,-0.166667
518,102.5,62.5,1.25,-0.154444
528,102.625,62.375,1.3125,-0.123333
537,102.625,62.375,1.3125,-0.09
545,102.75,62.25,1.375,-0.0811111
556,102.875,62.125,1.4375,-0.0911111
566,103,62,1.5,-0.0866667
578,103,62,1.5,-0.0733333
587,103.125,61.875,1.5625,-0.0666667
595,103.125,61.875,1.5625,-0.0633333
605,103.25,61.75,1.625,-0.0566667
616,103.25,61.75,1.625,-0.0588889
627,103.375,61.625,1.6875,-0.0622222
636,103.375,61.625,1.6875,-0.0711111
644,103.5,61.5,1.75,-0.07
653,103.5,61.5,1.75,-0.0711111
661,103.625,61.375,1.8125,-0.0711111
670,103.625,61.375,1.8125,-0.0666667
680,103.625,61.375,1.8125,-0.0733333
689,103.75,61.25,1.875,-0.0733333
697,103.875,61.125,1.9375,-0.0711111
708,103.875,61.125,1.9375,-0.0644444
719,104,61,2,-0.0711111
