Time,Command_0,Command 1,Pitch,Pitch_Rate
11,86.375,78.625,-6.8125,-0.0344444
21,86.25,78.75,-6.875,-0.0311111
31,86.25,78.75,-6.875,-0.0277778
40,86.25,78.75,-6.875,-0.0155556
51,86.25,78.75,-6.875,-0.0144444
62,86.25,78.75,-6.875,-0.00666667
72,86.25,78.75,-6.875,0
82,86.25,78.75,-6.875,0.0166667
93,86.25,78.75,-6.875,0.0388889
106,86.375,78.625,-6.8125,0.04
117,86.375,78.625,-6.8125,0.03
125,86.375,78.625,-6.8125,0.0333333
134,86.5,78.5,-6.75,0.0444444
144,86.5,78.5,-6.75,0.0444444
154,86.5,78.5,-6.75,0.05
166,86.625,78.375,-6.6875,0.0377778
176,86.625,78.375,-6.6875,0.0433333
186,86.625,78.375,-6.6875,0.0188889
197,86.625,78.375,-6.6875,0.0166667
207,86.625,78.375,-6.6875,-0.0166667
217,86.625,78.375,-6.6875,-0.0388889
226,86.5,78.5,-6.75,-0.0733333
234,86.375,78.625,-6.8125,-0.164444
245,86.125,78.875,-6.9375,-0.19
256,86,79,-7,-0.141111
267,85.875,79.125,-7.0625,-0.121111
277,85.75,79.25,-7.125,-0.0866667
288,85.75,79.25,-7.125,-0.0133333
298,85.75,79.25,-7.125,-0.0322222
308,85.75,79.25,-7.125,0.00777778
319,85.875,79.125,-7.0625,0.0522222
327,85.875,79.125,-7.0625,0.0844444
336,86,79,-7,0.1
346,86.125,78.875,-6.9375,0.122222
357,86.375,78.625,-6.8125,0.121111
367,86.5,78.5,-6.75,0.12
376,86.625,78.375,-6.6875,0.134444
384,86.75,78.25,-6.625,0.154444
394,86.875,78.125,-6.5625,0.133333
403,87,78,-6.5,0.125556
412,87.125,77.875,-6.4375,0.116667
421,87.25,77.75,-6.375,0.107778
429,87.25,77.75,-6.375,0.0933333
438,87.375,77.625,-6.3125,0.0933333
448,87.5,77.5,-6.25,0.08
458,87.5,77.5,-6.25,0.0733333
469,87.625,77.375,-6.1875,0.0566667
477,87.625,77.375,-6.1875,0.0366667
485,87.625,77.375,-6.1875,0.0222222
496,87.625,77.375,-6.1875,0.00777778
506,87.625,77.375,-6.1875,0
517,87.625,77.375,-6.1875,-0.0144444
527,87.625,77.375,-6.1875,-0.00888889
538,87.625,77.375,-6.1875,0.0144444
548,87.625,77.375,-6.1875,0.0255556
558,87.75,77.25,-6.125,0.0488889
569,87.75,77.25,-6.125,0.0722222
578,87.875,77.125,-6.0625,0.0966667
586,88,77,-6,0.12
596,88.25,76.75,-5.875,0.158889
606,88.375,76.625,-5.8125,0.182222
616,88.625,76.375,-5.6875,0.208889
625,88.875,76.125,-5.5625,0.235556
634,89.25,75.75,-5.375,0.253333
642,89.5,75.5,-5.25,0.265556
651,89.5,75.5,-5.25,0.281111
660,89.75,75.25,-5.125,0.291111
670,90.125,74.875,-4.9375,0.285556
679,90.375,74.625,-4.8125,0.285556
687,90.75,74.25,-4.625,0.295556
697,91.125,73.875,-4.4375,0.295556
707,91.375,73.625,-4.3125,0.29
718,91.625,73.375,-4.1875,0.264444
727,92,73,-4,0.26
735,92.25,72.75,-3.875,0.29
745,92.625,72.375,-3.6875,0.277778
754,92.875,72.125,-3.5625,0.243333
763,93.125,71.875,-3.4375,0.258889
772,93.375,71.625,-3.3125,0.251111
780,93.375,71.625,-3.3125,0.251111
789,93.625,71.375,-3.1875,0.216667
799,93.875,71.125,-3.0625,0.197778
810,94,71,-3,0.194444
820,94.25,70.75,-2.875,0.19
829,94.5,70.5,-2.75,0.196667
837,94.75,70.25,-2.625,0.191111
848,94.875,70.125,-2.5625,0.194444
859,95.125,69.875,-2.4375,0.224444
870,95.375,69.625,-2.3125,0.206667
879,95.625,69.375,-2.1875,0.21
887,95.875,69.125,-2.0625,0.213333
897,96.125,68.875,-1.9375,0.224444
907,96.375,68.625,-1.8125,0.243333
918,96.625,68.375,-1.6875,0.246667
926,96.875,68.125,-1.5625,0.241111
935,97.125,67.875,-1.4375,0.237778
944,97.5,67.5,-1.25,0.245556
952,97.5,67.5,-1.25,0.261111
962,97.75,67.25,-1.125,0.277778
972,98,67,-1,0.29
980,98.375,66.625,-0.8125,0.29
989,98.75,66.25,-0.625,0.276667
999,99,66,-0.5,0.307778
1010,99.375,65.625,-0.3125,0.314444
1021,99.75,65.25,-0.125,0.276667
1029,100,65,0,0.268889
1038,100.125,64.875,0.0625,0.243333
1047,100.375,64.625,0.1875,0.243333
1058,100.625,64.375,0.3125,0.244444
1069,100.875,64.125,0.4375,0.233333
1078,101.25,63.75,0.625,0.277778
1086,101.5,63.5,0.75,0.281111
1095,101.875,63.125,0.9375,0.281111
1103,102.125,62.875,1.0625,0.288889
1112,102.125,62.875,1.0625,0.31
1122,102.5,62.5,1.25,0.31
1131,102.875,62.125,1.4375,0.303333
1139,103.125,61.875,1.5625,0.321111
1149,103.5,61.5,1.75,0.337778
1159,103.875,61.125,1.9375,0.333333
1171,104.25,60.75,2.125,0.351111
1179,104.75,60.25,2.375,0.362222
1188,105.125,59.875,2.5625,0.388889
1198,105.625,59.375,2.8125,0.404444
1210,106,59,3,0.408889
1221,106.5,58.5,3.25,0.376667
1229,106.875,58.125,3.4375,0.377778
1238,107.375,57.625,3.6875,0.404444
1248,107.75,57.25,3.875,0.384444
1259,108.25,56.75,4.125,0.404444
1271,108.625,56.375,4.3125,0.424444
1279,109.125,55.875,4.5625,0.377778
1288,109.5,55.5,4.75,0.376667
1296,109.875,55.125,4.9375,0.326667
1305,110.25,54.75,5.125,0.345556
1314,110.5,54.5,5.25,0.321111
1323,110.5,54.5,5.25,0.325556
1332,110.875,54.125,5.4375,0.325556
1341,111.25,53.75,5.625,0.307778
1351,111.625,53.375,5.8125,0.31
1362,111.875,53.125,5.9375,0.282222
1372,112.125,52.875,6.0625,0.272222
1381,112.375,52.625,6.1875,0.245556
1389,112.625,52.375,6.3125,0.208889
1398,112.875,52.125,6.4375,0.226667
1408,113.125,51.875,6.5625,0.225556
1417,113.375,51.625,6.6875,0.222222
1425,113.625,51.375,6.8125,0.221111
1434,113.625,51.375,6.8125,0.206667
1443,113.875,51.125,6.9375,0.206667
1452,114,51,7,0.187778
1462,114.25,50.75,7.125,0.185556
1473,114.5,50.5,7.25,0.181111
1481,114.625,50.375,7.3125,0.185556
1490,114.875,50.125,7.4375,0.178889
1501,115,50,7.5,0.176667
1511,115.25,49.75,7.625,0.168889
1523,115.375,49.625,7.6875,0.158889
1531,115.625,49.375,7.8125,0.145556
1540,115.75,49.25,7.875,0.105556
1548,115.75,49.25,7.875,0.0911111
1557,115.875,49.125,7.9375,0.0666667
1566,115.875,49.125,7.9375,0.0266667
1575,115.875,49.125,7.9375,0.0166667
1583,115.875,49.125,7.9375,0.0166667
1592,115.875,49.125,7.9375,0.00777778
1602,115.875,49.125,7.9375,-0.00555556
1613,115.875,49.125,7.9375,-0.0166667
1623,115.875,49.125,7.9375,-0.0266667
1632,115.75,49.25,7.875,-0.0644444
1640,115.625,49.375,7.8125,-0.0666667
1649,115.625,49.375,7.8125,-0.0722222
1658,115.5,49.5,7.75,-0.101111
1667,115.375,49.625,7.6875,-0.106667
1676,115.375,49.625,7.6875,-0.107778
1684,115.25,49.75,7.625,-0.124444
1693,115.125,49.875,7.5625,-0.124444
1703,115,50,7.5,-0.102222
1714,114.875,50.125,7.4375,-0.0988889
1724,114.75,50.25,7.375,-0.11
1733,114.625,50.375,7.3125,-0.24
1741,114.5,50.5,7.25,-0.107778
1751,114.375,50.625,7.1875,-0.101111
1760,114.375,50.625,7.1875,-0.0944444
1769,114.25,50.75,7.125,-0.0866667
1778,114.125,50.875,7.0625,-0.08
1787,114,51,7,-0.0844444
1795,114,51,7,-0.0655556
1805,114,51,7,-0.0655556
1815,113.875,51.125,6.9375,-0.0488889
1825,113.875,51.125,6.9375,-0.0322222
1834,113.875,51.125,6.9375,-0.0211111
1844,113.875,51.125,6.9375,-0.0111111
1855,113.875,51.125,6.9375,0.00777778
1865,113.875,51.125,6.9375,0.0155556
1875,113.875,51.125,6.9375,0.0277778
1883,113.875,51.125,6.9375,0.0355556
1892,114,51,7,0.0366667
1901,114,51,7,0.0433333
1911,114.125,50.875,7.0625,0.0488889
1921,114.125,50.875,7.0625,0.0522222
1930,114.125,50.875,7.0625,0.0511111
1938,114.25,50.75,7.125,0.0444444
1947,114.25,50.75,7.125,0.0366667
1956,114.25,50.75,7.125,0.02
1966,114.25,50.75,7.125,0.00666667
1976,114.25,50.75,7.125,0.00666667
1984,114.25,50.75,7.125,0.00333333
1992,114.25,50.75,7.125,-0.01
2002,114.25,50.75,7.125,-0.0277778
2013,114.25,50.75,7.125,-0.0377778
2024,114.125,50.875,7.0625,-0.0655556
2033,114,51,7,-0.0788889
2041,113.875,51.125,6.9375,-0.104444
2050,113.75,51.25,6.875,-0.137778
2058,113.625,51.375,6.8125,-0.161111
2067,113.625,51.375,6.8125,-0.178889
2077,113.375,51.625,6.6875,-0.2
2086,113.25,51.75,6.625,-0.2
2094,113,52,6.5,-0.216667
2104,112.75,52.25,6.375,-0.231111
2115,112.375,52.625,6.1875,-0.25
2126,112.125,52.875,6.0625,-0.263333
2134,111.875,53.125,5.9375,-0.283333
2143,111.5,53.5,5.75,-0.298889
2152,111.125,53.875,5.5625,-0.311111
2162,110.875,54.125,5.4375,-0.326667
2171,110.5,54.5,5.25,-0.335556
2179,110.125,54.875,5.0625,-0.342222
2188,110.125,54.875,5.0625,-0.347778
2197,109.75,55.25,4.875,-0.347778
2207,109.375,55.625,4.6875,-0.348889
2217,109,56,4.5,-0.352222
2230,108.5,56.5,4.25,-0.371111
2238,107.75,57.25,3.875,-0.373333
2247,107.75,57.25,3.875,-0.373333
2257,107.375,57.625,3.6875,-0.383333
