Time,Command_0,Command 1,Pitch,Pitch_Rate
9,88.75,76.25,-5.625,0.154444
21,89,76,-5.5,0.166667
32,89.25,75.75,-5.375,0.191111
43,89.375,75.625,-5.3125,0.202222
54,89.625,75.375,-5.1875,0.216667
64,89.875,75.125,-5.0625,0.223333
74,90.375,74.625,-4.8125,0.227778
84,90.625,74.375,-4.6875,0.245556
93,90.875,74.125,-4.5625,0.256667
102,90.875,74.125,-4.5625,0.246667
111,91.125,73.875,-4.4375,0.246667
121,91.375,73.625,-4.3125,0.238889
132,91.625,73.375,-4.1875,0.23
142,91.875,73.125,-4.0625,0.228889
150,92.125,72.875,-3.9375,0.231111
159,92.5,72.5,-3.75,0.236667
169,92.75,72.25,-3.625,0.238889
180,93,72,-3.5,0.228889
191,93.25,71.75,-3.375,0.22
199,93.5,71.5,-3.25,0.226667
208,93.625,71.375,-3.1875,0.224444
217,93.875,71.125,-3.0625,0.223333
227,94.125,70.875,-2.9375,0.202222
236,94.25,70.75,-2.875,0.171111
244,94.5,70.5,-2.75,0.156667
253,94.5,70.5,-2.75,0.137778
262,94.625,70.375,-2.6875,0.137778
272,94.75,70.25,-2.625,0.105556
282,94.75,70.25,-2.625,0.0488889
292,94.875,70.125,-2.5625,0.0355556
301,95,70,-2.5,0.141111
309,95.25,69.75,-2.375,0.194444
321,95.375,69.625,-2.3125,0.172222
332,95.5,69.5,-2.25,0.156667
342,95.625,69.375,-2.1875,0.103333
351,95.75,69.25,-2.125,0.0544444
359,95.75,69.25,-2.125,0.0466667
371,95.875,69.125,-2.0625,0.0722222
382,96,69,-2,0.1
392,96.125,68.875,-1.9375,0.107778
401,96.25,68.75,-1.875,0.126667
409,96.375,68.625,-1.8125,0.146667
420,96.5,68.5,-1.75,0.162222
430,96.75,68.25,-1.625,0.168889
442,96.875,68.125,-1.5625,0.177778
450,97,68,-1.5,0.14
459,97.125,67.875,-1.4375,0.06
469,97.125,67.875,-1.4375,0.0555556
479,97.25,67.75,-1.375,0.0533333
490,97.25,67.75,-1.375,0.0177778
498,97.25,67.75,-1.375,-0.00111111
508,97.25,67.75,-1.375,0.00666667
517,97.25,67.75,-1.375,0.00666667
526,97.25,67.75,-1.375,0
535,97.25,67.75,-1.375,0.00222222
544,97.25,67.75,-1.375,0.00333333
554,97.25,67.75,-1.375,0.00333333
564,97.25,67.75,-1.375,0.00333333
574,97.25,67.75,-1.375,-0.00666667
584,97.25,67.75,-1.375,-0.00222222
594,97.25,67.75,-1.375,-0.00444444
604,97.25,67.75,-1.375,0.00222222
614,97.25,67.75,-1.375,0.00222222
624,97.25,67.75,-1.375,0.00666667
635,97.25,67.75,-1.375,0.00666667
645,97.25,67.75,-1.375,0.00222222
654,97.25,67.75,-1.375,-0.00777778
664,97.25,67.75,-1.375,-0.00444444
674,97.25,67.75,-1.375,0.00333333
684,97.25,67.75,-1.375,0.0166667
694,97.25,67.75,-1.375,0.0166667
704,97.25,67.75,-1.375,0.0144444
714,97.25,67.75,-1.375,0.00111111
725,97.25,67.75,-1.375,-0.00444444
735,97.25,67.75,-1.375,0.00333333
745,97.25,67.75,-1.375,0.0133333
754,97.25,67.75,-1.375,0.0155556
764,97.25,67.75,-1.375,0.0111111
775,97.25,67.75,-1.375,0.01
785,97.25,67.75,-1.375,0
795,97.25,67.75,-1.375,-0.00111111
804,97.25,67.75,-1.375,0.00444444
815,97.25,67.75,-1.375,0.00222222
825,97.25,67.75,-1.375,0.00222222
835,97.25,67.75,-1.375,0.00111111
845,97.25,67.75,-1.375,0.00222222
857,97.25,67.75,-1.375,0.00111111
866,97.25,67.75,-1.375,0.00666667
875,97.25,67.75,-1.375,0.00333333
885,97.25,67.75,-1.375,0.00333333
896,97.25,67.75,-1.375,0.00333333
905,97.25,67.75,-1.375,-0.00555556
915,97.25,67.75,-1.375,-0.00666667
925,97.25,67.75,-1.375,-0.00666667
935,97.25,67.75,-1.375,0.00111111
946,97.25,67.75,-1.375,0.00111111
956,97.25,67.75,-1.375,0.00666667
966,97.25,67.75,-1.375,0.00666667
976,97.25,67.75,-1.375,0.00111111
986,97.25,67.75,-1.375,0.00333333
996,97.25,67.75,-1.375,0.00555556
1005,97.25,67.75,-1.375,0.00666667
1013,97.25,67.75,-1.375,0.00111111
1024,97.25,67.75,-1.375,-0.00444444
1035,97.25,67.75,-1.375,-0.00444444
1045,97.25,67.75,-1.375,-0.00111111
1055,97.25,67.75,-1.375,0.0122222
1063,97.25,67.75,-1.375,0.0177778
1074,97.25,67.75,-1.375,0.0211111
1085,97.25,67.75,-1.375,0.00666667
1095,97.25,67.75,-1.375,-0.00777778
1106,97.25,67.75,-1.375,-0.0144444
1116,97.25,67.75,-1.375,-0.00777778
1126,97.25,67.75,-1.375,-0.00555556
1136,97.25,67.75,-1.375,-0.00666667
1146,97.25,67.75,-1.375,-0.00333333
1155,97.25,67.75,-1.375,-0.00222222
1163,97.25,67.75,-1.375,0
1175,97.25,67.75,-1.375,0.00222222
1185,97.25,67.75,-1.375,0.00111111
1196,97.25,67.75,-1.375,0.00222222
1206,97.25,67.75,-1.375,0
1216,97.25,67.75,-1.375,-0.00222222
1227,97.25,67.75,-1.375,-0.00555556
1237,97.25,67.75,-1.375,0
1247,97.25,67.75,-1.375,-0.00333333
1256,97.25,67.75,-1.375,0
1267,97.25,67.75,-1.375,-0.00111111
1277,97.25,67.75,-1.375,0
1287,97.25,67.75,-1.375,0.00444444
1297,97.25,67.75,-1.375,0.00555556
1307,97.25,67.75,-1.375,0.00444444
1317,97.25,67.75,-1.375,0.00111111
1327,97.25,67.75,-1.375,-0.00333333
1337,97.25,67.75,-1.375,0.00111111
1348,97.25,67.75,-1.375,-0.00111111
1357,97.25,67.75,-1.375,0.00333333
1367,97.25,67.75,-1.375,0.00444444
1377,97.25,67.75,-1.375,0.00444444
1387,97.25,67.75,-1.375,0.00222222
1398,97.25,67.75,-1.375,0
1407,97.125,67.875,-1.4375,0.00222222
1418,97.125,67.875,-1.4375,-0.00111111
1428,97.125,67.875,-1.4375,-0.00111111
1438,97.125,67.875,-1.4375,-0.00222222
1448,97.125,67.875,-1.4375,-0.00111111
1457,97.125,67.875,-1.4375,-0.00444444
1468,97.125,67.875,-1.4375,-0.00111111
1478,97.125,67.875,-1.4375,0.00111111
1488,97.125,67.875,-1.4375,-0.00222222
1498,97.125,67.875,-1.4375,-0.00333333
1508,97.125,67.875,-1.4375,0.00222222
1518,97.125,67.875,-1.4375,0.00444444
1528,97.125,67.875,-1.4375,0.00444444
1538,97.125,67.875,-1.4375,0.00333333
1548,97.125,67.875,-1.4375,0
1558,97.125,67.875,-1.4375,0
1568,97.125,67.875,-1.4375,0.00555556
1578,97.125,67.875,-1.4375,0.00444444
1588,97.125,67.875,-1.4375,-0.00222222
1599,97.125,67.875,-1.4375,-0.00333333
1608,97.125,67.875,-1.4375,-0.00222222
1619,97.125,67.875,-1.4375,-0.00333333
1629,97.125,67.875,-1.4375,-0.00555556
1639,97.125,67.875,-1.4375,-0.00444444
1649,97.125,67.875,-1.4375,-0.00222222
1658,97.125,67.875,-1.4375,-0.00111111
1669,97.125,67.875,-1.4375,0.00111111
1679,97.125,67.875,-1.4375,0.00444444
1689,97.125,67.875,-1.4375,0.00333333
1699,97.125,67.875,-1.4375,-0.00111111
1709,97.125,67.875,-1.4375,-0.00333333
1719,97.125,67.875,-1.4375,0.00111111
1729,97.125,67.875,-1.4375,0.00444444
1739,97.125,67.875,-1.4375,0.00444444
1749,97.125,67.875,-1.4375,0.00222222
1759,97.125,67.875,-1.4375,0.00111111
1769,97.125,67.875,-1.4375,0.00444444
1779,97.125,67.875,-1.4375,0.00444444
1789,97.125,67.875,-1.4375,0.00222222
1799,97.125,67.875,-1.4375,0.00111111
1810,97.125,67.875,-1.4375,-0.00111111
1820,97.125,67.875,-1.4375,-0.00222222
1830,97.125,67.875,-1.4375,-0.00555556
1840,97.125,67.875,-1.4375,-0.00333333
1850,97.125,67.875,-1.4375,-0.00888889
1860,97.125,67.875,-1.4375,-0.00444444
1870,97.125,67.875,-1.4375,-0.00555556
1880,97.125,67.875,-1.4375,-0.00444444
1890,97.125,67.875,-1.4375,-0.00666667
1900,97.125,67.875,-1.4375,-0.00555556
1911,97.125,67.875,-1.4375,-0.00222222
1925,97.125,67.875,-1.4375,-0.00111111
1934,97.125,67.875,-1.4375,0.00222222
1943,97.125,67.875,-1.4375,0.00777778
1952,97.125,67.875,-1.4375,0.00888889
1961,97.125,67.875,-1.4375,0.00444444
1971,97.125,67.875,-1.4375,0.00222222
1981,97.125,67.875,-1.4375,0.00222222
1990,97.125,67.875,-1.4375,-0.00444444
2001,97.125,67.875,-1.4375,-0.00666667
2011,97.125,67.875,-1.4375,-0.00111111
2022,97.125,67.875,-1.4375,0.00111111
2032,97.125,67.875,-1.4375,0.00111111
2041,97.125,67.875,-1.4375,-0.00333333
2051,97.125,67.875,-1.4375,-0.00333333
